GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12f03a32-be3d-40c0-b380-b104d972a3f1	1	3301765	34427312	16785	-0.0389
12f03a32-be3d-40c0-b380-b104d972a3f1	1	34429359	64864128	18143	-0.0627
12f03a32-be3d-40c0-b380-b104d972a3f1	1	64864171	87566707	13812	-0.0908
12f03a32-be3d-40c0-b380-b104d972a3f1	1	87567209	93624151	3589	-0.1571
12f03a32-be3d-40c0-b380-b104d972a3f1	1	93624174	106981109	7746	-0.0951
12f03a32-be3d-40c0-b380-b104d972a3f1	1	106986033	149906351	8017	-0.0693
12f03a32-be3d-40c0-b380-b104d972a3f1	1	149909846	167670319	10863	0.587
12f03a32-be3d-40c0-b380-b104d972a3f1	1	167670618	201011570	20432	0.5714
12f03a32-be3d-40c0-b380-b104d972a3f1	1	201011593	207087851	3890	0.603
12f03a32-be3d-40c0-b380-b104d972a3f1	1	207088542	207088569	2	-0.9165
12f03a32-be3d-40c0-b380-b104d972a3f1	1	207094606	247650984	26421	0.5867
12f03a32-be3d-40c0-b380-b104d972a3f1	2	480597	138937272	72748	-0.06
12f03a32-be3d-40c0-b380-b104d972a3f1	2	138946561	229617033	52519	-0.0763
12f03a32-be3d-40c0-b380-b104d972a3f1	2	229618642	231499583	876	-0.0551
12f03a32-be3d-40c0-b380-b104d972a3f1	2	231502585	231504690	3	-0.9807
12f03a32-be3d-40c0-b380-b104d972a3f1	2	231597793	241537572	5957	-0.038
12f03a32-be3d-40c0-b380-b104d972a3f1	3	2170634	3514473	790	-0.0887
12f03a32-be3d-40c0-b380-b104d972a3f1	3	3515710	14949082	7051	-0.0527
12f03a32-be3d-40c0-b380-b104d972a3f1	3	14949919	40022655	14970	-0.0793
12f03a32-be3d-40c0-b380-b104d972a3f1	3	40022805	73392364	19779	-0.058
12f03a32-be3d-40c0-b380-b104d972a3f1	3	73393693	119239356	22917	-0.0861
12f03a32-be3d-40c0-b380-b104d972a3f1	3	119261341	122191781	1435	-0.619
12f03a32-be3d-40c0-b380-b104d972a3f1	3	122200673	122691681	335	-0.074
12f03a32-be3d-40c0-b380-b104d972a3f1	3	122692174	125255057	1710	-0.6317
12f03a32-be3d-40c0-b380-b104d972a3f1	3	125259376	127939243	1533	-0.0337
12f03a32-be3d-40c0-b380-b104d972a3f1	3	127941254	129006678	559	-0.5721
12f03a32-be3d-40c0-b380-b104d972a3f1	3	129006723	129007848	3	-1.8048
12f03a32-be3d-40c0-b380-b104d972a3f1	3	129009347	129255001	77	-0.5441
12f03a32-be3d-40c0-b380-b104d972a3f1	3	129256275	133042840	2169	-0.0707
12f03a32-be3d-40c0-b380-b104d972a3f1	3	133042854	133499595	302	-0.6328
12f03a32-be3d-40c0-b380-b104d972a3f1	3	133500395	155411534	11731	-0.0762
12f03a32-be3d-40c0-b380-b104d972a3f1	3	155411854	156817615	740	-0.6182
12f03a32-be3d-40c0-b380-b104d972a3f1	3	156824848	162469654	3052	-0.0755
12f03a32-be3d-40c0-b380-b104d972a3f1	3	162478659	162612477	65	-0.6146
12f03a32-be3d-40c0-b380-b104d972a3f1	3	162617907	167757128	2079	-0.0952
12f03a32-be3d-40c0-b380-b104d972a3f1	3	167760335	172208524	2489	-0.6543
12f03a32-be3d-40c0-b380-b104d972a3f1	3	172209645	172381221	128	-0.1164
12f03a32-be3d-40c0-b380-b104d972a3f1	3	172384249	172576550	145	-0.6725
12f03a32-be3d-40c0-b380-b104d972a3f1	3	172578114	174082626	661	-0.0681
12f03a32-be3d-40c0-b380-b104d972a3f1	3	174083900	174162519	47	-0.2835
12f03a32-be3d-40c0-b380-b104d972a3f1	3	174162891	174638948	297	-0.0666
12f03a32-be3d-40c0-b380-b104d972a3f1	3	174642538	177177049	1037	-0.6242
12f03a32-be3d-40c0-b380-b104d972a3f1	3	177180486	197812401	10943	-0.0735
12f03a32-be3d-40c0-b380-b104d972a3f1	4	1059384	7307586	3459	-0.0361
12f03a32-be3d-40c0-b380-b104d972a3f1	4	7309672	7311494	2	-1.2852
12f03a32-be3d-40c0-b380-b104d972a3f1	4	7312316	9934286	1035	-0.0187
12f03a32-be3d-40c0-b380-b104d972a3f1	4	9935515	122579514	63877	-0.0818
12f03a32-be3d-40c0-b380-b104d972a3f1	4	122580032	122580508	2	-1.8365
12f03a32-be3d-40c0-b380-b104d972a3f1	4	122580547	180309927	31520	-0.0896
12f03a32-be3d-40c0-b380-b104d972a3f1	4	180310597	180312598	2	-1.6039
12f03a32-be3d-40c0-b380-b104d972a3f1	4	180313143	187085232	3017	-0.0807
12f03a32-be3d-40c0-b380-b104d972a3f1	4	187085740	187842528	478	-0.0492
12f03a32-be3d-40c0-b380-b104d972a3f1	5	913983	11172624	7371	0.34
12f03a32-be3d-40c0-b380-b104d972a3f1	5	11172661	167574542	85789	0.3051
12f03a32-be3d-40c0-b380-b104d972a3f1	5	167575396	180934240	7900	0.331
12f03a32-be3d-40c0-b380-b104d972a3f1	6	1011760	56984891	33973	0.3067
12f03a32-be3d-40c0-b380-b104d972a3f1	6	56985284	147643082	49413	0.2868
12f03a32-be3d-40c0-b380-b104d972a3f1	6	147643200	170596889	13725	0.303
12f03a32-be3d-40c0-b380-b104d972a3f1	7	664936	16130033	7892	-0.0781
12f03a32-be3d-40c0-b380-b104d972a3f1	7	16131935	16132634	2	-1.9106
12f03a32-be3d-40c0-b380-b104d972a3f1	7	16137216	78742206	31797	-0.0731
12f03a32-be3d-40c0-b380-b104d972a3f1	7	78742762	95919038	9143	-0.0989
