GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23102ae6-7c5a-436c-92f1-128f7b5be113	1	62920	1696479	211	-0.065
23102ae6-7c5a-436c-92f1-128f7b5be113	1	1696979	1731957	11	1.383
23102ae6-7c5a-436c-92f1-128f7b5be113	1	1732392	2942284	355	-0.0196
23102ae6-7c5a-436c-92f1-128f7b5be113	1	2943159	2944517	2	2.2452
23102ae6-7c5a-436c-92f1-128f7b5be113	1	2947232	3153770	90	0.0015
23102ae6-7c5a-436c-92f1-128f7b5be113	1	3159845	3163455	2	2.2393
23102ae6-7c5a-436c-92f1-128f7b5be113	1	3164291	16583114	7958	0.0012
23102ae6-7c5a-436c-92f1-128f7b5be113	1	16604834	16643897	25	-0.5365
23102ae6-7c5a-436c-92f1-128f7b5be113	1	16643961	16883108	32	-0.0604
23102ae6-7c5a-436c-92f1-128f7b5be113	1	16884157	16931448	41	0.5053
23102ae6-7c5a-436c-92f1-128f7b5be113	1	16932568	30778417	8088	0.0074
23102ae6-7c5a-436c-92f1-128f7b5be113	1	30778851	30789158	2	1.9892
23102ae6-7c5a-436c-92f1-128f7b5be113	1	30789990	72280898	25863	0.0006
23102ae6-7c5a-436c-92f1-128f7b5be113	1	72284165	72297687	11	-0.914
23102ae6-7c5a-436c-92f1-128f7b5be113	1	72302735	72345450	47	1.8586
23102ae6-7c5a-436c-92f1-128f7b5be113	1	72345465	74803600	1500	0.0058
23102ae6-7c5a-436c-92f1-128f7b5be113	1	74805388	74808182	2	2.0256
23102ae6-7c5a-436c-92f1-128f7b5be113	1	74808303	105079911	19183	-0.0009
23102ae6-7c5a-436c-92f1-128f7b5be113	1	105080318	105080931	2	2.7273
23102ae6-7c5a-436c-92f1-128f7b5be113	1	105084196	121601998	9997	0.0026
23102ae6-7c5a-436c-92f1-128f7b5be113	1	121705338	143710242	87	-0.8829
23102ae6-7c5a-436c-92f1-128f7b5be113	1	143710767	152602985	2373	0.0297
23102ae6-7c5a-436c-92f1-128f7b5be113	1	152606973	152606992	2	4.979
23102ae6-7c5a-436c-92f1-128f7b5be113	1	152607145	152787202	174	0.006
23102ae6-7c5a-436c-92f1-128f7b5be113	1	152789447	152801429	38	0.6074
23102ae6-7c5a-436c-92f1-128f7b5be113	1	152804279	196769506	29403	0.0025
23102ae6-7c5a-436c-92f1-128f7b5be113	1	196769638	196832720	52	0.4578
23102ae6-7c5a-436c-92f1-128f7b5be113	1	196843377	231794210	23302	0.0028
23102ae6-7c5a-436c-92f1-128f7b5be113	1	231800457	231801734	2	2.1523
23102ae6-7c5a-436c-92f1-128f7b5be113	1	231802753	240230732	6571	0.0041
23102ae6-7c5a-436c-92f1-128f7b5be113	1	240230748	240230824	3	-2.4312
23102ae6-7c5a-436c-92f1-128f7b5be113	1	240230839	247775109	5219	0.0337
23102ae6-7c5a-436c-92f1-128f7b5be113	1	247775446	247775555	2	3.156
23102ae6-7c5a-436c-92f1-128f7b5be113	1	247775696	248930189	626	0.0319
23102ae6-7c5a-436c-92f1-128f7b5be113	2	12784	14868947	11235	-0.0032
23102ae6-7c5a-436c-92f1-128f7b5be113	2	14871933	14924239	47	-0.8942
23102ae6-7c5a-436c-92f1-128f7b5be113	2	14924337	28988573	8933	0.0103
23102ae6-7c5a-436c-92f1-128f7b5be113	2	28990000	28990695	2	2.0201
23102ae6-7c5a-436c-92f1-128f7b5be113	2	28990775	32505822	2365	0.013
23102ae6-7c5a-436c-92f1-128f7b5be113	2	32506851	32509219	2	2.754
23102ae6-7c5a-436c-92f1-128f7b5be113	2	32510766	34466002	1456	0.0248
23102ae6-7c5a-436c-92f1-128f7b5be113	2	34474248	34515732	52	0.6289
23102ae6-7c5a-436c-92f1-128f7b5be113	2	34515960	127099470	54710	0.003
23102ae6-7c5a-436c-92f1-128f7b5be113	2	127100187	127100370	2	3.4492
23102ae6-7c5a-436c-92f1-128f7b5be113	2	127101070	132528129	2770	-0.0087
23102ae6-7c5a-436c-92f1-128f7b5be113	2	132537257	132537264	2	2.0587
23102ae6-7c5a-436c-92f1-128f7b5be113	2	132537271	149895393	10732	-0.0003
23102ae6-7c5a-436c-92f1-128f7b5be113	2	149897839	149898678	4	-1.7652
23102ae6-7c5a-436c-92f1-128f7b5be113	2	149903507	184451949	21589	0.007
23102ae6-7c5a-436c-92f1-128f7b5be113	2	184452153	184453319	2	1.9834
23102ae6-7c5a-436c-92f1-128f7b5be113	2	184453824	207490994	13248	0.0079
23102ae6-7c5a-436c-92f1-128f7b5be113	2	207491028	207494612	12	-1.0674
23102ae6-7c5a-436c-92f1-128f7b5be113	2	207494752	242147305	22016	0.0045
23102ae6-7c5a-436c-92f1-128f7b5be113	3	20930	4227347	3793	-0.0163
23102ae6-7c5a-436c-92f1-128f7b5be113	3	4229530	4230132	2	2.2295
23102ae6-7c5a-436c-92f1-128f7b5be113	3	4230569	5590413	1099	0.0118
23102ae6-7c5a-436c-92f1-128f7b5be113	3	5590436	5590576	2	1.9536
23102ae6-7c5a-436c-92f1-128f7b5be113	3	5592103	26570619	15071	-0.0048
23102ae6-7c5a-436c-92f1-128f7b5be113	3	26570673	26570675	3	2.75
23102ae6-7c5a-436c-92f1-128f7b5be113	3	26571710	37935209	7585	-0.0009
23102ae6-7c5a-436c-92f1-128f7b5be113	3	37935926	37945437	19	-0.9578
23102ae6-7c5a-436c-92f1-128f7b5be113	3	37945615	60292333	13317	0.001
23102ae6-7c5a-436c-92f1-128f7b5be113	3	60292565	60294217	2	2.3807
23102ae6-7c5a-436c-92f1-128f7b5be113	3	60294526	68676600	6780	-0.0133
23102ae6-7c5a-436c-92f1-128f7b5be113	3	68682877	68698262	16	-1.1548
23102ae6-7c5a-436c-92f1-128f7b5be113	3	68699607	75519398	4920	0.0008
23102ae6-7c5a-436c-92f1-128f7b5be113	3	75523398	75537654	5	-2.3873
23102ae6-7c5a-436c-92f1-128f7b5be113	3	75546030	189642965	66636	-0.0015
23102ae6-7c5a-436c-92f1-128f7b5be113	3	189645889	189653225	13	-0.9643
23102ae6-7c5a-436c-92f1-128f7b5be113	3	189654562	193160173	2486	-0.0026
23102ae6-7c5a-436c-92f1-128f7b5be113	3	193160256	193165114	18	-1.3004
23102ae6-7c5a-436c-92f1-128f7b5be113	3	193168646	198169247	2683	0.0192
23102ae6-7c5a-436c-92f1-128f7b5be113	4	68929	5308576	2511	-0.0164
23102ae6-7c5a-436c-92f1-128f7b5be113	4	5308694	5319207	6	-1.4092
23102ae6-7c5a-436c-92f1-128f7b5be113	4	5321568	10208766	3162	-0.0142
23102ae6-7c5a-436c-92f1-128f7b5be113	4	10212536	10232642	31	1.3724
23102ae6-7c5a-436c-92f1-128f7b5be113	4	10232984	10390730	176	-0.0206
23102ae6-7c5a-436c-92f1-128f7b5be113	4	10391530	10399044	15	-2.1161
23102ae6-7c5a-436c-92f1-128f7b5be113	4	10401094	34777432	16753	0.0033
23102ae6-7c5a-436c-92f1-128f7b5be113	4	34784878	34800585	18	-2.9624
23102ae6-7c5a-436c-92f1-128f7b5be113	4	34801128	34812568	8	-1.2389
23102ae6-7c5a-436c-92f1-128f7b5be113	4	34812623	34822561	11	-2.9536
23102ae6-7c5a-436c-92f1-128f7b5be113	4	34823103	68352334	19399	0.0001
23102ae6-7c5a-436c-92f1-128f7b5be113	4	68352434	68663241	95	0.3746
