GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	62920	877938	52	-0.3455
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	883206	6263905	2861	0.21
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	6264330	7658895	849	-0.0949
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	7671670	7994229	193	-0.6457
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	7996294	8838626	437	-0.1881
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	8838648	10042953	612	0.1679
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10046717	10162947	50	-0.2451
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10163022	10310579	97	0.1624
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10310733	10311076	5	1.6393
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10311167	10482064	91	0.188
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10483779	10484989	5	-1.7493
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	10488805	16909775	3455	0.2054
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	16912972	16934716	24	-0.6015
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	16934753	19319485	1697	0.2462
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	19320271	20340600	724	1.5861
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	20352739	21496799	636	0.1909
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	21497136	22381072	558	0.4624
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	22382304	22590178	110	1.4235
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	22591319	23352531	470	1.6246
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	23353350	24340933	488	1.3239
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	24343304	30189691	2915	0.1841
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	30190003	30192228	3	2.2503
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	30192672	40701862	5919	0.2058
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	40703733	41540334	492	0.7664
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	41542477	42532730	658	0.3963
b37800d7-c8cb-4197-a178-f2a2787f70cb	1	42534116	42689391	86	0.1755
