GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	3301765	35710370	17296	-0.3524
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	35725190	42444287	3698	0.1248
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	42449380	57308928	8402	0.451
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	57313841	60214217	2133	0.4088
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	60214752	68535775	5954	0.455
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	68536287	72699126	2150	0.3878
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	72699215	72770437	46	0.2183
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	72771377	74393537	848	-0.0059
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	74396047	81891553	4429	0.0637
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	81902256	85607076	2413	-0.4052
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	85610386	96912505	6975	0.1079
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	96912606	107159357	5663	0.0565
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	107159457	151979219	8756	0.1085
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	151979451	151983895	12	-0.4031
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	151988377	158417406	3441	0.1194
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	158417472	179911869	14188	0.0869
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	179917990	184658379	3243	0.4228
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	184659436	188240096	2185	0.37
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	188240670	192449678	2277	0.3169
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	192450630	194623447	1511	0.3739
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	194629525	196516427	1034	0.3152
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	196520402	198817824	1193	0.3802
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	198817945	201079485	1385	0.4176
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	201080158	201080192	2	-0.8987
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	201080779	206030931	3288	0.4334
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	206033148	215343640	6322	0.0993
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	215344585	222467453	4795	0.0635
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	222467949	224445706	1043	0.112
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	224446114	225775010	790	0.4182
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	225786509	226086993	121	0.0519
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	226088853	226174467	40	0.6666
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	226175282	239794301	9275	0.0681
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	239794842	239795800	4	-1.0323
aad64468-8c93-47ce-bc77-829f4fb8b2d6	1	239797278	247650984	4509	0.047
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	480597	9061677	5267	-0.005
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	9065024	22763621	9204	0.0674
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	22766052	22767086	2	1.3368
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	22768843	22777157	3	0.5929
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	22777540	22787576	10	0.0283
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	22790258	22813393	18	0.5631
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	22816568	24350447	974	1.062
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	24357007	26265786	829	0.092
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	26268493	28103391	838	1.0308
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	28105764	29570308	919	0.1009
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	29572174	31014595	1034	0.0151
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	31017380	36458766	2652	0.6314
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	36459152	36506089	44	1.1247
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	36506401	45660792	5357	0.6518
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	45671391	46032716	332	0.037
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	46033677	53088650	4011	0.6234
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	53092063	56547108	1836	0.679
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	56547166	56761497	129	0.6046
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	56768089	68990256	7141	0.4108
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	68992617	69699520	476	0.093
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	69701324	69701632	2	-1.7658
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	69701793	74927809	2863	0.0887
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	74928228	74999125	2	2.033
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	74999663	76795366	1117	0.0814
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	76795648	83570894	3476	0.0181
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	83571983	128667841	19192	0.079
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	128676242	131013060	1105	0.4393
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	131013150	138764619	3720	0.0771
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	138765725	146712709	4608	0.0133
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	146713111	159099246	7189	0.0576
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	159100008	159107684	2	2.2044
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	159108004	179714418	12492	0.0759
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	179715274	189253509	4679	0.0315
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	189253530	190877022	931	0.0985
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	190877079	214758827	13075	0.0641
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	214759244	223240958	5484	0.0978
aad64468-8c93-47ce-bc77-829f4fb8b2d6	2	223241109	241537572	10867	-0.4039
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	2170634	8111896	3321	0.0831
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	8114736	15291599	4708	0.1291
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	15292044	15391153	72	0.4526
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	15399049	15505833	76	0.1506
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	15507111	31645740	9527	0.0785
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	31646029	71063673	23164	-0.3893
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	71067284	71096278	19	0.1122
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	71096523	71108266	15	-0.4395
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	71117910	75891125	2895	0.1095
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	75910220	112627180	17430	0.0413
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	112628232	115262412	1467	0.0995
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	115262484	115262937	4	-0.7211
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	115265390	115624153	241	0.059
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	115628829	119486199	2583	0.3896
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	119488291	121819951	1116	0.0837
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	121824051	128070029	3841	0.4755
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	128071933	132029663	2044	0.1121
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	132030329	139559606	4181	0.176
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	139560431	144360863	2677	0.1347
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	144363025	162392848	9596	0.1155
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	162392926	167721419	2180	0.0554
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	167723197	182510798	7773	0.1121
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	182513695	193353518	6339	0.1361
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	193357490	193432780	55	0.428
aad64468-8c93-47ce-bc77-829f4fb8b2d6	3	193433008	197812401	1596	0.1563
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	1059384	9964481	4524	0.1196
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	9964756	12754583	2157	0.0699
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	12757804	29392810	11138	-0.3897
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	29399967	35795762	3580	0.015
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	35796153	36102344	204	0.1098
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	36105511	36766636	441	0.0336
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	36768770	42724391	3695	0.1122
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	42725677	47287213	2079	0.0224
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	47287571	58498416	4709	0.0955
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	58500973	66452187	4306	0.0084
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	66457656	75573132	4553	0.0626
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	75575350	90142552	8779	0.0899
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	90143036	130198850	22211	0.0649
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	130199207	136708448	2853	0.0083
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	136708802	140628259	2516	0.0781
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	140630454	140630645	2	-1.4612
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	140632017	145627071	2722	0.0692
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	145634138	148314795	1611	-0.4146
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	148316489	148339081	3	-1.8972
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	148341925	150525243	1123	-0.3958
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	150529163	150565202	24	0.1266
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	150565662	185543171	18522	-0.4273
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	185544207	185586285	42	0.0667
aad64468-8c93-47ce-bc77-829f4fb8b2d6	4	185590218	187842528	1391	-0.3908
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	914118	18105574	11083	0.1363
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	18109355	22717481	2219	0.064
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	22718235	23140738	262	0.1261
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	23144988	39256606	9233	-0.3957
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	39257782	39267515	12	-0.0049
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	39268150	43405263	2404	0.4115
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	43409012	45089247	738	0.1034
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	45091299	52355563	911	0.0227
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	52355819	59242023	4593	0.1069
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	59244522	62793765	2028	-0.3986
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	62794435	62794478	2	-2.5557
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	62794517	76346946	6857	-0.3874
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	76347149	76351808	5	-1.4579
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	76355961	83089611	3944	-0.3971
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	83089673	120805657	20034	-0.4292
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	120811497	141828640	11826	-0.3925
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	141829710	141832009	3	-2.7484
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	141832130	145272931	2272	-0.4046
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	145273187	145274076	2	-2.1997
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	145275556	160676255	10104	-0.4013
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	160678231	167869435	4508	-0.4381
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	167874287	167876234	3	-1.9731
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	167876312	167938274	47	-0.464
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	167938434	180902359	7569	-0.3787
aad64468-8c93-47ce-bc77-829f4fb8b2d6	5	180902501	180934240	13	-0.0527
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	1011760	6479929	4000	0.4838
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	6484827	22865046	11517	0.1324
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	22868878	26144563	2063	0.0787
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	26153056	29415642	1116	0.4148
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	29424159	34157504	1378	0.447
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	34157777	34179117	2	1.8735
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	34182481	48089166	8527	0.4537
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	48089539	52590828	2551	0.4126
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	52591035	61901347	3049	0.0765
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	61901674	68971768	3854	0.0135
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	68971785	97606202	15647	0.0651
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	97607584	127251526	16872	-0.4192
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	127256596	152249526	15945	0.0877
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	152249905	158150674	3805	-0.4185
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	158151081	158257838	68	0.0476
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	158259301	160896334	1736	-0.3782
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	160896480	160897039	2	-2.7229
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	160897178	160973083	68	-0.3783
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	160973221	160973339	2	-2.1865
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	160974285	166629757	3497	-0.4113
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	166630591	166634458	3	-3.2326
aad64468-8c93-47ce-bc77-829f4fb8b2d6	6	166634505	170596889	1181	-0.386
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	664936	7993887	3089	0.091
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	7994794	18741153	6053	0.032
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	18741188	28038596	6016	0.0772
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	28039009	36106749	5042	-0.409
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	36107331	36109042	4	-3.3868
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	36109369	39725788	2565	-0.436
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	39726217	52115605	7813	0.0906
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	52117904	54158544	1354	0.0301
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	54159385	77676274	6881	0.097
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	77678691	77686586	9	-0.7059
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	77688362	82372041	3091	0.0647
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	82553123	91210808	3914	0.413
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	91213056	91234047	20	1.0004
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	91242015	92660964	832	0.4343
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	92665129	92869963	247	0.9438
aad64468-8c93-47ce-bc77-829f4fb8b2d6	7	92869981	92928685	50	0.6956
