GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e3ea5799-7dde-4813-aef4-49c92a970f14	1	3301765	3484226	98	0.0713
e3ea5799-7dde-4813-aef4-49c92a970f14	1	3484567	67997529	37094	-0.0104
e3ea5799-7dde-4813-aef4-49c92a970f14	1	67998994	218004190	73564	0.0056
e3ea5799-7dde-4813-aef4-49c92a970f14	1	218006249	218008915	7	-1.0766
e3ea5799-7dde-4813-aef4-49c92a970f14	1	218020173	247650984	18801	0.0052
e3ea5799-7dde-4813-aef4-49c92a970f14	2	480597	241537572	132019	0.0121
e3ea5799-7dde-4813-aef4-49c92a970f14	3	2170634	197812401	107024	0.0061
e3ea5799-7dde-4813-aef4-49c92a970f14	4	1059384	76890914	42282	0.0096
e3ea5799-7dde-4813-aef4-49c92a970f14	4	76894392	76895076	2	-1.8227
e3ea5799-7dde-4813-aef4-49c92a970f14	4	76899479	148811548	40156	0.013
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148811961	148812464	2	-2.0664
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148812517	187842528	20890	0.0133
e3ea5799-7dde-4813-aef4-49c92a970f14	5	913983	29956505	17256	0.0071
e3ea5799-7dde-4813-aef4-49c92a970f14	5	29958785	29958798	2	-1.6875
e3ea5799-7dde-4813-aef4-49c92a970f14	5	29960597	107755142	39134	0.005
e3ea5799-7dde-4813-aef4-49c92a970f14	5	107755536	107755768	2	-1.9355
e3ea5799-7dde-4813-aef4-49c92a970f14	5	107755803	114669452	4480	-0.001
e3ea5799-7dde-4813-aef4-49c92a970f14	5	114679476	114679894	2	-1.7677
e3ea5799-7dde-4813-aef4-49c92a970f14	5	114682045	127121923	7283	0.0084
e3ea5799-7dde-4813-aef4-49c92a970f14	5	127122434	127122625	2	-1.7479
e3ea5799-7dde-4813-aef4-49c92a970f14	5	127127947	180934240	32794	0.0051
e3ea5799-7dde-4813-aef4-49c92a970f14	6	1011760	170596889	97021	0.0076
e3ea5799-7dde-4813-aef4-49c92a970f14	7	664936	158592540	81806	0.0073
e3ea5799-7dde-4813-aef4-49c92a970f14	8	667625	144182542	82107	0.0038
e3ea5799-7dde-4813-aef4-49c92a970f14	9	789794	138044505	68369	0.0022
e3ea5799-7dde-4813-aef4-49c92a970f14	10	366509	133411599	81160	0.0032
e3ea5799-7dde-4813-aef4-49c92a970f14	11	456012	134272740	77435	0.0051
e3ea5799-7dde-4813-aef4-49c92a970f14	12	780472	125035340	70753	0.0062
e3ea5799-7dde-4813-aef4-49c92a970f14	12	125039735	125157068	68	-1.0065
e3ea5799-7dde-4813-aef4-49c92a970f14	12	125179811	132605822	3409	0.0153
e3ea5799-7dde-4813-aef4-49c92a970f14	13	18874255	114226675	56890	0.0108
e3ea5799-7dde-4813-aef4-49c92a970f14	14	20033191	105533894	49713	0.006
e3ea5799-7dde-4813-aef4-49c92a970f14	15	23437561	101344124	44720	-0.0029
e3ea5799-7dde-4813-aef4-49c92a970f14	16	603333	89317317	41119	0.002
e3ea5799-7dde-4813-aef4-49c92a970f14	17	1074619	17220547	8155	0.0026
e3ea5799-7dde-4813-aef4-49c92a970f14	17	17220667	17221339	2	2.24
e3ea5799-7dde-4813-aef4-49c92a970f14	17	17222727	82959812	29053	0.0038
e3ea5799-7dde-4813-aef4-49c92a970f14	18	326691	51046886	26750	0.0015
e3ea5799-7dde-4813-aef4-49c92a970f14	18	51052947	51053184	3	-1.3374
e3ea5799-7dde-4813-aef4-49c92a970f14	18	51053203	79349796	16155	0.0049
e3ea5799-7dde-4813-aef4-49c92a970f14	19	283868	58370362	24121	0.0132
e3ea5799-7dde-4813-aef4-49c92a970f14	20	472817	63588502	37495	-0.0043
e3ea5799-7dde-4813-aef4-49c92a970f14	21	13974127	21483825	4829	0.0089
e3ea5799-7dde-4813-aef4-49c92a970f14	21	21484036	21484261	3	-1.5812
e3ea5799-7dde-4813-aef4-49c92a970f14	21	21484548	46262057	15729	0.0035
e3ea5799-7dde-4813-aef4-49c92a970f14	22	16934932	48940621	17068	0.0007
e3ea5799-7dde-4813-aef4-49c92a970f14	X	3236359	23478732	8468	-0.0077
e3ea5799-7dde-4813-aef4-49c92a970f14	X	23479030	132174036	44974	0.0129
e3ea5799-7dde-4813-aef4-49c92a970f14	X	132174561	155677414	10438	-0.0053
