GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
323df895-a6a9-4fd1-9aab-6ae770381071	1	3301765	64283900	34482	-0.169
323df895-a6a9-4fd1-9aab-6ae770381071	1	64284543	65812785	1133	0.0282
323df895-a6a9-4fd1-9aab-6ae770381071	1	65818053	65818578	3	-1.027
323df895-a6a9-4fd1-9aab-6ae770381071	1	65818975	67988251	1609	0.0208
323df895-a6a9-4fd1-9aab-6ae770381071	1	67996564	67997039	2	-1.5454
323df895-a6a9-4fd1-9aab-6ae770381071	1	67997529	119908008	30847	0.0191
323df895-a6a9-4fd1-9aab-6ae770381071	1	119911381	247650984	61682	0.207
323df895-a6a9-4fd1-9aab-6ae770381071	2	480597	88830496	50772	0.035
323df895-a6a9-4fd1-9aab-6ae770381071	2	88831240	96130118	326	-0.1014
323df895-a6a9-4fd1-9aab-6ae770381071	2	96130766	96132566	3	-1.1729
323df895-a6a9-4fd1-9aab-6ae770381071	2	96138165	96826620	235	-0.1361
323df895-a6a9-4fd1-9aab-6ae770381071	2	96830636	99064512	865	0.0429
323df895-a6a9-4fd1-9aab-6ae770381071	2	99068370	230243238	73357	-0.1803
323df895-a6a9-4fd1-9aab-6ae770381071	2	230243413	241537572	6608	-0.1555
323df895-a6a9-4fd1-9aab-6ae770381071	3	2170634	197812401	107163	0.0235
323df895-a6a9-4fd1-9aab-6ae770381071	4	1059384	187842528	103509	0.0148
323df895-a6a9-4fd1-9aab-6ae770381071	5	913983	180934240	101103	0.021
323df895-a6a9-4fd1-9aab-6ae770381071	6	1011760	28415812	18419	-0.1665
323df895-a6a9-4fd1-9aab-6ae770381071	6	28426008	170596889	78742	0.0193
323df895-a6a9-4fd1-9aab-6ae770381071	7	664936	30167115	16421	0.017
323df895-a6a9-4fd1-9aab-6ae770381071	7	30167901	30187736	19	-0.8064
323df895-a6a9-4fd1-9aab-6ae770381071	7	30190288	158592540	65488	0.0216
323df895-a6a9-4fd1-9aab-6ae770381071	8	667625	51742814	27692	0.0272
323df895-a6a9-4fd1-9aab-6ae770381071	8	51747363	51747403	2	-1.4185
323df895-a6a9-4fd1-9aab-6ae770381071	8	51749233	144182542	54537	0.0183
323df895-a6a9-4fd1-9aab-6ae770381071	9	789794	2749297	1349	0.2141
323df895-a6a9-4fd1-9aab-6ae770381071	9	2749911	3729674	613	0.0165
323df895-a6a9-4fd1-9aab-6ae770381071	9	3730872	38752071	21628	0.2038
323df895-a6a9-4fd1-9aab-6ae770381071	9	68423153	107251699	25690	-0.1832
323df895-a6a9-4fd1-9aab-6ae770381071	9	107255119	138044505	19191	0.042
323df895-a6a9-4fd1-9aab-6ae770381071	10	366509	42457683	26257	0.0275
323df895-a6a9-4fd1-9aab-6ae770381071	10	42459603	54368754	6035	-0.1906
323df895-a6a9-4fd1-9aab-6ae770381071	10	54370707	133411599	48988	0.0083
323df895-a6a9-4fd1-9aab-6ae770381071	11	456012	134272740	77566	0.0274
323df895-a6a9-4fd1-9aab-6ae770381071	12	780472	13635893	7260	0.0339
323df895-a6a9-4fd1-9aab-6ae770381071	12	13635963	93796147	44458	0.0159
323df895-a6a9-4fd1-9aab-6ae770381071	12	93796775	117091721	14778	0.0305
323df895-a6a9-4fd1-9aab-6ae770381071	12	117095416	117097305	4	-1.3561
