GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e3ea5799-7dde-4813-aef4-49c92a970f14	1	62920	98602	13	-0.827
e3ea5799-7dde-4813-aef4-49c92a970f14	1	259407	16605031	8631	0.0015
e3ea5799-7dde-4813-aef4-49c92a970f14	1	16609512	16679483	27	-0.3115
e3ea5799-7dde-4813-aef4-49c92a970f14	1	16685961	16935737	77	0.4356
e3ea5799-7dde-4813-aef4-49c92a970f14	1	16935752	34637867	10237	-0.0118
e3ea5799-7dde-4813-aef4-49c92a970f14	1	34637909	34638890	11	-0.839
e3ea5799-7dde-4813-aef4-49c92a970f14	1	34648667	72303253	23736	-0.0068
e3ea5799-7dde-4813-aef4-49c92a970f14	1	72305460	72345255	41	-0.6009
e3ea5799-7dde-4813-aef4-49c92a970f14	1	72345393	108223733	22892	0.0029
e3ea5799-7dde-4813-aef4-49c92a970f14	1	108226680	108274557	2	-3.7431
e3ea5799-7dde-4813-aef4-49c92a970f14	1	108310648	109684893	674	-0.0033
e3ea5799-7dde-4813-aef4-49c92a970f14	1	109690352	109702376	14	1.1286
e3ea5799-7dde-4813-aef4-49c92a970f14	1	109703504	152583051	9558	0.0043
e3ea5799-7dde-4813-aef4-49c92a970f14	1	152583230	152614118	35	-1.5197
e3ea5799-7dde-4813-aef4-49c92a970f14	1	152618018	152787202	165	0.0722
e3ea5799-7dde-4813-aef4-49c92a970f14	1	152789447	152796224	37	-1.5954
e3ea5799-7dde-4813-aef4-49c92a970f14	1	152801429	174827267	14770	0.0022
e3ea5799-7dde-4813-aef4-49c92a970f14	1	174827418	174832702	16	-0.9736
e3ea5799-7dde-4813-aef4-49c92a970f14	1	174832716	193186662	12227	0.008
e3ea5799-7dde-4813-aef4-49c92a970f14	1	193187149	193187202	3	-1.3374
e3ea5799-7dde-4813-aef4-49c92a970f14	1	193187218	196769506	2399	0.0076
e3ea5799-7dde-4813-aef4-49c92a970f14	1	196769638	196846661	55	-0.6333
e3ea5799-7dde-4813-aef4-49c92a970f14	1	196847600	218004190	14436	0.0069
e3ea5799-7dde-4813-aef4-49c92a970f14	1	218006249	218008915	7	-1.0766
e3ea5799-7dde-4813-aef4-49c92a970f14	1	218020173	227237600	5974	0.0062
e3ea5799-7dde-4813-aef4-49c92a970f14	1	227238371	227238504	2	-1.7292
e3ea5799-7dde-4813-aef4-49c92a970f14	1	227238705	240228440	9472	0.0024
e3ea5799-7dde-4813-aef4-49c92a970f14	1	240230715	240230839	6	-1.0041
e3ea5799-7dde-4813-aef4-49c92a970f14	1	240232805	248546369	5670	0.0208
e3ea5799-7dde-4813-aef4-49c92a970f14	1	248550567	248645563	36	-0.737
e3ea5799-7dde-4813-aef4-49c92a970f14	1	248645808	248930189	140	0.0379
e3ea5799-7dde-4813-aef4-49c92a970f14	2	12784	34295406	23964	0.0135
e3ea5799-7dde-4813-aef4-49c92a970f14	2	34298911	34300513	2	-2.5852
e3ea5799-7dde-4813-aef4-49c92a970f14	2	34300900	35750907	1010	-0.0052
e3ea5799-7dde-4813-aef4-49c92a970f14	2	35752724	35762881	7	0.9405
e3ea5799-7dde-4813-aef4-49c92a970f14	2	35772407	52514599	12099	0.0085
e3ea5799-7dde-4813-aef4-49c92a970f14	2	52516787	52554157	33	0.8065
e3ea5799-7dde-4813-aef4-49c92a970f14	2	52554188	76617340	15527	0.0069
e3ea5799-7dde-4813-aef4-49c92a970f14	2	76618047	76618300	5	-1.308
e3ea5799-7dde-4813-aef4-49c92a970f14	2	76620460	86057163	5969	0.0183
e3ea5799-7dde-4813-aef4-49c92a970f14	2	86058833	86068173	4	1.2644
e3ea5799-7dde-4813-aef4-49c92a970f14	2	86069290	128880504	21255	0.0076
e3ea5799-7dde-4813-aef4-49c92a970f14	2	128880904	128882755	16	-0.6918
e3ea5799-7dde-4813-aef4-49c92a970f14	2	128888874	146106861	10400	0.0063
e3ea5799-7dde-4813-aef4-49c92a970f14	2	146106875	146108698	15	0.6233
e3ea5799-7dde-4813-aef4-49c92a970f14	2	146108825	163770646	10573	0.0124
e3ea5799-7dde-4813-aef4-49c92a970f14	2	163777042	163788616	8	-0.9807
e3ea5799-7dde-4813-aef4-49c92a970f14	2	163790132	212504894	29533	0.0093
e3ea5799-7dde-4813-aef4-49c92a970f14	2	212505638	212505978	2	-3.2836
e3ea5799-7dde-4813-aef4-49c92a970f14	2	212508264	241841244	18727	0.0144
e3ea5799-7dde-4813-aef4-49c92a970f14	2	241973315	242092368	104	-0.9037
e3ea5799-7dde-4813-aef4-49c92a970f14	2	242095460	242147305	24	-0.0919
e3ea5799-7dde-4813-aef4-49c92a970f14	3	20930	37940617	27568	0.002
e3ea5799-7dde-4813-aef4-49c92a970f14	3	37940970	37945392	16	-1.2728
e3ea5799-7dde-4813-aef4-49c92a970f14	3	37945437	60792199	13883	0.0048
e3ea5799-7dde-4813-aef4-49c92a970f14	3	60794907	60795294	4	-1.5073
e3ea5799-7dde-4813-aef4-49c92a970f14	3	60798502	130047743	40861	0.0056
e3ea5799-7dde-4813-aef4-49c92a970f14	3	130057015	130088081	37	0.6527
e3ea5799-7dde-4813-aef4-49c92a970f14	3	130088155	158632329	17628	0.0031
e3ea5799-7dde-4813-aef4-49c92a970f14	3	158633095	158633756	2	-2.8149
e3ea5799-7dde-4813-aef4-49c92a970f14	3	158641083	159057218	267	0.0154
e3ea5799-7dde-4813-aef4-49c92a970f14	3	159057500	159057729	4	1.1921
e3ea5799-7dde-4813-aef4-49c92a970f14	3	159057795	162795304	2332	0.0019
e3ea5799-7dde-4813-aef4-49c92a970f14	3	162795361	162910826	70	-1.754
e3ea5799-7dde-4813-aef4-49c92a970f14	3	162910855	162996729	69	0.043
e3ea5799-7dde-4813-aef4-49c92a970f14	3	162999939	163001774	2	-2.6875
e3ea5799-7dde-4813-aef4-49c92a970f14	3	163008371	167941968	2725	0.0029
e3ea5799-7dde-4813-aef4-49c92a970f14	3	167942969	167943348	2	-2.0789
e3ea5799-7dde-4813-aef4-49c92a970f14	3	167948129	193156958	16330	0.0007
e3ea5799-7dde-4813-aef4-49c92a970f14	3	193160113	193165114	20	-1.2844
e3ea5799-7dde-4813-aef4-49c92a970f14	3	193168646	195559056	1476	-0.0053
e3ea5799-7dde-4813-aef4-49c92a970f14	3	195656271	195747892	44	-0.5121
e3ea5799-7dde-4813-aef4-49c92a970f14	3	195751823	198142659	1162	0.0063
e3ea5799-7dde-4813-aef4-49c92a970f14	3	198169114	198169247	4	-1.2077
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68929	34777432	22672	0.0079
e3ea5799-7dde-4813-aef4-49c92a970f14	4	34784878	34823103	38	-2.7389
e3ea5799-7dde-4813-aef4-49c92a970f14	4	34828250	63840033	16555	0.0075
e3ea5799-7dde-4813-aef4-49c92a970f14	4	63841863	63852325	11	0.7955
e3ea5799-7dde-4813-aef4-49c92a970f14	4	63856498	68354665	2840	0.0161
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68361130	68395346	7	0.7826
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68416487	68422424	5	-1.6042
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68429081	68478894	9	0.0964
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68494770	68623617	68	0.4503
e3ea5799-7dde-4813-aef4-49c92a970f14	4	68639397	69261934	316	-0.0283
e3ea5799-7dde-4813-aef4-49c92a970f14	4	69262694	69366081	52	-0.7919
e3ea5799-7dde-4813-aef4-49c92a970f14	4	69366304	76890914	4638	0.0072
e3ea5799-7dde-4813-aef4-49c92a970f14	4	76894392	76895076	2	-1.8227
e3ea5799-7dde-4813-aef4-49c92a970f14	4	76899479	114252544	22626	0.009
e3ea5799-7dde-4813-aef4-49c92a970f14	4	114254167	114261019	23	-1.6246
e3ea5799-7dde-4813-aef4-49c92a970f14	4	114263073	132375518	10550	0.011
e3ea5799-7dde-4813-aef4-49c92a970f14	4	132375635	132375715	2	-2.0657
e3ea5799-7dde-4813-aef4-49c92a970f14	4	132380796	148317162	9582	0.0153
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148317860	148333453	5	-1.3971
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148333518	148811548	297	0.0194
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148811961	148812464	2	-2.0664
e3ea5799-7dde-4813-aef4-49c92a970f14	4	148812517	154881396	3562	0.0172
e3ea5799-7dde-4813-aef4-49c92a970f14	4	154881853	154881905	2	-2.8301
e3ea5799-7dde-4813-aef4-49c92a970f14	4	154881926	160952848	3911	0.008
e3ea5799-7dde-4813-aef4-49c92a970f14	4	160958866	160963881	27	-0.5277
e3ea5799-7dde-4813-aef4-49c92a970f14	4	160963971	171447380	6645	0.0118
e3ea5799-7dde-4813-aef4-49c92a970f14	4	171448195	171453798	3	-1.482
e3ea5799-7dde-4813-aef4-49c92a970f14	4	171453876	172066777	405	0.0426
e3ea5799-7dde-4813-aef4-49c92a970f14	4	172067997	172068382	12	0.9448
e3ea5799-7dde-4813-aef4-49c92a970f14	4	172074828	172501371	231	-0.0189
e3ea5799-7dde-4813-aef4-49c92a970f14	4	172503796	172507492	7	1.1998
e3ea5799-7dde-4813-aef4-49c92a970f14	4	172519981	190106768	11827	0.0111
e3ea5799-7dde-4813-aef4-49c92a970f14	5	15532	63282	25	-0.2577
e3ea5799-7dde-4813-aef4-49c92a970f14	5	68560	119672	23	0.6657
e3ea5799-7dde-4813-aef4-49c92a970f14	5	121461	15718383	12114	0.0012
e3ea5799-7dde-4813-aef4-49c92a970f14	5	15719113	15720488	11	-0.8131
e3ea5799-7dde-4813-aef4-49c92a970f14	5	15723237	21376735	3474	-0.0035
e3ea5799-7dde-4813-aef4-49c92a970f14	5	21377730	21377744	2	-2.5581
e3ea5799-7dde-4813-aef4-49c92a970f14	5	21385957	21449167	44	0.0465
e3ea5799-7dde-4813-aef4-49c92a970f14	5	21451091	21452329	5	-2.3908
e3ea5799-7dde-4813-aef4-49c92a970f14	5	21452387	29956505	4978	0.0185
e3ea5799-7dde-4813-aef4-49c92a970f14	5	29958785	29958798	2	-1.6875
e3ea5799-7dde-4813-aef4-49c92a970f14	5	29960597	34259309	2940	0.0017
e3ea5799-7dde-4813-aef4-49c92a970f14	5	34264242	34264450	3	-1.8454
e3ea5799-7dde-4813-aef4-49c92a970f14	5	34266449	46246558	7004	-0.0012
e3ea5799-7dde-4813-aef4-49c92a970f14	5	46251204	50225079	41	0.4289
e3ea5799-7dde-4813-aef4-49c92a970f14	5	50225758	58033288	5034	0.0006
e3ea5799-7dde-4813-aef4-49c92a970f14	5	58033703	58037688	27	-0.5933
e3ea5799-7dde-4813-aef4-49c92a970f14	5	58037706	107755142	28851	0.0016
e3ea5799-7dde-4813-aef4-49c92a970f14	5	107755536	107755768	2	-1.9355
e3ea5799-7dde-4813-aef4-49c92a970f14	5	107755803	113817942	4170	-0.0035
e3ea5799-7dde-4813-aef4-49c92a970f14	5	113822325	113831624	6	-1.2295
e3ea5799-7dde-4813-aef4-49c92a970f14	5	113834748	180951888	43727	0.0055
e3ea5799-7dde-4813-aef4-49c92a970f14	5	180953203	180987465	12	-0.8353
e3ea5799-7dde-4813-aef4-49c92a970f14	5	180990207	181363319	174	0.0593
e3ea5799-7dde-4813-aef4-49c92a970f14	6	149661	253861	99	-0.0179
e3ea5799-7dde-4813-aef4-49c92a970f14	6	254267	385784	111	0.235
e3ea5799-7dde-4813-aef4-49c92a970f14	6	387532	6025978	4631	-0.0002
e3ea5799-7dde-4813-aef4-49c92a970f14	6	6033698	6034203	3	-3.9884
e3ea5799-7dde-4813-aef4-49c92a970f14	6	6036812	29876257	16794	0.0048
e3ea5799-7dde-4813-aef4-49c92a970f14	6	29876595	29907031	14	-0.7364
e3ea5799-7dde-4813-aef4-49c92a970f14	6	29909182	31318499	654	0.0156
e3ea5799-7dde-4813-aef4-49c92a970f14	6	31318528	31328674	10	-1.9079
e3ea5799-7dde-4813-aef4-49c92a970f14	6	31342147	32486498	500	0.0338
e3ea5799-7dde-4813-aef4-49c92a970f14	6	32486746	32533522	14	1.9335
e3ea5799-7dde-4813-aef4-49c92a970f14	6	32540699	32722250	91	0.2783
e3ea5799-7dde-4813-aef4-49c92a970f14	6	32723020	32723053	3	2.062
e3ea5799-7dde-4813-aef4-49c92a970f14	6	32732907	78253172	26763	0.0075
e3ea5799-7dde-4813-aef4-49c92a970f14	6	78259348	78331916	113	-0.6475
e3ea5799-7dde-4813-aef4-49c92a970f14	6	78332002	103286954	15446	0.0058
e3ea5799-7dde-4813-aef4-49c92a970f14	6	103290101	103314186	46	-1.196
e3ea5799-7dde-4813-aef4-49c92a970f14	6	103317795	115057911	7305	0.0082
e3ea5799-7dde-4813-aef4-49c92a970f14	6	115057996	115086809	3	-2.1959
e3ea5799-7dde-4813-aef4-49c92a970f14	6	115087407	170741917	36789	0.0083
e3ea5799-7dde-4813-aef4-49c92a970f14	7	43355	68659	31	0.6509
e3ea5799-7dde-4813-aef4-49c92a970f14	7	79263	5868042	3006	0.0448
e3ea5799-7dde-4813-aef4-49c92a970f14	7	5871660	5963982	21	0.5827
e3ea5799-7dde-4813-aef4-49c92a970f14	7	5964274	6791067	344	0.0062
e3ea5799-7dde-4813-aef4-49c92a970f14	7	6791305	6799093	4	-1.6794
e3ea5799-7dde-4813-aef4-49c92a970f14	7	6814479	12086842	4327	-0.0094
e3ea5799-7dde-4813-aef4-49c92a970f14	7	12087484	12087660	4	-1.3748
e3ea5799-7dde-4813-aef4-49c92a970f14	7	12090131	38255395	19573	-0.0027
e3ea5799-7dde-4813-aef4-49c92a970f14	7	38258234	38317707	99	-0.3944
e3ea5799-7dde-4813-aef4-49c92a970f14	7	38317722	54299021	10990	0.0037
e3ea5799-7dde-4813-aef4-49c92a970f14	7	54299063	54318824	10	-1.6521
e3ea5799-7dde-4813-aef4-49c92a970f14	7	54325795	55441835	980	-0.0159
e3ea5799-7dde-4813-aef4-49c92a970f14	7	55442128	76248596	7196	0.0348
e3ea5799-7dde-4813-aef4-49c92a970f14	7	76250016	126405502	30262	0.0049
e3ea5799-7dde-4813-aef4-49c92a970f14	7	126405597	126406823	12	0.6396
e3ea5799-7dde-4813-aef4-49c92a970f14	7	126406824	134093899	4684	0.0005
e3ea5799-7dde-4813-aef4-49c92a970f14	7	134100424	134113790	33	0.7021
e3ea5799-7dde-4813-aef4-49c92a970f14	7	134113805	140408194	4051	0.0071
e3ea5799-7dde-4813-aef4-49c92a970f14	7	140414366	140414747	3	-1.4418
e3ea5799-7dde-4813-aef4-49c92a970f14	7	140419019	142063324	1133	0.004
e3ea5799-7dde-4813-aef4-49c92a970f14	7	142069843	142092108	33	-0.7242
e3ea5799-7dde-4813-aef4-49c92a970f14	7	142092307	154598185	7615	0.0028
e3ea5799-7dde-4813-aef4-49c92a970f14	7	154601461	154607903	4	-2.4626
e3ea5799-7dde-4813-aef4-49c92a970f14	7	154609120	155671335	913	-0.0105
e3ea5799-7dde-4813-aef4-49c92a970f14	7	155673169	155676942	3	1.3935
e3ea5799-7dde-4813-aef4-49c92a970f14	7	155683042	159334314	2312	0.0249
e3ea5799-7dde-4813-aef4-49c92a970f14	8	81254	643041	321	0.0227
e3ea5799-7dde-4813-aef4-49c92a970f14	8	644944	645875	8	1.0195
e3ea5799-7dde-4813-aef4-49c92a970f14	8	645892	645908	2	4.5539
e3ea5799-7dde-4813-aef4-49c92a970f14	8	656117	39373140	30136	0.0042
e3ea5799-7dde-4813-aef4-49c92a970f14	8	39378084	39529446	59	0.5665
e3ea5799-7dde-4813-aef4-49c92a970f14	8	39530780	53454974	6773	0.0111
e3ea5799-7dde-4813-aef4-49c92a970f14	8	53458661	53492820	24	0.6297
e3ea5799-7dde-4813-aef4-49c92a970f14	8	53496904	111282852	35142	0.0023
e3ea5799-7dde-4813-aef4-49c92a970f14	8	111282973	111283016	2	3.8407
e3ea5799-7dde-4813-aef4-49c92a970f14	8	111283031	145072769	22864	0.005
e3ea5799-7dde-4813-aef4-49c92a970f14	9	46587	5079156	5236	0.0021
e3ea5799-7dde-4813-aef4-49c92a970f14	9	5081416	5081953	10	-0.8543
e3ea5799-7dde-4813-aef4-49c92a970f14	9	5082995	42574420	26020	0.002
e3ea5799-7dde-4813-aef4-49c92a970f14	9	42585140	42726239	13	0.9728
e3ea5799-7dde-4813-aef4-49c92a970f14	9	42727685	61405110	42	0.0249
e3ea5799-7dde-4813-aef4-49c92a970f14	9	61520021	61647899	30	0.7488
e3ea5799-7dde-4813-aef4-49c92a970f14	9	61665362	61692688	5	-0.2997
e3ea5799-7dde-4813-aef4-49c92a970f14	9	61698293	63274174	21	0.4057
e3ea5799-7dde-4813-aef4-49c92a970f14	9	63276793	63580418	12	-0.3226
e3ea5799-7dde-4813-aef4-49c92a970f14	9	63590317	63592813	7	2.0527
e3ea5799-7dde-4813-aef4-49c92a970f14	9	63614182	138200944	47951	0.0022
e3ea5799-7dde-4813-aef4-49c92a970f14	10	45792	1400514	814	0.0302
e3ea5799-7dde-4813-aef4-49c92a970f14	10	1400885	1400901	2	-2.013
e3ea5799-7dde-4813-aef4-49c92a970f14	10	1400966	24086334	18334	0.0049
e3ea5799-7dde-4813-aef4-49c92a970f14	10	24088745	24089125	11	-1.8103
