GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4e540734-ff0e-4d74-826f-137a00547289	1	3301765	247650984	129798	0.0169
4e540734-ff0e-4d74-826f-137a00547289	2	480597	241537572	132211	0.0113
4e540734-ff0e-4d74-826f-137a00547289	3	2170634	197812401	107228	0.0168
4e540734-ff0e-4d74-826f-137a00547289	4	1059384	42830966	25908	0.0194
4e540734-ff0e-4d74-826f-137a00547289	4	42831775	42835666	3	-1.737
4e540734-ff0e-4d74-826f-137a00547289	4	42836085	187842528	77634	0.0167
4e540734-ff0e-4d74-826f-137a00547289	5	913983	180934240	101148	0.0195
4e540734-ff0e-4d74-826f-137a00547289	6	1011760	127376847	70851	0.0191
4e540734-ff0e-4d74-826f-137a00547289	6	127384334	127386145	3	-1.2656
4e540734-ff0e-4d74-826f-137a00547289	6	127389538	150206498	14404	0.0178
4e540734-ff0e-4d74-826f-137a00547289	6	150206831	150207472	2	-1.2868
4e540734-ff0e-4d74-826f-137a00547289	6	150210663	170596889	11953	0.0214
4e540734-ff0e-4d74-826f-137a00547289	7	664936	54266331	32113	0.0176
4e540734-ff0e-4d74-826f-137a00547289	7	54269455	54269985	3	-1.2538
4e540734-ff0e-4d74-826f-137a00547289	7	54270242	158592540	49859	0.0182
4e540734-ff0e-4d74-826f-137a00547289	8	667625	144182542	82272	0.0195
4e540734-ff0e-4d74-826f-137a00547289	9	789794	24857289	15509	0.0194
4e540734-ff0e-4d74-826f-137a00547289	9	24862847	24869058	9	0.6961
4e540734-ff0e-4d74-826f-137a00547289	9	24873964	138044505	52997	0.0183
4e540734-ff0e-4d74-826f-137a00547289	10	366509	26104425	18260	0.0228
4e540734-ff0e-4d74-826f-137a00547289	10	26105107	26105168	3	-1.0875
4e540734-ff0e-4d74-826f-137a00547289	10	26110733	43099746	8405	0.0234
4e540734-ff0e-4d74-826f-137a00547289	10	43102988	43103644	5	1.0457
4e540734-ff0e-4d74-826f-137a00547289	10	43103735	67780092	13405	0.0203
