GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f111081-c896-403e-b965-65d3e3a9ba62	1	3301765	7492530	2735	0.3359
8f111081-c896-403e-b965-65d3e3a9ba62	1	7494922	7511538	2	-1.776
8f111081-c896-403e-b965-65d3e3a9ba62	1	7511749	10004059	1216	0.3495
8f111081-c896-403e-b965-65d3e3a9ba62	1	10005145	16410856	3333	-0.0431
8f111081-c896-403e-b965-65d3e3a9ba62	1	16413458	17360532	296	0.3414
8f111081-c896-403e-b965-65d3e3a9ba62	1	17362409	30666733	7211	-0.063
8f111081-c896-403e-b965-65d3e3a9ba62	1	30667100	36661109	3022	0.1719
8f111081-c896-403e-b965-65d3e3a9ba62	1	36661242	40057978	1874	-0.0937
8f111081-c896-403e-b965-65d3e3a9ba62	1	40059018	41505556	742	0.093
8f111081-c896-403e-b965-65d3e3a9ba62	1	41507209	47175303	2999	-0.1063
8f111081-c896-403e-b965-65d3e3a9ba62	1	47175369	51308763	2166	0.2876
8f111081-c896-403e-b965-65d3e3a9ba62	1	51313087	54188849	1554	-0.1141
8f111081-c896-403e-b965-65d3e3a9ba62	1	54192585	64412136	7375	0.2998
8f111081-c896-403e-b965-65d3e3a9ba62	1	64412702	66285081	1383	-0.1003
8f111081-c896-403e-b965-65d3e3a9ba62	1	66291344	81238897	8652	0.27
8f111081-c896-403e-b965-65d3e3a9ba62	1	81239267	86381207	3433	0.1291
8f111081-c896-403e-b965-65d3e3a9ba62	1	86383800	86392338	2	2.5607
8f111081-c896-403e-b965-65d3e3a9ba62	1	86393286	87069570	347	0.1183
8f111081-c896-403e-b965-65d3e3a9ba62	1	87075012	88910950	1286	-0.1188
8f111081-c896-403e-b965-65d3e3a9ba62	1	88911345	146716041	18440	0.1399
8f111081-c896-403e-b965-65d3e3a9ba62	1	149906351	149963014	19	0.6698
8f111081-c896-403e-b965-65d3e3a9ba62	1	149963240	150082937	62	1.0302
8f111081-c896-403e-b965-65d3e3a9ba62	1	150085678	152930644	1267	0.5811
8f111081-c896-403e-b965-65d3e3a9ba62	1	152933231	152981901	47	-0.3857
