GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	1	3301765	247650984	129847	-0.0046
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	2	480597	241537572	132287	0.0046
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	3	2170634	197812401	107246	-0.0039
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	4	1059384	27535744	16674	0.0103
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	4	27536233	27537073	2	-1.9281
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	4	27537263	124538250	52911	0.0057
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	4	124539196	124541780	3	-1.949
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	4	124541870	187842528	33972	0.005
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	5	913983	180934240	101187	0.0043
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	6	1011760	170596889	97235	-0.0019
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	7	664936	66695455	34366	0.0032
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	7	66698936	73348420	3364	0.0381
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	7	73348712	158592540	44268	-0.0013
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	8	667625	139898064	81267	-0.0004
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	8	139898777	139899485	2	2.1144
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	8	139899971	144182542	1021	0.013
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	9	789794	138044505	68528	0.0079
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	10	366509	133411599	81350	0.0019
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	11	456012	58786269	32150	0.0046
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	11	58790890	58795173	3	-1.6648
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	11	58798903	134272740	45480	0.0053
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	12	780472	41481549	21357	-0.0005
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	12	41483060	41483855	2	-1.6435
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	12	41485311	126314787	50559	-0.0004
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	12	126314984	126314999	2	-1.7876
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	12	126316303	132605822	2477	0.013
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	13	18874255	97009769	45627	0.0014
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	13	97009799	97010750	2	-1.8585
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	13	97011046	114226675	11413	0.0027
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	14	20033191	105533894	49828	0.0062
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	15	23437561	26777221	1959	0.0188
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	15	26786920	26787478	3	-1.3662
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	15	26788647	46144535	9219	0.0011
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	15	46147113	46160555	6	-1.1456
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	15	46160806	101344124	33632	-0.0009
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	16	603333	89317317	41234	0.0132
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	17	1074619	82959812	37304	-0.0007
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	18	326691	79349796	42999	0.0087
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	19	283868	27849386	9114	0.0055
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	19	27850296	27854070	2	1.9167
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	19	27858748	58370362	15056	0.0058
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	20	472817	60862754	36182	-0.0011
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	20	60866540	60896370	40	0.5803
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	20	60899371	63588502	1360	0.0085
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	21	13974127	46262057	20612	0.0024
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	22	16934932	48940621	17100	0.0107
50bf10ef-4d64-4de6-ab06-9a16f6e78b17	X	3236359	155677414	64008	0.0034
