GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	3301765	3505022	106	-0.5228
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	3524818	3558637	8	-3.1833
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	3563585	13526432	5223	-0.5214
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	13526460	13529263	4	-4.9217
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	13529289	25442446	6774	-0.5159
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	25446866	25900028	193	-1.0783
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	25908492	55030196	15094	-0.5032
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	55030366	112028117	35206	-0.5548
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	112028797	152009773	5826	0.1588
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	152012311	157570533	2830	0.1892
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	157571147	180396939	15066	0.1468
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	180397348	180666902	174	-0.1545
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	180669335	185166613	2997	0.1457
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	185167326	199878649	8626	0.1019
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	199879937	204407080	2919	0.1789
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	204413461	204414328	2	-1.386
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	204417745	214610919	6929	0.1551
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	214620470	222989404	5572	0.1136
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	222989440	238025080	9694	0.1565
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	238029031	244006612	4198	0.119
67328c5c-3165-45cc-b5ca-09eabe931a2c	1	244006892	247650984	1640	0.1543
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	480597	47814238	28727	0.1263
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	47814672	59465978	6246	0.0945
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	59467341	76089921	9635	0.1291
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	76090024	83730724	4037	0.0818
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	83734221	122309089	16085	0.126
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	122312266	126679141	1879	0.0808
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	126679569	136558169	4942	0.1227
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	136558571	159237171	12922	0.0846
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	159238249	159261737	23	-0.488
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	159264107	178337193	11589	0.1009
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	178338758	198696576	10135	0.0714
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	198697036	199472056	463	0.1081
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	199475468	199475660	2	-1.4889
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	199478611	211041718	6658	0.1016
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	211047791	211049038	3	-1.26
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	211052953	216388175	3317	0.0924
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	216388196	220073250	2248	0.1397
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	220075733	229297596	6030	0.0916
67328c5c-3165-45cc-b5ca-09eabe931a2c	2	229301105	241537572	7048	0.1534
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	2170634	39219884	22178	-0.3293
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	39220561	39224125	3	-2.5014
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	39224442	43196960	2295	-0.3077
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	43197044	43199087	2	-2.8159
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	43199781	57409310	7581	-0.2942
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	57409431	58347910	487	-0.1451
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	58350474	58350868	3	-1.7994
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	58350908	61582417	1275	-0.1574
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	61582544	61861505	138	-0.3275
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	61862311	65234770	2775	-0.1634
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	65234820	66740798	1050	-0.0226
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	66747144	94580668	13497	-0.1778
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	94596235	97790017	1618	0.2561
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	97792711	104297714	3470	-0.339
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	104298897	104481178	96	0.2047
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	104486929	104529132	35	-0.211
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	104529191	105344372	601	0.2304
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	105344543	106354644	537	-0.3076
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	106358044	106858886	342	0.2513
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	106865992	108856102	1212	-0.1875
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	108859152	113597536	2559	0.2746
67328c5c-3165-45cc-b5ca-09eabe931a2c	3	113598016	197812401	44912	-0.3341
67328c5c-3165-45cc-b5ca-09eabe931a2c	4	1059384	10277933	4800	0.1937
67328c5c-3165-45cc-b5ca-09eabe931a2c	4	10279065	23105981	8895	0.1206
67328c5c-3165-45cc-b5ca-09eabe931a2c	4	23112229	23112784	2	-1.537
67328c5c-3165-45cc-b5ca-09eabe931a2c	4	23116447	23908313	544	0.0895
