GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a42c583f-320d-4082-bd9f-c1961aef2127	1	62920	259422	15	0.7204
a42c583f-320d-4082-bd9f-c1961aef2127	1	259926	4785832	1801	0.1164
a42c583f-320d-4082-bd9f-c1961aef2127	1	4787534	4787886	2	-2.6534
a42c583f-320d-4082-bd9f-c1961aef2127	1	4790739	9784716	3099	0.1616
a42c583f-320d-4082-bd9f-c1961aef2127	1	9789250	9792641	2	-2.9952
a42c583f-320d-4082-bd9f-c1961aef2127	1	9795530	13441012	1629	0.1966
a42c583f-320d-4082-bd9f-c1961aef2127	1	13444878	14711470	990	0.1182
a42c583f-320d-4082-bd9f-c1961aef2127	1	14712275	15823420	799	0.2002
a42c583f-320d-4082-bd9f-c1961aef2127	1	15827002	15843965	15	0.7699
a42c583f-320d-4082-bd9f-c1961aef2127	1	15844541	16689764	329	0.1773
a42c583f-320d-4082-bd9f-c1961aef2127	1	16718963	16935752	75	0.4992
a42c583f-320d-4082-bd9f-c1961aef2127	1	16949746	25081942	5131	0.1695
a42c583f-320d-4082-bd9f-c1961aef2127	1	25081974	25082194	3	-1.2615
a42c583f-320d-4082-bd9f-c1961aef2127	1	25082867	25256850	128	0.2041
a42c583f-320d-4082-bd9f-c1961aef2127	1	25266637	25320455	24	0.7988
a42c583f-320d-4082-bd9f-c1961aef2127	1	25336819	27152751	772	0.1647
a42c583f-320d-4082-bd9f-c1961aef2127	1	27156472	28237248	468	0.248
a42c583f-320d-4082-bd9f-c1961aef2127	1	28237768	42616854	8194	0.1484
a42c583f-320d-4082-bd9f-c1961aef2127	1	42619003	42646050	13	-3.1179
a42c583f-320d-4082-bd9f-c1961aef2127	1	42648313	45908378	1777	0.1552
a42c583f-320d-4082-bd9f-c1961aef2127	1	45908452	46306673	178	0.2877
a42c583f-320d-4082-bd9f-c1961aef2127	1	46307424	48279401	1270	0.1654
a42c583f-320d-4082-bd9f-c1961aef2127	1	48292644	52254786	1885	0.6203
a42c583f-320d-4082-bd9f-c1961aef2127	1	52255404	56093064	2599	0.1517
a42c583f-320d-4082-bd9f-c1961aef2127	1	56093564	58070393	1700	0.6172
a42c583f-320d-4082-bd9f-c1961aef2127	1	58070588	70367961	8672	0.6584
a42c583f-320d-4082-bd9f-c1961aef2127	1	70379416	72297687	1206	0.6299
a42c583f-320d-4082-bd9f-c1961aef2127	1	72302735	72345465	48	-1.2111
a42c583f-320d-4082-bd9f-c1961aef2127	1	72346221	86698383	9363	0.6376
a42c583f-320d-4082-bd9f-c1961aef2127	1	86699910	86706044	2	-1.2424
a42c583f-320d-4082-bd9f-c1961aef2127	1	86708299	87213530	285	0.6209
a42c583f-320d-4082-bd9f-c1961aef2127	1	87215468	89009572	1293	0.1377
a42c583f-320d-4082-bd9f-c1961aef2127	1	89012275	89012522	2	-3.4533
a42c583f-320d-4082-bd9f-c1961aef2127	1	89015841	100351723	7073	0.1511
a42c583f-320d-4082-bd9f-c1961aef2127	1	100356474	100357491	3	-1.4998
a42c583f-320d-4082-bd9f-c1961aef2127	1	100359037	103960838	2135	0.1502
a42c583f-320d-4082-bd9f-c1961aef2127	1	103962819	103964061	4	1.264
a42c583f-320d-4082-bd9f-c1961aef2127	1	103977129	105470754	802	0.1666
a42c583f-320d-4082-bd9f-c1961aef2127	1	105476583	105479753	17	-2.5994
