GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	1	3301765	247650984	129793	0.0062
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	2	480597	114490090	60657	0.001
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	2	114492199	114494610	3	-3.0094
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	2	114495193	241537572	71603	0.003
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	3	2170634	65262750	37001	0.0042
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	3	65263179	65263204	2	-1.7038
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	3	65265899	197812401	70235	0.002
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	4	1059384	177221382	98428	0.0035
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	4	177230979	177238347	12	-1.065
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	4	177240654	187842528	5099	0.0124
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	913983	76733940	40742	0.0022
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	76737052	76754360	18	0.604
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	76761066	87881699	6169	0.0055
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	87882711	87886991	2	1.4549
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	87888651	107702650	9535	0.0029
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	107703113	107703359	2	-1.5313
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	5	107704230	180934240	44707	0.0047
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	6	1011760	170596889	97214	0.0053
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	7	664936	75808367	38374	0.0054
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	7	75809445	75809462	2	-2.473
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	7	75810378	158592540	43616	0.0037
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	8	667625	144182542	82276	0.0045
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	9	789794	85663278	35753	0.0047
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	9	85663373	85664409	2	-1.5291
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	9	85664850	138044505	32762	0.002
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	10	366509	133411599	81326	0.0074
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	11	456012	70226653	36972	0.0036
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	11	70227742	70230481	3	-1.2719
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	11	70242901	134272740	40641	0.004
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	12	780472	132605822	74378	0.0063
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	13	18874255	76526423	33387	0.0059
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	13	76527169	76536630	6	-1.1895
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	13	76540115	114226675	23636	0.0084
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	14	20033191	105533894	49814	0.004
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	15	23437561	86457110	35458	0.0057
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	15	86457951	86462298	8	-0.9632
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	15	86462811	101344124	9333	0.0081
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	16	603333	5779550	2166	0.0032
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	16	5780104	5782327	2	-1.7886
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	16	5782945	89317317	39056	0.0085
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	17	1074619	82959812	37290	0.0009
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	18	326691	79349796	42994	0.0052
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	19	283868	18644323	7253	0.0034
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	19	18650140	18661763	3	-1.6084
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	19	18661846	55026405	15183	0.0057
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	19	55029157	55029213	2	-1.526
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	19	55036566	58370362	1717	0.0077
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	20	472817	63588502	37573	0.0046
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	21	13974127	46262057	20604	0.0074
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	22	16934932	48940621	17099	0.0018
87ae1404-bbcb-4f89-8fdd-a22ee4a02821	X	3236359	155677414	63979	0.0043
