GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
72455135-eb78-4703-aeff-2a7d395e45de	1	3301765	247650984	129763	0.0006
72455135-eb78-4703-aeff-2a7d395e45de	2	480597	187683350	101091	0.0068
72455135-eb78-4703-aeff-2a7d395e45de	2	187683583	187684313	2	-3.1515
72455135-eb78-4703-aeff-2a7d395e45de	2	187686171	188420530	231	0.0151
72455135-eb78-4703-aeff-2a7d395e45de	2	188422109	188423828	2	-1.6716
72455135-eb78-4703-aeff-2a7d395e45de	2	188426618	241537572	30904	0.0091
72455135-eb78-4703-aeff-2a7d395e45de	3	2170634	80160142	46302	-0.0013
72455135-eb78-4703-aeff-2a7d395e45de	3	80160424	80160465	2	-1.5527
72455135-eb78-4703-aeff-2a7d395e45de	3	80169092	122610935	20992	-0.0003
72455135-eb78-4703-aeff-2a7d395e45de	3	122612347	122625800	11	-1.0219
72455135-eb78-4703-aeff-2a7d395e45de	3	122628061	197812401	39882	0.0001
72455135-eb78-4703-aeff-2a7d395e45de	4	1059384	187842528	103511	-0.0015
72455135-eb78-4703-aeff-2a7d395e45de	5	913983	180934240	101130	0.001
72455135-eb78-4703-aeff-2a7d395e45de	6	1011760	8548535	5582	-0.0055
72455135-eb78-4703-aeff-2a7d395e45de	6	8550397	8550938	4	-1.7153
72455135-eb78-4703-aeff-2a7d395e45de	6	8551317	147694164	77903	0.0023
72455135-eb78-4703-aeff-2a7d395e45de	6	147698808	147713150	8	-0.8162
72455135-eb78-4703-aeff-2a7d395e45de	6	147715223	170596889	13679	0.0022
72455135-eb78-4703-aeff-2a7d395e45de	7	664936	158592540	81936	0.0023
72455135-eb78-4703-aeff-2a7d395e45de	8	667625	3519507	1394	-0.0008
72455135-eb78-4703-aeff-2a7d395e45de	8	3521518	3527222	13	-1.179
72455135-eb78-4703-aeff-2a7d395e45de	8	3529777	13816809	4622	-0.0011
72455135-eb78-4703-aeff-2a7d395e45de	8	13820134	13840108	17	-0.9576
72455135-eb78-4703-aeff-2a7d395e45de	8	13840313	41410681	18088	-0.0014
72455135-eb78-4703-aeff-2a7d395e45de	8	41411257	41414768	3	-1.5146
72455135-eb78-4703-aeff-2a7d395e45de	8	41414845	126506123	47129	-0.0037
72455135-eb78-4703-aeff-2a7d395e45de	8	126506457	126507540	2	-1.8173
72455135-eb78-4703-aeff-2a7d395e45de	8	126507887	129113143	1866	-0.0027
72455135-eb78-4703-aeff-2a7d395e45de	8	129114913	129132280	10	-0.5213
72455135-eb78-4703-aeff-2a7d395e45de	8	129134311	144182542	9104	-0.0007
72455135-eb78-4703-aeff-2a7d395e45de	9	789794	17893981	10505	-0.0044
72455135-eb78-4703-aeff-2a7d395e45de	9	17894274	17895107	2	-1.6206
72455135-eb78-4703-aeff-2a7d395e45de	9	17896373	138044505	57975	0.0004
72455135-eb78-4703-aeff-2a7d395e45de	10	366509	70281133	41657	0.0015
72455135-eb78-4703-aeff-2a7d395e45de	10	70284525	70285576	3	-1.4568
72455135-eb78-4703-aeff-2a7d395e45de	10	70286679	84978688	9197	0.0007
72455135-eb78-4703-aeff-2a7d395e45de	10	84979003	84987795	6	-1.0776
72455135-eb78-4703-aeff-2a7d395e45de	10	84989111	93880287	5390	0.0033
72455135-eb78-4703-aeff-2a7d395e45de	10	93881779	93882374	2	-1.5504
72455135-eb78-4703-aeff-2a7d395e45de	10	93887308	114703852	12964	0.0034
72455135-eb78-4703-aeff-2a7d395e45de	10	114704223	114704349	2	-1.2733
72455135-eb78-4703-aeff-2a7d395e45de	10	114706895	133411599	12085	-0.0003
72455135-eb78-4703-aeff-2a7d395e45de	11	456012	47372087	29770	-0.0004
72455135-eb78-4703-aeff-2a7d395e45de	11	47372754	47372766	2	-1.4631
72455135-eb78-4703-aeff-2a7d395e45de	11	47374671	98809018	24045	-0.0021
72455135-eb78-4703-aeff-2a7d395e45de	11	98813541	98816774	2	-1.8378
72455135-eb78-4703-aeff-2a7d395e45de	11	98816784	134272740	23772	0.0015
72455135-eb78-4703-aeff-2a7d395e45de	12	780472	132605822	74364	0.0009
72455135-eb78-4703-aeff-2a7d395e45de	13	18874255	114226675	57002	0.0018
72455135-eb78-4703-aeff-2a7d395e45de	14	20033191	105533894	49795	0.0018
72455135-eb78-4703-aeff-2a7d395e45de	15	23437561	101344124	44799	0.0041
72455135-eb78-4703-aeff-2a7d395e45de	16	603333	21323342	9638	-0.0015
72455135-eb78-4703-aeff-2a7d395e45de	16	21324285	21338882	10	-0.7194
72455135-eb78-4703-aeff-2a7d395e45de	16	21340717	81801504	26971	-0.001
72455135-eb78-4703-aeff-2a7d395e45de	16	81804241	81808180	6	1.1963
72455135-eb78-4703-aeff-2a7d395e45de	16	81810022	89317317	4590	0.0078
72455135-eb78-4703-aeff-2a7d395e45de	17	1074619	82959812	37289	0.0019
72455135-eb78-4703-aeff-2a7d395e45de	18	326691	79349796	42976	0.0024
72455135-eb78-4703-aeff-2a7d395e45de	19	283868	49123939	20352	0.0008
72455135-eb78-4703-aeff-2a7d395e45de	19	49137037	49170761	13	0.6324
72455135-eb78-4703-aeff-2a7d395e45de	19	49178024	58370362	3794	-0.0018
72455135-eb78-4703-aeff-2a7d395e45de	20	472817	63588502	37565	0.0034
72455135-eb78-4703-aeff-2a7d395e45de	21	13974127	46262057	20605	0.0032
72455135-eb78-4703-aeff-2a7d395e45de	22	16934932	48940621	17093	0.0032
72455135-eb78-4703-aeff-2a7d395e45de	X	3236359	155677414	63982	0.0006
