GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	3301765	83658786	46147	0.0099
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	83659601	84819019	826	0.5477
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	84819690	85277723	314	0.4428
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	85277987	85322284	25	0.5369
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	85324375	85324827	3	0.9044
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	85325975	153995926	22696	0.0069
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	154002145	155128474	575	0.4269
de88f4c3-0824-4ce2-8d1c-c6155db0f967	1	155128503	247650984	59104	0.0113
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	480597	33625315	20215	0.0083
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	33625883	33636226	10	-0.6626
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	33637426	35192874	932	0.0134
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	35195111	38470792	1593	0.5539
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	38472033	123484614	42835	0.0127
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	123484634	123602963	2	-2.2323
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	123602994	232148445	60845	0.0117
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	232158299	232183951	10	-0.8228
de88f4c3-0824-4ce2-8d1c-c6155db0f967	2	232186799	241537572	5689	0.0105
de88f4c3-0824-4ce2-8d1c-c6155db0f967	3	2170634	197812401	107145	0.0115
de88f4c3-0824-4ce2-8d1c-c6155db0f967	4	1059384	187842528	103472	0.0102
de88f4c3-0824-4ce2-8d1c-c6155db0f967	5	913983	43665178	25380	0.0117
de88f4c3-0824-4ce2-8d1c-c6155db0f967	5	43667248	44759484	500	0.4381
de88f4c3-0824-4ce2-8d1c-c6155db0f967	5	44761521	136435768	47896	0.0084
de88f4c3-0824-4ce2-8d1c-c6155db0f967	5	136446963	136448827	2	1.7356
