GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	3301765	45633104	22796	-0.2164
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	45638953	74389113	17768	-0.1862
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	74393203	74535999	70	-0.5141
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	74536305	106689616	19107	-0.1843
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	106690194	119984738	8218	-0.203
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	119984772	163020096	7298	0.4163
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	163027550	198142255	22176	0.4473
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	198142576	227963019	19339	0.4285
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	227967062	227985977	3	-1.642
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	1	227989116	247650984	12685	0.43
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	480597	31785652	19602	0.367
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	31793182	31793472	2	-1.7316
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	31797538	59836920	15671	0.3735
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	59838678	96178352	15769	0.1482
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	96181947	96911924	253	0.3549
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	96913658	98395796	497	0.1283
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	98398614	98410635	8	0.0134
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	98414579	98962006	287	-0.45
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	98968041	102218561	1961	-0.1439
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	102221013	134455061	16304	-0.4546
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	134455248	134455842	3	-3.2184
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	134456191	141959906	4165	-0.4601
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	141962153	142358310	247	-0.9187
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	142363491	149249089	3661	-0.4716
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	149251139	170845215	12899	-0.102
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	170848152	170933106	52	0.3571
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	170939871	207979138	20098	-0.1037
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	207984141	207984366	2	-2.4879
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	207987258	211673986	2218	-0.0898
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	211675293	211675480	2	-2.1239
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	2	211676652	241537572	18174	-0.1094
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	2170634	98170614	53298	0.0913
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	98171772	117175575	10883	-0.212
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	117178875	117304880	86	-1.0643
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	117308895	128211151	6336	-0.2149
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	128212497	130166725	851	0.6294
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	130166832	153912445	13118	0.8161
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	3	153914916	197812401	22408	1.0923
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	1059384	48067890	28304	0.174
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	51832470	180310597	71393	-0.4484
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	180312598	180426377	89	-0.8677
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	180429461	181463033	410	-0.4507
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	181463840	182584100	887	-0.9551
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	4	182584560	187842528	2094	-0.4721
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	5	913983	45383300	26082	0.1601
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	5	50828231	81192303	17196	-0.1329
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	5	81194468	128109681	25434	0.1596
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	5	128109840	128376740	153	-0.4433
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	5	128378809	180934240	32050	0.1561
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	1011760	44513272	26392	0.4925
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	44522070	44522377	2	-1.7001
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	44524111	53852443	5619	0.5154
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	53856804	53888079	24	-0.0787
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	53888201	54056608	127	0.1758
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	54056666	66580044	4436	-0.1059
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	66580165	66580788	2	-2.2068
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	66582436	151785158	49547	-0.1168
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	151786192	152094385	284	0.1643
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	6	152094559	170596889	10537	-0.1361
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	664936	2967748	740	-0.498
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	2967759	2967785	2	-5.4546
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	2968694	43536042	24101	-0.4724
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	43536406	43538020	2	-3.3413
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	43538116	73651362	12808	-0.4534
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	73655795	81296332	3513	-0.1088
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	81297646	81298786	2	-2.4596
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	81300905	121244399	20360	-0.0857
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	121245493	122903831	1015	-0.9145
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	7	122905259	158592540	19127	-0.0437
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	8	667625	80659267	44671	0.1564
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	8	80664730	80877686	97	-0.164
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	8	80878167	144182542	37306	0.1539
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	9	789794	19747675	12035	-0.4565
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	9	19749748	20217445	344	0.1855
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	9	20218697	123398694	48192	-0.4506
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	9	123403754	138044505	7624	-0.4933
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	10	366509	52431678	30895	-0.1336
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	10	52432627	120994206	42461	-0.1045
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	10	120996261	128988915	5954	-0.1239
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	10	128989485	129752067	581	0.1821
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	10	129753975	133411599	1171	-0.1266
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	456012	12732040	7340	-0.4931
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	12733101	12924656	174	-1.1169
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	12925155	29146577	10864	-0.4676
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	29150332	30131566	591	1.5494
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	30135412	32561281	1644	1.4238
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	32565933	33280928	349	1.1877
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	33463183	34364752	656	0.3814
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	34369261	35128836	612	0.7472
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	11	35134185	134272740	55095	-0.1107
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	780472	16361675	8868	0.2663
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	16361802	47374814	15580	0.2945
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	47375238	49028898	888	0.2635
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	49033099	50532921	645	0.1865
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	50533114	72670984	13182	0.2875
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	72707335	72710268	3	-1.4898
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	12	72714742	132605822	35046	0.2856
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	13	18874255	87444139	39640	0.3091
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	13	87444155	114226675	17224	0.0627
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	20033191	20368557	210	0.167
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	20372166	20478760	94	1.9606
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	20479109	20859749	244	1.4509
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	20861800	21121922	103	2.4224
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	21138361	21223956	55	0.1961
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	21224525	21459922	114	1.9605
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	21460179	21635545	90	1.0051
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	22664303	26294421	2068	-0.4732
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	26300516	26300519	3	1.4295
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	26300708	36477767	5929	-0.4491
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	36478763	36479458	2	-5.1409
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	14	36481355	105533894	40669	-0.4677
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	23437561	45431963	10730	0.1272
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	45432120	45564394	60	-0.2065
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	45570254	56478477	6963	0.1353
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	56478619	56479042	2	-2.6634
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	56479047	63906378	5213	0.1289
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	63910453	63912671	3	-1.3946
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	15	63913159	101344124	21719	0.1298
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	603333	627854	11	-0.0062
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	661905	14652868	8209	0.1555
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	14653245	46474548	5794	0.3825
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	46476005	58339945	7761	-0.1431
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	58340568	60625263	1444	0.3886
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	60627686	78716991	10828	-0.1381
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	78896319	79126803	251	-0.461
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	16	79127315	89317317	6779	-0.16
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	17	1074619	82959812	37164	-0.132
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	18	326691	23609736	9491	-0.4911
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	18	23612297	24663921	707	-0.1488
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	18	24669238	52641058	17630	-0.1083
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	18	52641783	79349796	15027	-0.1655
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	283868	1589388	260	0.0951
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	1599870	1613848	3	-2.1495
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	1626156	4708894	750	0.0847
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	4714491	17275900	5672	0.3067
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	17276210	27757658	2361	0.1072
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	27757812	30349781	1961	-0.1453
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	30350093	30482055	92	-0.5375
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	30486670	30793899	225	-0.135
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	30797211	30797633	2	-1.7859
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	30799692	31952584	828	-0.1763
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	31953595	32141697	159	-0.5378
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	32145417	46852552	7032	-0.1533
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	46854545	47015627	60	-0.5197
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	19	47015827	58370362	4693	-0.1595
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	20	472817	5117745	2902	0.6859
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	20	5118799	34249470	15503	0.7182
0e1c9ec4-1b65-4dd9-ab99-2abc8fdea3ba	20	34250914	37072159	1262	0.6675
