GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
54c64bfb-98e2-4161-bb35-d03295584bd3	1	62920	3296382	734	-0.4097
54c64bfb-98e2-4161-bb35-d03295584bd3	1	3298168	9271914	3927	-0.2048
54c64bfb-98e2-4161-bb35-d03295584bd3	1	9272644	9298184	16	-0.8569
54c64bfb-98e2-4161-bb35-d03295584bd3	1	9300149	10047407	342	-0.215
54c64bfb-98e2-4161-bb35-d03295584bd3	1	10050377	10480091	240	0.4276
54c64bfb-98e2-4161-bb35-d03295584bd3	1	10482064	15823420	3071	-0.1968
54c64bfb-98e2-4161-bb35-d03295584bd3	1	15827002	15827259	3	-3.9728
54c64bfb-98e2-4161-bb35-d03295584bd3	1	15827338	15828471	6	-1.1107
54c64bfb-98e2-4161-bb35-d03295584bd3	1	15828515	16041638	87	-0.2036
54c64bfb-98e2-4161-bb35-d03295584bd3	1	16041908	16047835	3	-1.2272
54c64bfb-98e2-4161-bb35-d03295584bd3	1	16052836	16719266	248	-0.1926
54c64bfb-98e2-4161-bb35-d03295584bd3	1	16721701	16935302	68	0.0314
54c64bfb-98e2-4161-bb35-d03295584bd3	1	16935393	19031521	1520	-0.2039
54c64bfb-98e2-4161-bb35-d03295584bd3	1	19033213	19405164	240	0.4613
54c64bfb-98e2-4161-bb35-d03295584bd3	1	19407467	22170210	1687	-0.1863
54c64bfb-98e2-4161-bb35-d03295584bd3	1	22175223	22187743	10	-0.7996
54c64bfb-98e2-4161-bb35-d03295584bd3	1	22188162	24281819	1182	-0.1719
54c64bfb-98e2-4161-bb35-d03295584bd3	1	24283263	25256800	623	-0.266
54c64bfb-98e2-4161-bb35-d03295584bd3	1	25256850	25320253	24	0.2068
54c64bfb-98e2-4161-bb35-d03295584bd3	1	25320455	28265312	1256	-0.2536
54c64bfb-98e2-4161-bb35-d03295584bd3	1	28268890	30662823	1469	-0.6064
54c64bfb-98e2-4161-bb35-d03295584bd3	1	30663301	30778851	88	-0.8954
54c64bfb-98e2-4161-bb35-d03295584bd3	1	30789158	30968135	112	-0.6361
54c64bfb-98e2-4161-bb35-d03295584bd3	1	30978297	31695002	371	0.5739
54c64bfb-98e2-4161-bb35-d03295584bd3	1	31699458	37288946	3073	-0.0439
54c64bfb-98e2-4161-bb35-d03295584bd3	1	37294065	37305694	12	0.7378
54c64bfb-98e2-4161-bb35-d03295584bd3	1	37306991	37464644	100	0.4393
54c64bfb-98e2-4161-bb35-d03295584bd3	1	37464693	38369675	496	0.6304
54c64bfb-98e2-4161-bb35-d03295584bd3	1	38370514	40757217	1282	0.8272
54c64bfb-98e2-4161-bb35-d03295584bd3	1	40757297	40856524	67	0.2819
54c64bfb-98e2-4161-bb35-d03295584bd3	1	40860129	42716499	1160	-0.059
54c64bfb-98e2-4161-bb35-d03295584bd3	1	42721161	43121354	245	0.3048
54c64bfb-98e2-4161-bb35-d03295584bd3	1	43129560	45928083	1502	-0.0519
54c64bfb-98e2-4161-bb35-d03295584bd3	1	45928880	46393062	211	0.1786
54c64bfb-98e2-4161-bb35-d03295584bd3	1	46396235	49495230	1937	-0.0489
54c64bfb-98e2-4161-bb35-d03295584bd3	1	49496959	49522138	4	0.814
54c64bfb-98e2-4161-bb35-d03295584bd3	1	49527566	52478850	1277	-0.0695
54c64bfb-98e2-4161-bb35-d03295584bd3	1	52482245	54733339	1425	0.351
54c64bfb-98e2-4161-bb35-d03295584bd3	1	54741821	54809137	56	0.0939
54c64bfb-98e2-4161-bb35-d03295584bd3	1	54809662	56825875	1595	0.3329
54c64bfb-98e2-4161-bb35-d03295584bd3	1	56826001	57026353	195	0.5816
54c64bfb-98e2-4161-bb35-d03295584bd3	1	57031501	60655648	2728	0.3323
54c64bfb-98e2-4161-bb35-d03295584bd3	1	60656256	71509334	7586	-0.0501
54c64bfb-98e2-4161-bb35-d03295584bd3	1	71520274	71559565	37	0.3506
54c64bfb-98e2-4161-bb35-d03295584bd3	1	71565883	72302815	454	-0.0452
54c64bfb-98e2-4161-bb35-d03295584bd3	1	72303233	72345465	46	-1.2839
54c64bfb-98e2-4161-bb35-d03295584bd3	1	72346221	72556765	127	-0.0477
54c64bfb-98e2-4161-bb35-d03295584bd3	1	72557372	72611765	32	0.2466
54c64bfb-98e2-4161-bb35-d03295584bd3	1	72618091	74421827	1055	-0.0206
54c64bfb-98e2-4161-bb35-d03295584bd3	1	74426761	74427141	3	0.919
54c64bfb-98e2-4161-bb35-d03295584bd3	1	74429833	74764284	253	-0.0275
54c64bfb-98e2-4161-bb35-d03295584bd3	1	74764864	74850804	57	0.2537
54c64bfb-98e2-4161-bb35-d03295584bd3	1	74851555	78888458	2581	-0.034
54c64bfb-98e2-4161-bb35-d03295584bd3	1	78892526	78935774	25	0.3632
54c64bfb-98e2-4161-bb35-d03295584bd3	1	78936673	79060977	70	0.0541
54c64bfb-98e2-4161-bb35-d03295584bd3	1	79061957	79089642	17	0.4608
54c64bfb-98e2-4161-bb35-d03295584bd3	1	79089920	80286204	788	-0.0386
54c64bfb-98e2-4161-bb35-d03295584bd3	1	80289470	80319839	22	0.3672
54c64bfb-98e2-4161-bb35-d03295584bd3	1	80319852	81191250	566	-0.0233
54c64bfb-98e2-4161-bb35-d03295584bd3	1	81193993	81217465	22	0.3558
