GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	3301765	39480004	19475	-0.1446
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	39481801	39481816	2	-1.4941
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	39487757	39852298	157	-0.1508
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	39863020	40974453	550	0.3262
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	40976444	46623945	3024	-0.1529
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	46625477	53428657	3518	-0.1142
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	53431822	55334097	1211	-0.1492
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	55335498	108806685	33251	-0.1047
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	108807336	112509564	2378	-0.1345
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	112512314	112512351	2	-2.5102
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	112512401	113980031	755	-0.1148
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	113980843	113982930	2	-1.3065
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	113982952	119984772	3821	-0.1145
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	146716041	161843725	6310	0.0696
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	161843975	200883983	24929	0.1031
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	200884305	206912315	3829	0.063
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	1	206912849	247650984	26568	0.1022
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	2	480597	118659962	62656	-0.1084
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	2	118660171	215059349	53314	-0.0926
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	2	215059763	230475446	9747	-0.105
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	2	230480669	241537572	6492	-0.1351
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	3	2170634	46546506	26590	-0.1057
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	3	46547183	52684212	2407	-0.151
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	3	52684264	197812401	78192	-0.1017
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	4	1059384	10951772	5330	-0.1326
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	4	10952792	179729097	94293	-0.1008
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	4	179734472	187842528	3880	-0.1172
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	5	913983	5119610	2809	-0.1336
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	5	5120663	174974605	95578	-0.112
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	5	174986074	180934240	2762	-0.1516
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	6	1011760	23616433	16088	-0.1154
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	6	23618603	44835950	10591	-0.1367
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	6	44836513	123934233	42182	-0.1033
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	6	123935320	123940169	6	-0.9466
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	6	123941226	170596889	28324	-0.1055
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	664936	6726603	2298	-0.1508
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	6727724	52052586	28325	-0.1077
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	52052673	52643044	466	-0.1478
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	52646339	52646521	2	-2.1152
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	52647819	78074093	8075	-0.1233
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	78074947	98034448	10913	-0.1052
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	98043516	101778085	1385	-0.152
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	101781777	136680261	19059	-0.1077
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	7	136685759	158592540	11417	-0.1253
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	8	667625	91188553	50358	0.374
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	8	91198830	91198986	3	-0.7604
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	8	91205311	140413472	31222	0.3785
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	8	140414401	144182542	670	0.3111
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	9	789794	32854021	20019	0.1872
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	9	32854059	36779084	2149	0.1456
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	9	36779111	68424128	1431	0.1876
23d1f5b1-6b5f-45f3-b30a-b6b04692ba68	9	68425024	93092818	16952	0.3606
