GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cf2d64ed-2967-40b1-aea9-18764d69e183	1	3301765	6254762	2007	0.2249
cf2d64ed-2967-40b1-aea9-18764d69e183	1	6256824	7633516	822	-0.158
cf2d64ed-2967-40b1-aea9-18764d69e183	1	7637119	7982676	202	-0.6847
cf2d64ed-2967-40b1-aea9-18764d69e183	1	7986078	8834930	408	-0.223
cf2d64ed-2967-40b1-aea9-18764d69e183	1	8838567	10005145	513	0.1807
cf2d64ed-2967-40b1-aea9-18764d69e183	1	10007374	10163022	59	-0.1629
cf2d64ed-2967-40b1-aea9-18764d69e183	1	10164635	14197832	1952	0.2289
cf2d64ed-2967-40b1-aea9-18764d69e183	1	14198149	15336110	873	0.2937
cf2d64ed-2967-40b1-aea9-18764d69e183	1	15336888	17223626	649	0.2289
cf2d64ed-2967-40b1-aea9-18764d69e183	1	17223819	18440980	911	0.3172
cf2d64ed-2967-40b1-aea9-18764d69e183	1	18443033	19247253	529	0.2493
cf2d64ed-2967-40b1-aea9-18764d69e183	1	19250337	19255844	2	-1.2807
cf2d64ed-2967-40b1-aea9-18764d69e183	1	19256836	19319485	19	0.2723
cf2d64ed-2967-40b1-aea9-18764d69e183	1	19320271	20340600	724	1.9715
cf2d64ed-2967-40b1-aea9-18764d69e183	1	20352739	20372359	15	0.4118
cf2d64ed-2967-40b1-aea9-18764d69e183	1	20372768	21497136	559	0.2286
cf2d64ed-2967-40b1-aea9-18764d69e183	1	21497615	22381072	456	0.511
cf2d64ed-2967-40b1-aea9-18764d69e183	1	22382304	22561012	101	1.7751
cf2d64ed-2967-40b1-aea9-18764d69e183	1	22563061	23352531	479	2.0351
cf2d64ed-2967-40b1-aea9-18764d69e183	1	23353350	24340933	483	1.6215
cf2d64ed-2967-40b1-aea9-18764d69e183	1	24343304	28830148	1837	0.1892
cf2d64ed-2967-40b1-aea9-18764d69e183	1	28830182	37741643	4909	0.245
cf2d64ed-2967-40b1-aea9-18764d69e183	1	37743126	40701862	1523	0.1815
cf2d64ed-2967-40b1-aea9-18764d69e183	1	40703733	40734483	15	0.6662
cf2d64ed-2967-40b1-aea9-18764d69e183	1	40734716	41539370	454	0.9387
cf2d64ed-2967-40b1-aea9-18764d69e183	1	41540334	42542347	665	0.4723
cf2d64ed-2967-40b1-aea9-18764d69e183	1	42543648	42689391	82	0.1928
cf2d64ed-2967-40b1-aea9-18764d69e183	1	42692839	43626356	590	0.5178
cf2d64ed-2967-40b1-aea9-18764d69e183	1	43630029	43948620	177	0.268
cf2d64ed-2967-40b1-aea9-18764d69e183	1	43948819	47149323	1453	0.4904
cf2d64ed-2967-40b1-aea9-18764d69e183	1	47149864	48782364	1112	0.564
cf2d64ed-2967-40b1-aea9-18764d69e183	1	48782518	55263695	3285	0.5049
cf2d64ed-2967-40b1-aea9-18764d69e183	1	55265544	57899418	2165	0.5614
cf2d64ed-2967-40b1-aea9-18764d69e183	1	57899724	59663452	1282	0.485
cf2d64ed-2967-40b1-aea9-18764d69e183	1	59665295	65710334	4210	0.7753
cf2d64ed-2967-40b1-aea9-18764d69e183	1	65710345	67438134	1284	0.6951
cf2d64ed-2967-40b1-aea9-18764d69e183	1	67439525	67440389	2	-0.7484
cf2d64ed-2967-40b1-aea9-18764d69e183	1	67440609	67493258	41	0.6022
cf2d64ed-2967-40b1-aea9-18764d69e183	1	67494921	68035200	410	0.762
cf2d64ed-2967-40b1-aea9-18764d69e183	1	68037052	68037761	2	-1.2472
cf2d64ed-2967-40b1-aea9-18764d69e183	1	68037843	69746766	1024	0.7711
cf2d64ed-2967-40b1-aea9-18764d69e183	1	69749346	70012600	135	0.1962
cf2d64ed-2967-40b1-aea9-18764d69e183	1	70012662	70016150	2	-1.4268
cf2d64ed-2967-40b1-aea9-18764d69e183	1	70016517	71989648	988	0.1938
cf2d64ed-2967-40b1-aea9-18764d69e183	1	71990149	72230572	152	-0.2222
cf2d64ed-2967-40b1-aea9-18764d69e183	1	72234456	76974835	2772	0.2004
cf2d64ed-2967-40b1-aea9-18764d69e183	1	76978650	77112046	67	-0.1798
cf2d64ed-2967-40b1-aea9-18764d69e183	1	77123496	79845802	1449	0.1798
cf2d64ed-2967-40b1-aea9-18764d69e183	1	79847506	79847745	2	-1.0564
cf2d64ed-2967-40b1-aea9-18764d69e183	1	79851802	80362790	310	0.1549
cf2d64ed-2967-40b1-aea9-18764d69e183	1	80364446	83125839	1787	0.2307
cf2d64ed-2967-40b1-aea9-18764d69e183	1	83126410	88605520	3589	0.1787
cf2d64ed-2967-40b1-aea9-18764d69e183	1	88609700	90414343	1089	0.1196
cf2d64ed-2967-40b1-aea9-18764d69e183	1	90417560	94359901	2231	0.1776
cf2d64ed-2967-40b1-aea9-18764d69e183	1	94362214	94364722	2	-1.1424
cf2d64ed-2967-40b1-aea9-18764d69e183	1	94364728	100228517	3670	0.1949
cf2d64ed-2967-40b1-aea9-18764d69e183	1	100232772	101929542	1146	0.1164
cf2d64ed-2967-40b1-aea9-18764d69e183	1	101929664	110652313	4558	0.19
cf2d64ed-2967-40b1-aea9-18764d69e183	1	110655562	111707612	680	0.1086
cf2d64ed-2967-40b1-aea9-18764d69e183	1	111710590	111744921	22	1.6787
cf2d64ed-2967-40b1-aea9-18764d69e183	1	111746496	117377038	3700	0.1843
cf2d64ed-2967-40b1-aea9-18764d69e183	1	117384715	117512150	57	1.1199
cf2d64ed-2967-40b1-aea9-18764d69e183	1	117515613	118477806	545	0.5087
cf2d64ed-2967-40b1-aea9-18764d69e183	1	118477995	118484811	6	1.8954
cf2d64ed-2967-40b1-aea9-18764d69e183	1	118486443	119933053	874	0.2112
cf2d64ed-2967-40b1-aea9-18764d69e183	1	119934039	119984772	36	1.7968
cf2d64ed-2967-40b1-aea9-18764d69e183	1	146716041	151630186	639	0.424
cf2d64ed-2967-40b1-aea9-18764d69e183	1	151633929	155313634	1940	0.4795
cf2d64ed-2967-40b1-aea9-18764d69e183	1	155315261	156371703	430	0.403
cf2d64ed-2967-40b1-aea9-18764d69e183	1	156373901	158844592	1582	-0.2664
cf2d64ed-2967-40b1-aea9-18764d69e183	1	158846948	158919634	34	1.8102
cf2d64ed-2967-40b1-aea9-18764d69e183	1	158930485	162225948	2016	-0.295
cf2d64ed-2967-40b1-aea9-18764d69e183	1	162226709	166758552	3548	-0.2167
cf2d64ed-2967-40b1-aea9-18764d69e183	1	166760605	176327425	5971	-0.2802
cf2d64ed-2967-40b1-aea9-18764d69e183	1	176328572	176796220	263	1.8537
cf2d64ed-2967-40b1-aea9-18764d69e183	1	176802823	178321672	1009	1.3622
cf2d64ed-2967-40b1-aea9-18764d69e183	1	178323658	178684145	233	1.8645
cf2d64ed-2967-40b1-aea9-18764d69e183	1	178684914	179217813	403	2.1146
cf2d64ed-2967-40b1-aea9-18764d69e183	1	179218074	180403643	726	1.7668
cf2d64ed-2967-40b1-aea9-18764d69e183	1	180404974	181790521	955	2.0621
cf2d64ed-2967-40b1-aea9-18764d69e183	1	181790720	185604748	2524	2.1601
cf2d64ed-2967-40b1-aea9-18764d69e183	1	185605527	186553623	537	2.4074
cf2d64ed-2967-40b1-aea9-18764d69e183	1	186561845	187011034	299	0.1559
cf2d64ed-2967-40b1-aea9-18764d69e183	1	187011637	187244481	157	-0.1912
cf2d64ed-2967-40b1-aea9-18764d69e183	1	187250588	191318284	2341	0.1968
cf2d64ed-2967-40b1-aea9-18764d69e183	1	191319489	193963658	1742	0.1045
cf2d64ed-2967-40b1-aea9-18764d69e183	1	193963807	194518804	334	0.1809
cf2d64ed-2967-40b1-aea9-18764d69e183	1	194522000	198512662	2075	0.4937
cf2d64ed-2967-40b1-aea9-18764d69e183	1	198512743	198512758	2	-0.9872
cf2d64ed-2967-40b1-aea9-18764d69e183	1	198512908	203065922	2893	0.4792
cf2d64ed-2967-40b1-aea9-18764d69e183	1	203066122	204554743	1020	0.9209
cf2d64ed-2967-40b1-aea9-18764d69e183	1	204560590	204561796	3	0.436
cf2d64ed-2967-40b1-aea9-18764d69e183	1	204569214	206410277	1016	-0.2508
cf2d64ed-2967-40b1-aea9-18764d69e183	1	206421552	208090459	1153	-0.3368
cf2d64ed-2967-40b1-aea9-18764d69e183	1	208090635	210727839	2063	-0.2344
cf2d64ed-2967-40b1-aea9-18764d69e183	1	210728117	213331602	1553	-0.3012
cf2d64ed-2967-40b1-aea9-18764d69e183	1	213332331	220681918	5108	-0.2202
cf2d64ed-2967-40b1-aea9-18764d69e183	1	220682502	224158496	2103	-0.2945
cf2d64ed-2967-40b1-aea9-18764d69e183	1	224159589	226240998	1141	-0.0305
cf2d64ed-2967-40b1-aea9-18764d69e183	1	226252103	226312626	25	-0.5378
cf2d64ed-2967-40b1-aea9-18764d69e183	1	226324409	234820595	5695	-0.0179
cf2d64ed-2967-40b1-aea9-18764d69e183	1	234821304	238159592	2328	-0.0954
cf2d64ed-2967-40b1-aea9-18764d69e183	1	238161176	238562033	328	0.025
cf2d64ed-2967-40b1-aea9-18764d69e183	1	238562165	238714266	132	0.0555
cf2d64ed-2967-40b1-aea9-18764d69e183	1	238724479	241134600	1808	0.1446
cf2d64ed-2967-40b1-aea9-18764d69e183	1	241135005	242643558	1104	0.0541
cf2d64ed-2967-40b1-aea9-18764d69e183	1	242643604	242827825	133	-0.0065
cf2d64ed-2967-40b1-aea9-18764d69e183	1	242828684	247650984	2230	-0.2595
