GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	62920	98602	13	0.4175
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	259407	2962978	577	-0.1189
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	2985564	16855942	8112	0.0065
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	16863509	16935752	55	-0.5164
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	16949746	21370976	2987	0.0019
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	21372846	21457487	41	-0.3628
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	21457806	25275368	2241	0.0141
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	25275481	25319693	14	0.7861
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	25320198	72303233	28744	0.0075
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	72303253	72345465	45	-1.3612
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	72346221	105470754	20955	0.0098
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	105476583	105479231	13	0.6189
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	105479468	109684893	2640	0.0071
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	109690352	109697556	13	-0.9782
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	109702376	112147704	1950	0.0013
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	112153343	112154768	25	-1.6672
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	112163334	152787202	7804	0.0115
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	152789447	152806050	41	0.7055
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	152806082	174827267	14804	0.0032
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174827418	174828549	14	-0.7632
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174832599	174925032	56	-0.0063
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174927162	174929387	5	-1.2851
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174932989	189679027	9846	0.0047
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	189679353	189679397	2	-2.1257
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	189682917	209897717	13587	0.0005
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	209908268	209910639	3	-2.0938
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	209913207	240228440	21170	0.0047
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	240230715	240230839	6	-1.7049
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	240232805	248930189	5861	0.0198
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	12784	34466002	24088	0.0004
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	34474248	34511990	46	0.8243
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	34512096	35750907	872	-0.0053
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	35752724	35762850	6	-1.6305
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	35762881	36109476	276	0.0429
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	36109597	36112364	11	-1.0967
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	36112411	72014374	24718	0.003
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	72022861	72051830	25	-1.0936
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	72052333	73879703	795	-0.0028
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	73879989	73884901	2	-1.4952
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	73885287	84864786	7203	0.0028
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	84869357	84874613	4	-1.078
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	84875577	86710564	1061	-0.0014
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	86725947	86726731	2	-1.8629
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	86743283	128880504	20906	-0.0013
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	128880904	128882723	14	-0.6676
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	128882741	146104517	10417	0.0119
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	146106836	146109366	24	-1.9187
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	146120238	229723562	51502	0.0052
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	229723680	229831844	48	0.5219
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	229837936	242147305	7524	-0.0083
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	20930	182919	152	0.0031
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	188339	190956	3	-3.6603
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	191117	30058593	22267	0.0108
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	30069315	30069515	2	-2.0184
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	30069868	68697013	25372	0.0044
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	68697108	68698262	14	-1.0985
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	68699607	130067531	34666	0.0072
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	130067896	130070692	6	0.8017
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	130072326	130074152	12	0.3559
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	130074811	130080754	8	0.7961
