GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	1	3301765	247650984	129369	0.0046
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	2	480597	241537572	131842	0.0161
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	3	2170634	197812401	106895	0.0036
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	4	1059384	187842528	103212	0.0025
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	913983	6995488	4425	-0.0043
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	6995851	6997521	3	-1.741
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	6997984	17426200	6422	-0.0029
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	17426275	17432709	4	-1.9007
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	17435330	23290542	2808	0.0026
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	23290614	23291626	3	-1.938
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	5	23291734	180934240	87146	0.0064
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	6	1011760	86382798	47757	0.0047
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	6	86384768	86385386	2	-2.5402
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	6	86386138	170596889	49136	0.0019
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	7	664936	158592540	81699	0.0082
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	8	667625	41196748	23948	-0.0098
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	8	41200481	41200822	2	-2.2624
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	8	41201938	60153741	8754	0.0026
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	8	60157886	144182542	49305	0.0218
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	9	789794	105187893	47855	0.0005
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	9	105190715	105197961	4	-2.282
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	9	105199009	138044505	20388	0.0003
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	10	366509	133411599	81042	-0.0002
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	11	456012	133554809	76968	0.0023
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	11	133557407	133557782	2	-2.394
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	11	133557842	134272740	349	0.045
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	12	780472	24567437	14026	0.0024
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	12	24572718	25047631	113	0.2291
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	12	25056830	25317908	284	0.5774
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	12	25318506	25654486	254	0.3387
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	12	25654702	132605822	59451	0.0038
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	13	18874255	114226675	56804	-0.0029
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	14	20033191	105533894	49655	0.0041
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	15	23437561	101344124	44653	0.0083
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	16	603333	89317317	41055	-0.0021
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	17	1074619	82959812	37146	-0.0015
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	18	326691	79349796	42843	0.0001
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	19	283868	58370362	24099	0.0139
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	20	472817	63588502	37430	0.0034
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	21	13974127	46262057	20539	-0.0058
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	22	16934932	48940621	17051	0.0042
6a94c4dc-0a45-4a33-a5fb-4de3f61dd55d	X	3236359	155677414	63839	0.0072
