GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
37f156e4-c11a-4934-b0d2-c860222f68d6	1	3301765	8235934	3139	-0.1456
37f156e4-c11a-4934-b0d2-c860222f68d6	1	8238415	22360000	7359	-0.9668
37f156e4-c11a-4934-b0d2-c860222f68d6	1	22362096	25943597	1798	-0.1748
37f156e4-c11a-4934-b0d2-c860222f68d6	1	25948736	31750531	2764	-0.9525
37f156e4-c11a-4934-b0d2-c860222f68d6	1	31753916	32017315	114	-0.2228
37f156e4-c11a-4934-b0d2-c860222f68d6	1	32022954	32580134	193	0.2535
37f156e4-c11a-4934-b0d2-c860222f68d6	1	32584790	32587262	3	-2.2343
37f156e4-c11a-4934-b0d2-c860222f68d6	1	32589061	33106376	210	0.2926
37f156e4-c11a-4934-b0d2-c860222f68d6	1	33119087	34182777	714	-0.9741
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34185120	34185784	2	0.1927
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34188221	34535695	285	1.3433
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34538053	34562456	15	0.9744
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34565327	34613649	28	1.3423
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34617367	34841842	121	1.0602
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34847900	34923909	43	1.5574
37f156e4-c11a-4934-b0d2-c860222f68d6	1	34925976	35115171	71	0.329
37f156e4-c11a-4934-b0d2-c860222f68d6	1	35122943	36522672	622	0.6814
37f156e4-c11a-4934-b0d2-c860222f68d6	1	36523540	36984730	336	0.802
37f156e4-c11a-4934-b0d2-c860222f68d6	1	36985407	37237791	154	1.3065
37f156e4-c11a-4934-b0d2-c860222f68d6	1	37240105	37350483	89	1.5278
37f156e4-c11a-4934-b0d2-c860222f68d6	1	37352476	37379639	7	1.0592
37f156e4-c11a-4934-b0d2-c860222f68d6	1	37383192	38379363	505	1.7928
37f156e4-c11a-4934-b0d2-c860222f68d6	1	38379913	39270035	503	1.4979
37f156e4-c11a-4934-b0d2-c860222f68d6	1	39270662	39271488	2	0.2434
37f156e4-c11a-4934-b0d2-c860222f68d6	1	39276302	39712815	170	1.032
37f156e4-c11a-4934-b0d2-c860222f68d6	1	39713701	39945932	127	0.6918
37f156e4-c11a-4934-b0d2-c860222f68d6	1	39947226	40580130	299	0.2749
37f156e4-c11a-4934-b0d2-c860222f68d6	1	40583765	41789416	723	1.5361
37f156e4-c11a-4934-b0d2-c860222f68d6	1	41789550	41840717	47	0.3841
37f156e4-c11a-4934-b0d2-c860222f68d6	1	41841440	41846139	5	1.7879
37f156e4-c11a-4934-b0d2-c860222f68d6	1	41847749	42486543	395	0.3852
37f156e4-c11a-4934-b0d2-c860222f68d6	1	42486855	44345308	1069	0.7285
37f156e4-c11a-4934-b0d2-c860222f68d6	1	44345954	46129164	752	1.658
37f156e4-c11a-4934-b0d2-c860222f68d6	1	46130011	46435874	125	0.797
37f156e4-c11a-4934-b0d2-c860222f68d6	1	46441668	46929681	279	0.3794
37f156e4-c11a-4934-b0d2-c860222f68d6	1	46932251	47052288	59	0.7299
37f156e4-c11a-4934-b0d2-c860222f68d6	1	47053873	47467851	215	0.3519
37f156e4-c11a-4934-b0d2-c860222f68d6	1	47472457	47849933	292	1.1371
37f156e4-c11a-4934-b0d2-c860222f68d6	1	47855051	47955009	94	0.4373
