GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	3301765	3377858	53	-1.2667
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	3378408	3665397	95	0.5261
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	3666694	3779972	73	-0.658
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	3780042	3852667	52	-2.3086
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	3852698	4348271	296	-0.2426
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	4349436	4354656	4	-6.4947
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	4354764	15439578	5845	-0.288
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	15443212	15502099	15	-3.4344
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	15502247	18148991	1126	-0.2589
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	18149693	18153664	7	-5.1252
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	18154003	59974911	21792	-0.2639
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	59976105	59982192	7	-5.1839
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	59982414	60402167	249	-0.1924
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	60402269	65574175	3390	-0.1017
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	65577215	65580244	4	-5.8875
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	65584038	70578795	3031	-0.1075
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	70578997	70594537	13	-3.357
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	70603424	91161822	11709	-0.1196
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	91162709	91167541	7	-4.9481
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	91167631	157565196	19430	-0.1597
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	157565326	157568822	7	-4.7108
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	157568841	161973412	2536	-0.1909
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	161974963	161987014	11	-4.2688
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	161987684	184633964	14359	-0.1513
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	184635781	184655059	7	-4.899
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	184658379	194085883	5412	-0.1045
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	194092936	194093109	3	-6.1427
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	194093234	198100941	1958	-0.0838
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	198101101	198102594	3	-6.2133
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	198105634	199818613	1002	-0.0329
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	199818694	201353750	990	-0.2614
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	201354305	201375518	13	-3.818
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	201375780	232875921	19016	-0.2171
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	232875934	232884378	11	-3.9273
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	1	232884822	247650984	8975	-0.1719
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	480597	29397105	16668	-0.2803
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	29398890	29409706	8	-4.6507
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	29412376	29711861	255	-0.239
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	29712097	29719833	6	-4.9332
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	29720730	30765282	681	-0.4314
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	30767462	34210756	1598	-0.0492
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	34212182	34216079	5	-4.7322
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	34217552	34342976	110	-0.0781
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	34343002	34371158	14	-2.8036
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	34376860	36802270	1195	0.0316
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	36802430	36807559	7	-4.1338
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	36807870	38414823	548	-0.0963
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	38414913	38517270	81	-1.3784
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	38517625	43011079	2556	-0.1713
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	43012238	43025710	10	-4.9727
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	43026103	69714353	14610	-0.1638
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	69714879	69734118	15	-3.4456
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	69735837	79470645	4670	-0.2166
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	79470856	79472456	4	-6.3243
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	79472679	85417470	3329	-0.1098
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	85420423	100669561	3249	-0.3407
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	100669787	100681014	12	-4.2593
0dc4136c-c8d3-43b3-b3c8-04fdba203eeb	2	100685887	100870277	133	0.0677
