GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	3301765	21501899	10254	0.1732
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	21503843	21759674	164	0.4482
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	21761267	38131187	8256	0.1702
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	38135808	38136401	2	-1.6979
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	38140728	47500386	4992	0.1696
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	47500620	69594762	14510	0.1392
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	69595165	90361059	12401	0.1179
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	90364793	99127010	5222	0.1431
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	99131772	99624722	368	0.1615
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	99632871	100270437	385	0.4713
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	100274916	153393072	13290	0.1427
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	153393328	153587655	94	0.4669
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	153593211	154219904	235	0.6891
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	154224650	154360394	61	0.5013
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	154360663	155526548	586	0.1876
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	155529012	156258269	299	0.0828
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	156260415	156760766	241	-0.0008
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	156762498	156836208	36	0.2968
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	156839189	162589627	3665	-0.0108
9b0d1252-3106-4bec-b8ff-35098deca4d5	1	162589689	247650984	54722	-0.0476
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	480597	5989648	3113	0.1404
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	5991327	14958653	6113	0.1706
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	14958808	17809835	1993	0.1323
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	17810263	17810968	4	-0.6058
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	17811677	22330048	2985	0.1417
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	22330129	44040661	11974	0.1734
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	44046571	44076908	2	-1.1902
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	44077918	48545063	2951	0.1779
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	48548270	59805675	6171	0.1502
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	59806230	69946483	6005	0.1737
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	69946497	70542233	374	0.391
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	70545055	79704244	4682	0.1679
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	79705111	83715507	2364	0.1308
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	83717168	94895864	2140	0.1686
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	94907229	95934846	210	0.206
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	95938496	96595898	208	0.3792
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	96596156	117695442	10751	0.1931
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	117695483	149866837	16977	0.1402
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	149866856	150015869	133	-0.1976
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	150018243	156829694	4108	0.157
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	156829919	158262126	768	-0.1425
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	158262307	158611867	208	0.1558
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	158614901	159375768	516	0.45
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	159380082	194004076	19474	0.1588
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	194006505	201091741	3667	-0.2289
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	201096103	201558143	202	0.0481
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	201558672	201558981	3	1.2279
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	201561984	201722930	103	0.0247
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	201723182	204500704	1383	-0.2122
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	204501616	209061902	2880	-0.0317
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	209062558	230674013	13406	-0.2275
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	230676293	231746906	477	0.0212
9b0d1252-3106-4bec-b8ff-35098deca4d5	2	231751786	241537572	5897	-0.2276
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	2170634	46287787	26409	-0.208
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	46288719	53067624	2790	-0.1581
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	53067764	91462299	22077	-0.2135
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	94015345	105652296	6255	0.4456
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	105654992	112296445	3680	0.6943
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	112301567	112396542	62	0.3939
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	112397796	116267274	2271	0.6735
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	116271502	116280433	5	1.308
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	116281369	116805042	427	0.6474
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	116805056	116808395	5	0.1688
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	116808772	116921764	102	0.6587
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	116925391	117152001	189	0.4165
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	117152367	117561874	295	0.6706
9b0d1252-3106-4bec-b8ff-35098deca4d5	3	117562080	117624366	52	0.9163
