GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	1	3301765	53279206	26627	0.0075
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	1	53280923	53386182	67	0.4472
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	1	53386482	119984772	41459	0.0065
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	1	146716041	247650984	61656	0.27
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	2	480597	113095212	59980	0.0082
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	2	113095215	113095804	2	-1.224
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	2	113101568	241537572	72285	0.0072
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	3	2170634	197812401	107214	0.0078
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	4	1059384	187842528	103539	0.0068
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	913983	56049520	29292	0.0113
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	56052122	56182604	84	-0.498
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	56185340	56185985	3	-1.9492
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	56186572	62379151	3933	-0.5282
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	62384504	127121923	34970	0.0071
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	127122434	127122625	2	-1.1265
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	127127947	127613124	277	0.0042
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	127613531	140730462	7429	-0.3313
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	5	140736849	180934240	25159	0.0098
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	1011760	112634252	62735	0.0077
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	112634335	112634360	2	-1.2911
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	112636115	136058596	13950	0.0056
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	136061822	136061837	2	-1.1061
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	136062779	143243098	3976	0.0052
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	143244523	143247938	2	1.1085
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	143247958	144337955	790	0.0193
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	144338810	144341094	4	-1.0499
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	6	144343138	170596889	15732	0.0087
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	7	664936	34677626	19392	-0.2935
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	7	34681385	158592540	62578	0.0056
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	8	667625	144182542	82261	0.0078
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	9	789794	138044505	68512	0.0085
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	10	366509	133411599	81327	0.0097
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	11	456012	104628581	57783	0.0063
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	11	104629450	105135186	217	0.2342
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	11	105135209	134272740	19613	0.0101
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	12	780472	74785641	40290	0.0061
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	12	74792132	74792534	3	-1.2711
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	12	74793920	132605822	34082	0.0057
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	18874255	26976838	4434	0.0104
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	26977566	26980906	3	-0.869
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	26981549	32064037	3585	0.0168
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	32077457	34175276	1472	-0.3363
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	34177327	34178753	2	-1.4486
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	34178806	35237316	641	-0.3258
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	35248867	84699088	28115	0.0044
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	84701147	84875802	22	0.4457
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	84883256	98271819	8181	0.0077
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	98271831	98276686	2	1.1196
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	13	98277542	114226675	10559	0.0067
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	20033191	46149427	13398	0.009
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	46153104	46161083	6	0.7988
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	46168778	61685565	9647	0.0062
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	61687322	61690333	2	-1.9702
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	61690424	71002443	5490	0.0046
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	71002703	71004123	2	-1.3479
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	14	71004196	105533894	21269	0.009
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	15	23437561	101344124	44804	0.0114
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	16	603333	4827957	1529	0.0013
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	16	4828401	4833596	4	-0.7143
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	16	4834125	6388774	1026	0.0166
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	16	6393755	6423196	42	-0.7614
4d7ffa3e-0218-4fc4-b3da-691d56a7df1a	16	6428897	46470502	11442	0.0114
