GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
945dbc24-1985-4a83-baef-78b3c5e2e3e0	1	3301765	218611014	111323	0.0198
945dbc24-1985-4a83-baef-78b3c5e2e3e0	1	218612235	218612265	2	-1.899
945dbc24-1985-4a83-baef-78b3c5e2e3e0	1	218614680	247650984	18410	0.0173
945dbc24-1985-4a83-baef-78b3c5e2e3e0	2	480597	241537572	132214	0.0249
945dbc24-1985-4a83-baef-78b3c5e2e3e0	3	2170634	30149632	16686	0.0154
945dbc24-1985-4a83-baef-78b3c5e2e3e0	3	30151053	30151074	2	-1.6533
945dbc24-1985-4a83-baef-78b3c5e2e3e0	3	30151286	197812401	90499	0.0172
945dbc24-1985-4a83-baef-78b3c5e2e3e0	4	1059384	187842528	103510	0.0159
945dbc24-1985-4a83-baef-78b3c5e2e3e0	5	913983	180934240	101128	0.0181
945dbc24-1985-4a83-baef-78b3c5e2e3e0	6	1011760	116999976	65275	0.0157
945dbc24-1985-4a83-baef-78b3c5e2e3e0	6	117000925	117030910	15	-0.7629
945dbc24-1985-4a83-baef-78b3c5e2e3e0	6	117033099	170596889	31900	0.0199
945dbc24-1985-4a83-baef-78b3c5e2e3e0	7	664936	158592540	81952	0.0198
945dbc24-1985-4a83-baef-78b3c5e2e3e0	8	667625	144182542	82229	0.0166
945dbc24-1985-4a83-baef-78b3c5e2e3e0	9	789794	138044505	68465	0.0192
945dbc24-1985-4a83-baef-78b3c5e2e3e0	10	366509	133411599	81284	0.0175
945dbc24-1985-4a83-baef-78b3c5e2e3e0	11	456012	134272740	77577	0.0188
945dbc24-1985-4a83-baef-78b3c5e2e3e0	12	780472	132605822	74348	0.0181
945dbc24-1985-4a83-baef-78b3c5e2e3e0	13	18874255	114226675	56999	0.0178
945dbc24-1985-4a83-baef-78b3c5e2e3e0	14	20033191	26294421	2988	0.0192
945dbc24-1985-4a83-baef-78b3c5e2e3e0	14	26300516	26300519	3	-1.6193
945dbc24-1985-4a83-baef-78b3c5e2e3e0	14	26300708	53735601	14933	0.0211
945dbc24-1985-4a83-baef-78b3c5e2e3e0	14	53738878	53738894	2	-2.3725
945dbc24-1985-4a83-baef-78b3c5e2e3e0	14	53741265	105533894	31872	0.0204
945dbc24-1985-4a83-baef-78b3c5e2e3e0	15	23437561	101344124	44784	0.0227
945dbc24-1985-4a83-baef-78b3c5e2e3e0	16	603333	89317317	41201	0.0174
945dbc24-1985-4a83-baef-78b3c5e2e3e0	17	1074619	70044239	30928	0.0212
945dbc24-1985-4a83-baef-78b3c5e2e3e0	17	70044817	70049030	3	-1.315
945dbc24-1985-4a83-baef-78b3c5e2e3e0	17	70050247	76589737	3717	0.0186
945dbc24-1985-4a83-baef-78b3c5e2e3e0	17	76589865	76592348	2	-1.5684
945dbc24-1985-4a83-baef-78b3c5e2e3e0	17	76592551	82959812	2627	0.0273
945dbc24-1985-4a83-baef-78b3c5e2e3e0	18	326691	79349796	42976	0.0185
945dbc24-1985-4a83-baef-78b3c5e2e3e0	19	283868	21565013	7999	0.0211
945dbc24-1985-4a83-baef-78b3c5e2e3e0	19	21584090	22828117	473	0.633
945dbc24-1985-4a83-baef-78b3c5e2e3e0	19	22832230	58370362	15689	0.0179
945dbc24-1985-4a83-baef-78b3c5e2e3e0	20	472817	63588502	37544	0.0216
945dbc24-1985-4a83-baef-78b3c5e2e3e0	21	13974127	17161701	1957	0.0222
945dbc24-1985-4a83-baef-78b3c5e2e3e0	21	17169100	17169577	3	-1.1886
945dbc24-1985-4a83-baef-78b3c5e2e3e0	21	17173474	46262057	18638	0.0192
945dbc24-1985-4a83-baef-78b3c5e2e3e0	22	16934932	48940621	17083	0.0238
945dbc24-1985-4a83-baef-78b3c5e2e3e0	X	3236359	155677414	63981	0.0208
