GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	3301765	7765251	2886	0.3691
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	7765270	9798497	984	0.2661
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	9801551	9812557	5	-0.4128
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	9813596	10408661	270	0.2521
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	10424359	11030221	303	0.391
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	11032632	11048652	6	-0.3105
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	11048996	13988485	1312	0.3696
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	13989189	14614698	515	0.227
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	14617531	14639926	27	-0.2125
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	14640818	19751641	2948	0.24
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	19751683	19773540	22	-0.2462
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	19775680	24078583	2309	0.1914
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	24078676	34108080	4943	0.1055
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	34108170	34543308	336	0.1649
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	34544025	65300299	18459	0.2138
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	65303286	79899177	8544	0.1343
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	79899406	82941413	1951	0.1786
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	82942915	91471391	5468	0.1311
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	91471682	91666782	159	0.2888
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	91667849	102700900	6579	0.139
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	102702632	103097834	237	0.0174
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	103098885	119218192	9368	0.1475
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	119218415	150853466	861	0.2555
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	150854230	151613299	287	0.1893
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	151614064	159689641	4493	-0.2554
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	159692839	159694300	3	-1.9527
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	159696024	162958152	2143	-0.2707
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	162961590	165269785	1710	0.2541
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	165271668	166156186	774	-0.2926
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	166157105	166415388	164	0.2241
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	166417141	167274330	674	0.5678
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	167283414	172967996	3951	0.1982
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	172969484	178794718	3200	0.5684
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	178807286	179375747	458	0.2092
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	179378395	179703537	170	0.554
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	179709476	191822761	7551	0.2028
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	191822781	192178895	164	-0.3748
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	192182044	192710567	356	0.1139
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	192728282	196203806	2192	0.5639
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	196204925	200398996	2367	0.1732
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	200399224	206960691	4098	-0.2779
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	206960817	214128216	4991	-0.3523
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	214132520	220671766	4507	-0.3117
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	220671901	221008866	212	0.2107
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	221010746	222151998	828	0.1054
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	222152142	233251732	6676	0.1948
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	233251820	233379695	116	-0.2764
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	233383252	242064402	6383	0.2199
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	242073017	242147281	56	-0.2738
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	1	242157358	247650984	2778	0.2046
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	480597	3565254	1246	0.0768
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	3567337	18409929	10417	0.0209
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	18410010	23591134	3479	0.0493
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	23591252	23591270	2	-1.1573
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	23594528	33109240	4716	0.0652
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	33109323	46476251	8080	0.0287
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	46478526	70743610	13911	0.0532
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	70743968	84588891	7393	0.0886
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	84588985	106079233	7485	0.0517
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	106081582	126996950	10272	0.2874
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	126997023	126999237	3	-0.9259
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	127000322	133291521	2735	0.2978
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	133294254	143214632	5729	0.2552
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	143218911	144735872	839	0.1885
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	144739150	170470326	15040	0.2687
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	170473488	170475988	6	-0.7733
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	170480919	180794243	6484	0.2496
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	180794324	181492807	412	0.1424
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	181497465	193989132	5975	0.267
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	193999537	206888936	6950	0.1757
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	206889857	207136360	147	0.1026
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	207136652	215885778	5231	0.0071
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	215888513	222016720	3938	0.1036
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	222017057	230549228	5320	0.0639
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	230549455	233993057	1778	0.1005
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	233993674	236261922	1589	0.1648
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	2	236263675	241537572	3080	0.1154
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	2170634	9258146	4206	-0.0986
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	9267515	9448625	91	-0.6404
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	9449137	16195501	4329	-0.0837
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	16202089	20713383	2539	-0.138
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	20713740	52510576	17757	-0.0965
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	52517754	59719409	4706	-0.1663
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	59720118	91390926	17663	-0.1143
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	91462299	97044304	1518	0.3125
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	97050134	116366447	10817	0.2346
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	116366500	116597894	200	0.088
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	116600063	117063170	373	-0.354
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	117064005	117108670	49	0.243
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	117109318	117337418	164	0.4462
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	117338140	123574589	3510	0.2256
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	123577930	133528127	5822	0.2635
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	133531903	133568221	28	-0.1654
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	133568250	140999531	4246	0.2763
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	140999808	151675491	5378	0.5666
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	151675507	151721014	50	0.2822
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	151721014	157085776	2921	0.5352
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	157086325	170028463	6460	0.5831
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	3	170031560	197812401	14384	0.5458
c5ae2cf0-f7b7-48cf-854c-3ad774091de0	4	1059384	10072224	4616	-0.346
