GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
77da7975-3a87-4fa9-8481-3e8d9f279a48	1	3301765	247650984	129838	0.0166
77da7975-3a87-4fa9-8481-3e8d9f279a48	2	480597	241537572	132258	0.0114
77da7975-3a87-4fa9-8481-3e8d9f279a48	3	2170634	174087226	94898	0.019
77da7975-3a87-4fa9-8481-3e8d9f279a48	3	174088229	174093167	2	-1.2792
77da7975-3a87-4fa9-8481-3e8d9f279a48	3	174094714	197812401	12348	0.0101
77da7975-3a87-4fa9-8481-3e8d9f279a48	4	1059384	43422435	26028	0.0207
77da7975-3a87-4fa9-8481-3e8d9f279a48	4	43422913	43423145	3	-1.3445
77da7975-3a87-4fa9-8481-3e8d9f279a48	4	43426409	96108153	27587	0.0224
77da7975-3a87-4fa9-8481-3e8d9f279a48	4	96115991	96116117	2	-1.6473
77da7975-3a87-4fa9-8481-3e8d9f279a48	4	96117489	187842528	49951	0.0237
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	913983	149851359	81818	0.0211
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	149851389	149895399	26	0.6178
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	149895894	157966535	5315	0.0246
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	157972042	157972891	3	-1.4491
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	157974887	179846906	13514	0.0238
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	179847544	179848041	2	-1.1674
77da7975-3a87-4fa9-8481-3e8d9f279a48	5	179850874	180934240	506	0.0158
77da7975-3a87-4fa9-8481-3e8d9f279a48	6	1011760	170596889	97226	0.021
77da7975-3a87-4fa9-8481-3e8d9f279a48	7	664936	23995508	12327	0.0191
77da7975-3a87-4fa9-8481-3e8d9f279a48	7	24000259	24000764	2	-1.6868
77da7975-3a87-4fa9-8481-3e8d9f279a48	7	24001198	83302073	30189	0.0162
77da7975-3a87-4fa9-8481-3e8d9f279a48	7	83302336	83303562	3	1.1385
77da7975-3a87-4fa9-8481-3e8d9f279a48	7	83303706	158592540	39471	0.0192
77da7975-3a87-4fa9-8481-3e8d9f279a48	8	667625	144182542	82288	0.0217
77da7975-3a87-4fa9-8481-3e8d9f279a48	9	789794	87733919	37200	0.0134
77da7975-3a87-4fa9-8481-3e8d9f279a48	9	87734648	87735590	3	-1.528
