GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0c197459-f7e7-4097-9294-d7037c5f129d	1	62920	86341	11	-1.0625
0c197459-f7e7-4097-9294-d7037c5f129d	1	98588	1055037	68	0.2563
0c197459-f7e7-4097-9294-d7037c5f129d	1	1055137	1937525	238	0.4961
0c197459-f7e7-4097-9294-d7037c5f129d	1	1938876	5407155	2009	0.316
0c197459-f7e7-4097-9294-d7037c5f129d	1	5408845	5408859	2	-1.0533
0c197459-f7e7-4097-9294-d7037c5f129d	1	5409305	7698738	1466	0.3399
0c197459-f7e7-4097-9294-d7037c5f129d	1	7699004	7765251	31	0.6576
0c197459-f7e7-4097-9294-d7037c5f129d	1	7765270	7967337	133	0.3606
0c197459-f7e7-4097-9294-d7037c5f129d	1	7969226	11221530	1683	-0.1786
0c197459-f7e7-4097-9294-d7037c5f129d	1	11223245	12432903	650	0.2117
0c197459-f7e7-4097-9294-d7037c5f129d	1	12436500	12807374	215	-0.2357
0c197459-f7e7-4097-9294-d7037c5f129d	1	12807507	12867264	16	-1.1825
0c197459-f7e7-4097-9294-d7037c5f129d	1	12868035	13012913	3	0.8654
0c197459-f7e7-4097-9294-d7037c5f129d	1	13110913	25256850	7493	-0.201
0c197459-f7e7-4097-9294-d7037c5f129d	1	25266637	25320455	24	-2.0877
0c197459-f7e7-4097-9294-d7037c5f129d	1	25336819	25883673	230	-0.187
0c197459-f7e7-4097-9294-d7037c5f129d	1	25886359	26021558	79	0.1137
0c197459-f7e7-4097-9294-d7037c5f129d	1	26024891	31834567	3049	-0.199
0c197459-f7e7-4097-9294-d7037c5f129d	1	31835352	44120208	6974	0.1916
0c197459-f7e7-4097-9294-d7037c5f129d	1	44120499	47897373	2043	0.2378
0c197459-f7e7-4097-9294-d7037c5f129d	1	47897609	50588674	1512	0.1794
0c197459-f7e7-4097-9294-d7037c5f129d	1	50589731	60668075	6788	0.2301
0c197459-f7e7-4097-9294-d7037c5f129d	1	60672014	60696800	24	0.5808
0c197459-f7e7-4097-9294-d7037c5f129d	1	60699101	61161330	363	0.2468
0c197459-f7e7-4097-9294-d7037c5f129d	1	61162660	61287283	80	0.5758
0c197459-f7e7-4097-9294-d7037c5f129d	1	61289123	65192108	2942	0.2397
0c197459-f7e7-4097-9294-d7037c5f129d	1	65192729	65222778	19	0.6902
0c197459-f7e7-4097-9294-d7037c5f129d	1	65225895	72280898	4624	0.2333
0c197459-f7e7-4097-9294-d7037c5f129d	1	72284165	72297687	11	-0.6012
0c197459-f7e7-4097-9294-d7037c5f129d	1	72302735	72345465	48	1.5176
0c197459-f7e7-4097-9294-d7037c5f129d	1	72346221	75676366	2008	0.2152
0c197459-f7e7-4097-9294-d7037c5f129d	1	75683909	75779689	62	0.6275
0c197459-f7e7-4097-9294-d7037c5f129d	1	75783805	91727707	10641	0.2309
0c197459-f7e7-4097-9294-d7037c5f129d	1	91728105	91730095	2	-1.0923
0c197459-f7e7-4097-9294-d7037c5f129d	1	91730496	93156311	717	0.2325
0c197459-f7e7-4097-9294-d7037c5f129d	1	93156577	105470754	7528	0.0291
0c197459-f7e7-4097-9294-d7037c5f129d	1	105476583	105479722	15	0.8686
0c197459-f7e7-4097-9294-d7037c5f129d	1	105479738	109684893	2638	0.0233
0c197459-f7e7-4097-9294-d7037c5f129d	1	109690352	109702376	14	1.9394
0c197459-f7e7-4097-9294-d7037c5f129d	1	109703504	110845604	873	0.0347
0c197459-f7e7-4097-9294-d7037c5f129d	1	110849445	110860935	24	0.4031
0c197459-f7e7-4097-9294-d7037c5f129d	1	110861171	112153343	1053	0.0164
0c197459-f7e7-4097-9294-d7037c5f129d	1	112153465	112154768	24	0.6423
0c197459-f7e7-4097-9294-d7037c5f129d	1	112163334	120125779	5056	0.0291
0c197459-f7e7-4097-9294-d7037c5f129d	1	120130434	152583051	2552	0.2502
0c197459-f7e7-4097-9294-d7037c5f129d	1	152583230	152613762	31	-1.9207
0c197459-f7e7-4097-9294-d7037c5f129d	1	152613802	152787202	171	0.2249
0c197459-f7e7-4097-9294-d7037c5f129d	1	152789447	152796224	37	0.7298
0c197459-f7e7-4097-9294-d7037c5f129d	1	152801429	158896783	3609	0.2605
0c197459-f7e7-4097-9294-d7037c5f129d	1	158898711	158899969	2	1.6067
0c197459-f7e7-4097-9294-d7037c5f129d	1	158905028	165457533	4767	0.2552
0c197459-f7e7-4097-9294-d7037c5f129d	1	165460816	165506445	54	0.6661
