GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	3301765	100874221	56737	0.0032
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	100874578	101339213	295	-0.5458
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	101340876	102886298	886	0.0511
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	102886739	165685290	19367	0.087
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	165685614	165685632	2	-1.7472
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	165686867	194029803	17931	0.0847
0e4a3b1c-9795-4261-8a01-3e604d04422e	1	194031823	247650984	34107	0.1239
0e4a3b1c-9795-4261-8a01-3e604d04422e	2	480597	241537572	131809	0.0045
0e4a3b1c-9795-4261-8a01-3e604d04422e	3	2170634	173936145	94410	0.0007
0e4a3b1c-9795-4261-8a01-3e604d04422e	3	173938269	178049676	2028	-0.1558
0e4a3b1c-9795-4261-8a01-3e604d04422e	3	178049781	197812401	10383	0.0053
0e4a3b1c-9795-4261-8a01-3e604d04422e	4	1059384	63292904	35064	-0.0058
0e4a3b1c-9795-4261-8a01-3e604d04422e	4	63293751	63294605	2	-2.1131
0e4a3b1c-9795-4261-8a01-3e604d04422e	4	63304759	187842528	68108	-0.0042
0e4a3b1c-9795-4261-8a01-3e604d04422e	5	913983	180934240	100815	0.0886
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	1011760	6935117	4384	0.0066
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	6936338	9683358	1928	-0.0884
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	9688160	11807441	1366	0.2528
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	11807831	12196371	325	0.1088
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	12196677	13533840	1080	-0.0799
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	13537687	23169786	6603	0.0936
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	23170758	53605601	16045	-0.0784
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	53605873	80003527	12425	0.0014
0e4a3b1c-9795-4261-8a01-3e604d04422e	6	80003549	170596889	52645	-0.0881
0e4a3b1c-9795-4261-8a01-3e604d04422e	7	664936	158592540	81702	0.0006
0e4a3b1c-9795-4261-8a01-3e604d04422e	8	667625	46558953	24976	-0.4303
0e4a3b1c-9795-4261-8a01-3e604d04422e	8	46560145	144182542	56969	0.1666
0e4a3b1c-9795-4261-8a01-3e604d04422e	9	789794	75278706	28199	0.004
0e4a3b1c-9795-4261-8a01-3e604d04422e	9	75281829	75283567	3	1.6374
0e4a3b1c-9795-4261-8a01-3e604d04422e	9	75283754	137084167	39768	0.0108
0e4a3b1c-9795-4261-8a01-3e604d04422e	9	137085933	137087918	2	-1.9355
0e4a3b1c-9795-4261-8a01-3e604d04422e	9	137100495	138044505	265	0.0174
0e4a3b1c-9795-4261-8a01-3e604d04422e	10	366509	133411599	81047	0.0147
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	456012	14700455	8762	0.0132
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	14702166	14703482	2	1.7786
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	14705068	18737079	2490	0.0121
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	18737699	18738436	2	-1.9833
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	18739455	45962335	17825	0.0072
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	45962418	57165068	2029	-0.0859
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	57166193	59126288	1057	-0.0085
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	59126419	62599809	1900	0.104
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	62603055	66505505	1211	-0.0635
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	66509105	70903848	1927	0.0996
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	70904188	72552866	744	-0.0526
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	72556445	73183228	269	0.0928
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	73184153	78067996	2601	-0.077
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	78069888	78540439	257	0.1733
0e4a3b1c-9795-4261-8a01-3e604d04422e	11	78543440	134272740	36205	-0.0844
0e4a3b1c-9795-4261-8a01-3e604d04422e	12	780472	73390934	39424	-0.0015
0e4a3b1c-9795-4261-8a01-3e604d04422e	12	73391297	73423989	10	-0.7579
