GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	62920	98588	12	-0.4967
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	98602	3980193	1098	0.1339
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	3988162	15761822	7177	0.2084
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	15770261	15822848	46	0.0973
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	15823420	15827430	7	-0.6273
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	15827706	16864367	360	0.1789
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	16868660	16975177	68	-0.1041
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	16976074	25256850	5243	0.2074
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	25266637	25320455	24	0.8273
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	25336819	25390874	24	0.3495
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	25393020	29289416	1622	0.1772
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	29292266	30968074	1277	0.2362
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	30968135	33395532	1077	0.1641
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	33396916	34626037	947	0.2508
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	34626073	34638890	21	-0.4614
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	34648667	37350483	1455	0.2271
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	37352476	45893907	4791	0.1845
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	45894382	46129164	119	0.3861
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	46130011	48534096	1444	0.2205
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	48535697	48680715	130	0.5105
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	48682908	49569377	489	0.1768
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	49570202	49579156	2	-0.58
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	49581069	50776498	549	0.1775
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	50780205	50909496	59	0.4577
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	50912187	54914266	2230	0.1819
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	54920494	69092175	10574	0.2162
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	69096483	72297687	1910	0.1657
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	72302735	72346221	49	-1.2674
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	72346757	74302074	1153	0.1525
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	74302160	86716765	8209	0.2291
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	86716801	88062879	958	0.168
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	88063463	89012522	614	0.2358
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	89015841	93857464	2858	0.2072
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	93865059	96386798	1818	0.2579
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	96387948	98126964	965	0.1659
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	98127074	101547295	2205	0.2183
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	101547318	103255522	1135	0.2851
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	103255860	105036704	788	0.2047
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	105037237	105476583	240	0.1842
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	105476614	105479753	16	0.8307
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	105481433	108187137	1938	0.2121
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	108191613	108194874	3	-1.061
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	108196482	108226680	18	0.1998
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	108274557	108326178	19	0.5256
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	108326193	109106172	379	0.1917
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109107378	109169860	23	0.5685
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109171618	109176488	2	-0.3758
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109177763	109663353	244	0.5341
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109663865	109690352	10	0.6188
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109690415	109697556	12	-1.0861
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	109702376	110834948	840	0.5579
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	110834953	110869132	65	0.7698
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	110869141	113644181	1991	0.5222
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	113647242	114674339	587	0.1807
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	114675106	114749516	60	0.4636
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	114749569	117313953	1802	0.2111
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	117318619	121705338	1794	0.2744
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	143459641	143942271	128	1.8483
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	144432083	144442342	5	0.6941
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	144445555	146250588	178	1.7306
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	146716041	148001943	618	0.2416
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	148006214	148355693	51	1.5352
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	148357098	148982724	14	1.953
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	148986777	148986936	3	0.6331
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	148987434	149041886	11	1.6156
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	149370761	152295561	1227	0.1748
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	152298587	152583051	208	0.268
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	152583230	152613242	29	-0.5167
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	152613641	152787202	172	0.2411
ba336da3-a3ac-4707-a55b-71fa7068a4e4	1	152789447	152796224	37	-1.1273
