GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	3301765	15674246	7023	0.1835
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	15679297	25447591	5199	-0.5959
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	25562931	87275295	36261	0.1217
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	87275951	87288222	13	0.6773
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	87289623	162849967	26659	0.1222
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	162850034	163164150	311	0.5353
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	163165249	165191378	1482	0.1249
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	165192420	201187438	22565	0.0954
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	201189848	210411430	6173	0.1191
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	210412231	210578977	154	-0.6805
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	210580707	239971402	19449	0.1118
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	239972472	239972633	2	-1.5363
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	1	239973057	247650984	4356	0.1109
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	480597	15841210	9874	0.4896
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	15841646	15841859	3	-0.6791
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	15842299	30197843	8690	0.4873
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	30197886	47503382	10009	0.0101
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	47503482	47505755	2	-1.4316
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	47506396	66200993	10288	-0.0049
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	66203205	85777771	10993	0.0183
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	85778110	86317246	212	-0.0475
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	86317895	86318215	2	-1.4109
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	86319023	110790058	8667	0.0147
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	110790410	110795938	3	-1.2212
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	110796604	115544015	2434	0.006
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	115545269	130455273	7582	-0.0098
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	130471073	130486519	2	1.4235
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	130726392	142690714	6311	-0.0166
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	142691476	145200661	1403	-0.0592
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	145205979	155704078	6074	-0.0057
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	155708533	155715990	8	-0.9055
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	155724196	212255719	31666	-0.0135
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	212255798	213274065	660	0.3432
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	2	213275165	241537572	17209	-0.1186
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	2170634	14915272	7812	0.0886
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	14916161	19397254	2589	0.5393
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	19397971	19579438	80	0.8374
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	19586164	31609331	7222	0.5378
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	31616972	33196501	949	0.1177
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	33196534	53762060	10974	0.0863
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	53762307	127450277	40624	0.1068
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	127452666	127471952	15	0.6398
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	127472066	138825636	6246	0.1046
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	138829095	140982858	1442	0.585
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	140993418	153951992	6775	0.162
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	153952749	154039078	50	0.4941
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	154039107	156630633	1261	0.5874
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	156630796	156631211	2	-1.1892
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	156633118	165375845	4341	0.5956
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	165375987	165377965	2	-0.7546
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	165380320	174098520	4416	0.6148
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	174099514	174794651	446	0.9287
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	174796623	176041258	434	0.6376
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	176041982	179210387	1675	0.4622
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	179211755	179234447	78	0.264
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	179235965	180376609	667	0.4722
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	180377602	180381863	4	-0.3087
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	180381969	181385599	471	0.4453
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	181402046	185607175	1773	0.1684
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	185613377	188006113	1722	0.6372
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	188008169	188327531	242	0.9546
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	188327815	188506308	124	0.6731
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	188506761	188737469	161	0.1583
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	188744078	194304972	3468	-0.632
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	194305900	194359919	31	-1.1106
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	194359967	195182023	461	-0.6703
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	195182089	195182429	2	-2.9468
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	195182550	195222418	25	-0.833
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	195222877	195286010	28	-0.5383
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	3	195286062	197812401	496	0.0823
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	1059384	6134926	2665	0.8036
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	6135033	8603136	1623	0.8493
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	8604353	19031332	6899	0.7814
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	19033550	19386743	240	0.1273
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	19393514	19420538	14	0.5867
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	19425347	45287078	15501	0.1325
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	45287499	60896387	7060	0.107
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	60896500	72116096	5399	0.1212
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	4	72117574	187842528	63845	-0.6016
ebfb5ea7-457c-49f1-830b-d2ec9e10d930	5	913983	13849007	8842	0.1619
