GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21baef37-e289-498a-b523-a283df5485af	1	3301765	116548108	65991	-0.0212
21baef37-e289-498a-b523-a283df5485af	1	116551600	118096554	925	0.1527
21baef37-e289-498a-b523-a283df5485af	1	118098195	118125670	17	0.4993
21baef37-e289-498a-b523-a283df5485af	1	118129161	118137332	6	0.1267
21baef37-e289-498a-b523-a283df5485af	1	118139654	119258672	608	0.0105
21baef37-e289-498a-b523-a283df5485af	1	119259438	188809248	24762	0.2273
21baef37-e289-498a-b523-a283df5485af	1	188812464	247650984	37301	0.307
21baef37-e289-498a-b523-a283df5485af	2	480597	6683626	3685	0.0841
21baef37-e289-498a-b523-a283df5485af	2	6686001	6688749	2	-1.5922
21baef37-e289-498a-b523-a283df5485af	2	6690965	179006445	92845	0.0648
21baef37-e289-498a-b523-a283df5485af	2	179006648	179643783	354	0.1857
21baef37-e289-498a-b523-a283df5485af	2	179644630	182860697	2048	0.0546
21baef37-e289-498a-b523-a283df5485af	2	182860927	186294632	1326	0.1592
21baef37-e289-498a-b523-a283df5485af	2	186296063	187683583	707	0.064
21baef37-e289-498a-b523-a283df5485af	2	187684313	205703483	9324	0.1399
21baef37-e289-498a-b523-a283df5485af	2	205703686	205706411	2	-1.0705
21baef37-e289-498a-b523-a283df5485af	2	205707008	219194498	8163	0.1458
21baef37-e289-498a-b523-a283df5485af	2	219204537	223824522	3075	0.1004
21baef37-e289-498a-b523-a283df5485af	2	223824535	241537572	10547	0.0509
21baef37-e289-498a-b523-a283df5485af	3	2170634	8670818	3745	0.1183
21baef37-e289-498a-b523-a283df5485af	3	8673573	8772326	46	0.3559
21baef37-e289-498a-b523-a283df5485af	3	8774151	25381218	9985	0.1031
21baef37-e289-498a-b523-a283df5485af	3	25381285	88259864	36370	-0.2678
21baef37-e289-498a-b523-a283df5485af	3	88264115	88881115	333	0.0895
21baef37-e289-498a-b523-a283df5485af	3	88882327	89220069	228	0.2477
21baef37-e289-498a-b523-a283df5485af	3	89220259	91390926	474	-0.2605
21baef37-e289-498a-b523-a283df5485af	3	91462299	94541193	238	0.2139
21baef37-e289-498a-b523-a283df5485af	3	94541789	131664746	20922	0.1633
21baef37-e289-498a-b523-a283df5485af	3	131670441	197812401	34705	0.2284
21baef37-e289-498a-b523-a283df5485af	4	1059384	10038957	4602	0.1935
21baef37-e289-498a-b523-a283df5485af	4	10039542	52030485	23853	0.1668
21baef37-e289-498a-b523-a283df5485af	4	52031462	53268565	674	0.2002
21baef37-e289-498a-b523-a283df5485af	4	53270695	187218258	73881	0.1332
21baef37-e289-498a-b523-a283df5485af	4	187228885	187240438	15	-0.6962
21baef37-e289-498a-b523-a283df5485af	4	187242781	187842528	356	0.159
21baef37-e289-498a-b523-a283df5485af	5	913983	9488577	6250	0.0201
21baef37-e289-498a-b523-a283df5485af	5	9488783	124206388	60150	-0.0282
21baef37-e289-498a-b523-a283df5485af	5	124206405	124210567	8	-1.448
21baef37-e289-498a-b523-a283df5485af	5	124210991	180934240	34580	-0.0261
21baef37-e289-498a-b523-a283df5485af	6	1011760	14197037	9500	0.118
21baef37-e289-498a-b523-a283df5485af	6	14197388	18224515	2592	0.2092
