GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2430260f-1a0f-477e-83a4-4b18babf2a98	1	3301765	5806760	1779	-0.6798
2430260f-1a0f-477e-83a4-4b18babf2a98	1	5811391	12642372	3480	-0.5813
2430260f-1a0f-477e-83a4-4b18babf2a98	1	12649535	14701433	1041	-0.7271
2430260f-1a0f-477e-83a4-4b18babf2a98	1	14701850	14942159	193	-3.8712
2430260f-1a0f-477e-83a4-4b18babf2a98	1	14942945	15479619	388	-0.6554
2430260f-1a0f-477e-83a4-4b18babf2a98	1	15480297	17766120	888	-0.5422
2430260f-1a0f-477e-83a4-4b18babf2a98	1	17772058	18428852	568	-0.7248
2430260f-1a0f-477e-83a4-4b18babf2a98	1	18429810	18430086	2	-3.3226
2430260f-1a0f-477e-83a4-4b18babf2a98	1	18431692	19380808	603	-0.7136
2430260f-1a0f-477e-83a4-4b18babf2a98	1	19381365	29438288	4874	-0.6031
2430260f-1a0f-477e-83a4-4b18babf2a98	1	29439090	30542027	817	-0.6968
2430260f-1a0f-477e-83a4-4b18babf2a98	1	30542880	33334283	1236	0.3046
2430260f-1a0f-477e-83a4-4b18babf2a98	1	33334621	34606697	950	0.1866
2430260f-1a0f-477e-83a4-4b18babf2a98	1	34606786	44837025	5588	0.2473
2430260f-1a0f-477e-83a4-4b18babf2a98	1	44837700	45865751	457	0.1661
2430260f-1a0f-477e-83a4-4b18babf2a98	1	45874186	46474688	160	0.3171
2430260f-1a0f-477e-83a4-4b18babf2a98	1	46477318	46515473	28	0.9158
2430260f-1a0f-477e-83a4-4b18babf2a98	1	46516783	47330628	431	0.274
2430260f-1a0f-477e-83a4-4b18babf2a98	1	47331951	47374457	14	0.8939
2430260f-1a0f-477e-83a4-4b18babf2a98	1	47374859	48634499	856	0.2697
2430260f-1a0f-477e-83a4-4b18babf2a98	1	48635537	49242229	410	0.1389
2430260f-1a0f-477e-83a4-4b18babf2a98	1	49249600	49448451	91	0.2405
2430260f-1a0f-477e-83a4-4b18babf2a98	1	49533594	49569377	7	-0.8033
2430260f-1a0f-477e-83a4-4b18babf2a98	1	49570202	49659290	37	-0.2122
2430260f-1a0f-477e-83a4-4b18babf2a98	1	49663015	55284465	2898	0.233
2430260f-1a0f-477e-83a4-4b18babf2a98	1	55284596	56890907	1279	0.1961
2430260f-1a0f-477e-83a4-4b18babf2a98	1	56892321	58227805	1162	0.104
2430260f-1a0f-477e-83a4-4b18babf2a98	1	58228071	66814365	6103	0.1832
2430260f-1a0f-477e-83a4-4b18babf2a98	1	66817756	66979280	82	-0.6337
2430260f-1a0f-477e-83a4-4b18babf2a98	1	66987352	70140536	2001	0.2008
2430260f-1a0f-477e-83a4-4b18babf2a98	1	70141342	70200439	25	-0.7268
2430260f-1a0f-477e-83a4-4b18babf2a98	1	70202611	75599491	2803	0.1783
2430260f-1a0f-477e-83a4-4b18babf2a98	1	75599505	77303716	1158	0.7096
2430260f-1a0f-477e-83a4-4b18babf2a98	1	77303793	85652764	5087	0.2039
2430260f-1a0f-477e-83a4-4b18babf2a98	1	85652904	92527990	4265	0.1518
2430260f-1a0f-477e-83a4-4b18babf2a98	1	92528285	96791716	2620	0.2368
2430260f-1a0f-477e-83a4-4b18babf2a98	1	96792218	99237245	1401	0.1552
2430260f-1a0f-477e-83a4-4b18babf2a98	1	99237722	100939513	1077	0.2545
2430260f-1a0f-477e-83a4-4b18babf2a98	1	100941472	108647285	4145	0.2027
2430260f-1a0f-477e-83a4-4b18babf2a98	1	108648063	110561066	1054	0.2769
2430260f-1a0f-477e-83a4-4b18babf2a98	1	110562111	119519936	5720	0.1719
2430260f-1a0f-477e-83a4-4b18babf2a98	1	119520310	150768299	576	0.2401
2430260f-1a0f-477e-83a4-4b18babf2a98	1	150798513	150813529	18	-0.2569
2430260f-1a0f-477e-83a4-4b18babf2a98	1	150824340	154313792	1726	0.2211
2430260f-1a0f-477e-83a4-4b18babf2a98	1	154314628	157077060	1325	0.2868
2430260f-1a0f-477e-83a4-4b18babf2a98	1	157079183	165933458	6208	0.2175
2430260f-1a0f-477e-83a4-4b18babf2a98	1	165934725	176843484	6884	0.177
2430260f-1a0f-477e-83a4-4b18babf2a98	1	176843760	201417428	15191	0.2128
2430260f-1a0f-477e-83a4-4b18babf2a98	1	201420557	202314539	565	0.3211
2430260f-1a0f-477e-83a4-4b18babf2a98	1	202315889	221509077	12882	0.225
2430260f-1a0f-477e-83a4-4b18babf2a98	1	221510944	222686889	777	0.1306
2430260f-1a0f-477e-83a4-4b18babf2a98	1	222690479	247650984	15718	0.2161
2430260f-1a0f-477e-83a4-4b18babf2a98	2	480597	8470156	4927	0.1505
2430260f-1a0f-477e-83a4-4b18babf2a98	2	8472951	12957300	3159	0.2357
2430260f-1a0f-477e-83a4-4b18babf2a98	2	12967267	29363881	9819	0.1803
2430260f-1a0f-477e-83a4-4b18babf2a98	2	29365137	31220875	1413	0.103
2430260f-1a0f-477e-83a4-4b18babf2a98	2	31222406	35079807	1808	0.1829
