"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"316","MAPK15","Q8TD08",12,0,1,0.055,1,1,69.3901375711575
"133","CD9","P21926",2,8090,5,0.063,0.994,1,88.1191475042064
"282","CENPU","Q71F23",2,1272,2,0.002,0.994,1,65.518599280144
"253","MELK","Q14680",2,0,1,0.159,0.993,1,70.6437161388783
"187","KIF11","P52732",2,20,4,0.141,0.991,1,74.7686384864088
"258","TEAD4","Q15561",2,641,3,0.243,0.986,2,76.5831209630065
"409","LAMP3","Q9UQV4",2,0,1,0.179,0.983,1,67.1807731793391
"165","SYK","P43405",2,2215,5,0.203,0.979,2,84.3303645320197
"378","LGR6","Q9HBX8",20,0,1,0.408,0.967,2,78.1741924492299
"88","VDR","P11473",2,0,1,0.284,0.966,1,84.695411101217
"293","SGPP2","Q8IWX5",26,0,1,0.102,0.966,1,84.2117957635157
"243","LAPTM5","Q13571",19,0,1,0.239,0.964,2,69.275031085605
"14","SLC16A3","O15427",7,0,1,0.025,0.963,1,83.5874261119082
"106","NQO1","P15559",2,321,2,0.254,0.963,1,98.3285341273477
"26","STC2","O76061",2,0,2,0.27,0.96,2,73.2958494623656
"414","ADGRG1","Q9Y653",2,0,1,0.294,0.96,2,78.0137559284933
"95","CYBA","P13498",2,0,1,0.48,0.957,1,77.0298854447439
"158","TTK","P33981",2,1275,3,0.087,0.956,1,63.954351783879
"188","PLK1","P53350",2,6276,12,0.175,0.953,2,85.1698896752706
"115","DSP","P15924",2,0,1,0.154,0.95,1,78.5653919845316
"136","IL32","P24001",2,0,1,0.099,0.95,2,71.1900160599572
"307","ASPM","Q8IZT6",2,470,3,0.434,0.949,4,62.6404820392025
"417","NDUFB9","Q9Y6M9",2,318,2,-0.051,0.948,1,96.1323201555412
"134","PTGS1","P23219",2,0,1,0.142,0.943,1,94.1155716054478
"144","GJB2","P29033",16,0,1,0.236,0.943,2,86.3863956639566
"163","IFI27","P40305",2,0,1,0.066,0.942,1,52.1421118012422
"380","TNFRSF12A","Q9NP84",2,321,2,0.111,0.942,1,73.2729085303186
"346","DERL3","Q96Q80",14,0,1,0.283,0.941,1,84.1738721605917
"183","RORC","P51449",2,0,1,0.252,0.94,1,75.843762254902
"215","RAC3","P60763",2,960,5,0.341,0.937,1,93.8337150466045
"82","IFIT1","P09914",2,0,1,0.057,0.93,1,94.1743924993578
"301","ASPM","Q8IZT6",2,470,3,0.335,0.927,1,64.3894747828991
"24","CDC45","O75419",2,4,2,0.323,0.926,1,92.8874267100977
"86","NR2F6","P10588",2,0,1,0.399,0.917,1,79.7500198675497
"5","LGALS9","O00182",2,957,2,0.247,0.914,3,85.1284844141885
"199","EPPK1","P58107",2,949,2,0.247,0.908,1,77.4693065625581
"170","CENPF","P49454",2,768,3,0.122,0.906,1,71.418744961032
"399","HCST","Q9UBK5",2,321,2,0.33,0.904,2,67.318977443609
"48","ASS1","P00966",2,0,1,0.103,0.902,1,95.635373589509
"43","AGR2","O95994",2,2205,2,0.263,0.901,1,87.4194598436389
"344","PBK","Q96KB5",2,0,1,0.152,0.901,1,84.9070023696682
"392","CHD7","Q9P2D1",2,0,1,0.147,0.899,1,66.1702183561157
"87","TOP2A","P11388",2,5632,7,0.045,0.897,1,76.4083174292472
"72","GJB1","P08034",16,0,1,0.333,0.89,1,80.0505017761989
"112","DSP","P15924",2,0,1,0.293,0.89,1,79.7218725811253
"398","KLHL14","Q9P2G3",3,0,1,0.483,0.887,1,88.1400905432596
"23","HMMR","O75330",2,0,1,0.192,0.886,2,76.1048990670059
"103","ANPEP","P15144",2,321,2,0.232,0.886,1,93.7512643826761
"252","ESPL1","Q14674",2,0,1,0.619,0.885,1,75.7783475713937
"356","TUBA1C","Q9BQE3",2,641,3,0.219,0.883,1,91.6524379811805
"411","PKP3","Q9Y446",2,729,3,0.07,0.881,1,69.2845051361487
"28","TJP3","O95049",2,0,4,0.067,0.88,2,66.5840854341737
"122","ADRA2C","P18825",2,0,1,0.165,0.879,1,74.6529307384087
"404","BAIAP2L1","Q9UHR4",2,2837,4,0.324,0.876,2,74.9357797246558
"42","TSPAN15","O95858",2,321,2,0.296,0.875,2,87.9429849462366
"68","HLA-DOA","P06340",2,812,3,0.429,0.874,1,90.2530256410256
"361","MND1","Q9BWT6",2,321,2,0.288,0.874,1,91.0672405518896
"288","LAPTM4B","Q86VI4",19,0,1,0.211,0.865,1,61.6772465531225
"336","MARVELD3","Q96A59",2,0,2,0.108,0.86,1,65.321573780874
"166","HTR3A","P46098",8,0,1,0.422,0.858,2,83.464506789649
"2","RASSF10","A6NK89",2,0,1,0.264,0.856,1,73.2395758032129
"21","BUB1B","O60566",2,1036,5,0.211,0.846,2,64.7205771748185
"244","LAMB3","Q13751",2,0,1,0.212,0.844,2,78.1076788482835
"305","ASPM","Q8IZT6",2,470,3,0.121,0.835,1,67.4665928669883
"126","TYMP","P19971",25,0,1,0.402,0.833,2,93.0189263278127
"283","TMC6","Q7Z403",30,0,1,0.125,0.83,6,72.5528661616162
"25","GJB3","O75712",16,1,2,0.462,0.826,4,79.180516605166
"174","CENPF","P49454",2,768,3,0.372,0.826,1,72.0016993930739
"245","LAMC2","Q13753",2,0,1,0.153,0.822,1,74.8619472127916
"308","ASPM","Q8IZT6",2,470,3,0.163,0.82,2,68.8386483283961
"168","CENPA","P49450",2,7667,4,0.14,0.815,2,82.0783628318584
"33","KIF20A","O95235",2,1574,6,0.333,0.814,3,67.3045557924662
"121","BMP7","P18075",2,0,1,0.232,0.814,2,76.7069445242886
"110","DSP","P15924",2,0,1,0.471,0.813,1,76.5758148306901
"370","CXCL16","Q9H2A7",2,0,1,0.204,0.808,2,65.9756153050672
"303","ASPM","Q8IZT6",2,470,3,0.163,0.803,2,63.4932934706704
"331","ALG3","Q92685",3,0,1,0.084,0.8,1,89.1900450958286
"71","TPM3","P06753",2,1907,5,0.348,0.799,1,91.788884064264
"387","TREM2","Q9NZC2",2,0,1,0.411,0.799,1,77.0499219620959
"328","MUC16","Q8WXI7",2,321,2,0.18,0.798,1,55.9683919501677
"315","VANGL1","Q8TAA9",2,0,2,0.038,0.796,2,75.8569196217494
"410","B3GNT3","Q9Y2A9",2,0,1,0.149,0.793,1,88.4237204658902
"169","CENPF","P49454",2,768,3,0.307,0.792,6,71.5561330839123
"276","SCARA3","Q6AZY7",27,0,1,0.222,0.79,4,71.0654396325459
"342","AURKB","Q96GD4",2,0,2,0.06,0.789,2,79.8540354046243
"128","MX2","P20592",2,0,1,0.177,0.784,1,78.0171242849714
"148","FCER1G","P30273",2,0,1,0.48,0.783,1,72.3376617647059
"149","CDC25C","P30307",2,0,1,0.362,0.777,1,64.1824899598394
"127","HLA-DPA1","P20036",2,3057,2,0.282,0.776,1,90.6430843373494
"393","CHD7","Q9P2D1",2,0,1,0.117,0.775,1,68.0234329019677
"27","FGF18","O76093",2,0,1,0.38,0.771,2,87.6706049822064
"413","ST14","Q9Y5Y6",28,0,1,0.16,0.771,2,81.2573001802885
"172","CENPF","P49454",2,768,3,0.416,0.769,3,73.1536007249142
"300","ASPM","Q8IZT6",2,470,3,0.107,0.769,2,62.0182791688865
"381","ANLN","Q9NQW6",2,324,3,0.121,0.76,1,59.8741904323827
"297","ASPM","Q8IZT6",2,470,3,0.305,0.756,1,71.8200900482733
"130","LMNB1","P20700",2,3720,2,0.275,0.754,2,82.6346633684663
"281","UNC5A","Q6ZN44",24,0,1,0.108,0.737,1,78.2555968210301
"12","SPTBN2","O15020",2,0,1,0.242,0.736,3,76.775214383059
"107","DSP","P15924",2,0,1,0.212,0.733,3,80.8030049830931
"67","KRT8","P05787",2,634,2,0.432,0.721,1,76.3267437533227
"330","MUC16","Q8WXI7",2,321,2,0.177,0.72,2,77.3666569129481
"101","MMP9","P14780",2,1905,4,0.191,0.717,2,82.256276634164
"274","SEL1L3","Q68CR1",14,0,1,0.193,0.716,1,82.634629181338
"313","ATP6V0E2","Q8NHE4",2,321,2,0.416,0.712,1,94.3748466257669
"400","CACNG4","Q9UBN1",8,0,1,0.125,0.712,1,65.7244111931597
"186","KPNA2","P52292",2,641,4,0.024,0.711,1,86.1073162939297
"377","SPC25","Q9HBM1",2,0,1,0.39,0.708,1,90.2554752851711
