GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
18466ec8-1c12-4047-b792-9693e00fe15b	1	3301765	4613877	888	-0.3425
18466ec8-1c12-4047-b792-9693e00fe15b	1	4613966	4617475	3	-2.4492
18466ec8-1c12-4047-b792-9693e00fe15b	1	4619503	19442877	8130	-0.3443
18466ec8-1c12-4047-b792-9693e00fe15b	1	19445444	23757290	2458	-0.0129
18466ec8-1c12-4047-b792-9693e00fe15b	1	23763907	25111459	707	0.2361
18466ec8-1c12-4047-b792-9693e00fe15b	1	25115233	53086208	14265	-0.01
18466ec8-1c12-4047-b792-9693e00fe15b	1	53088633	53203545	88	0.5691
18466ec8-1c12-4047-b792-9693e00fe15b	1	53210776	54398164	766	0.0261
18466ec8-1c12-4047-b792-9693e00fe15b	1	54404143	57303285	2184	-0.3218
18466ec8-1c12-4047-b792-9693e00fe15b	1	57306227	91925921	22030	-0.0184
18466ec8-1c12-4047-b792-9693e00fe15b	1	91926375	92600426	309	-0.2978
18466ec8-1c12-4047-b792-9693e00fe15b	1	92600860	92606722	2	1.0833
18466ec8-1c12-4047-b792-9693e00fe15b	1	92608984	99383583	4104	-0.3247
18466ec8-1c12-4047-b792-9693e00fe15b	1	99385907	104688427	2873	-0.0347
18466ec8-1c12-4047-b792-9693e00fe15b	1	104688736	104921456	79	-0.3706
18466ec8-1c12-4047-b792-9693e00fe15b	1	104923051	106649440	929	-0.0221
18466ec8-1c12-4047-b792-9693e00fe15b	1	106649700	107232710	397	-0.3362
18466ec8-1c12-4047-b792-9693e00fe15b	1	107233682	108471686	729	-0.0125
18466ec8-1c12-4047-b792-9693e00fe15b	1	108479495	109866873	661	0.2147
18466ec8-1c12-4047-b792-9693e00fe15b	1	109869470	115063323	3317	-0.3289
18466ec8-1c12-4047-b792-9693e00fe15b	1	115063515	150086641	3244	-0.008
18466ec8-1c12-4047-b792-9693e00fe15b	1	150086810	157471861	3541	0.2188
18466ec8-1c12-4047-b792-9693e00fe15b	1	157477428	159022296	1070	-0.0187
18466ec8-1c12-4047-b792-9693e00fe15b	1	159032599	159033117	3	-1.2172
18466ec8-1c12-4047-b792-9693e00fe15b	1	159033619	163695228	3104	-0.0186
18466ec8-1c12-4047-b792-9693e00fe15b	1	163696755	164845546	797	-0.3082
18466ec8-1c12-4047-b792-9693e00fe15b	1	164847719	164944457	85	0.0355
18466ec8-1c12-4047-b792-9693e00fe15b	1	164944966	180018679	9887	0.2294
18466ec8-1c12-4047-b792-9693e00fe15b	1	180018767	180385127	224	0.4566
18466ec8-1c12-4047-b792-9693e00fe15b	1	180385430	182500607	1464	0.2284
18466ec8-1c12-4047-b792-9693e00fe15b	1	182503303	185772037	2101	0.4333
18466ec8-1c12-4047-b792-9693e00fe15b	1	185773715	191825299	3544	0.1941
18466ec8-1c12-4047-b792-9693e00fe15b	1	191839485	197350615	3171	0.7293
18466ec8-1c12-4047-b792-9693e00fe15b	1	197351568	209440907	7818	0.7751
18466ec8-1c12-4047-b792-9693e00fe15b	1	209445372	215820951	4322	0.437
18466ec8-1c12-4047-b792-9693e00fe15b	1	215821166	216021432	181	0.1609
18466ec8-1c12-4047-b792-9693e00fe15b	1	216021606	222403667	4384	0.4362
18466ec8-1c12-4047-b792-9693e00fe15b	1	222404929	226156594	2017	0.2328
18466ec8-1c12-4047-b792-9693e00fe15b	1	226156675	228185869	1188	0.4581
18466ec8-1c12-4047-b792-9693e00fe15b	1	228186551	229478715	654	0.2402
18466ec8-1c12-4047-b792-9693e00fe15b	1	229479243	234563753	3740	-0.0183
18466ec8-1c12-4047-b792-9693e00fe15b	1	234564129	234576866	2	1.5694
18466ec8-1c12-4047-b792-9693e00fe15b	1	234577637	247650984	8237	-0.0287
18466ec8-1c12-4047-b792-9693e00fe15b	2	480597	41145494	24362	-0.0123
18466ec8-1c12-4047-b792-9693e00fe15b	2	41357637	41742456	311	-0.3691
18466ec8-1c12-4047-b792-9693e00fe15b	2	41743092	83991167	24187	-0.0154
18466ec8-1c12-4047-b792-9693e00fe15b	2	83992044	85429224	836	-0.3368
18466ec8-1c12-4047-b792-9693e00fe15b	2	85440245	129702523	18924	-0.0073
18466ec8-1c12-4047-b792-9693e00fe15b	2	129702542	130728626	199	-0.3271
18466ec8-1c12-4047-b792-9693e00fe15b	2	130731690	165861867	19526	-0.0178
18466ec8-1c12-4047-b792-9693e00fe15b	2	165862338	169676115	2449	-0.3155
18466ec8-1c12-4047-b792-9693e00fe15b	2	169678982	171145282	923	-0.0201
18466ec8-1c12-4047-b792-9693e00fe15b	2	171148295	189909957	10418	-0.3249
18466ec8-1c12-4047-b792-9693e00fe15b	2	189912015	199660666	4821	-0.0146
