GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	62920	877938	52	0.0601
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	883206	1027585	25	-0.616
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	1052992	3301765	661	0.1967
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	3302046	16643505	7931	0.2675
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	16643683	16958425	91	-0.2495
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	16959715	65725181	29695	0.2505
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	65725346	72297687	4314	0.2086
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	72302735	72346757	50	-0.5704
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	72351072	78902545	4116	0.1693
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	78902588	96875148	11779	0.2138
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	96877134	105470754	5060	0.1884
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	105476583	105479753	17	1.0234
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	105481433	109690352	2636	0.2078
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	109690415	109697556	12	1.671
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	109702376	110849445	874	0.2307
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	110850675	110861171	24	0.5584
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	110861669	112002961	903	0.1899
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	112003977	112004602	2	-1.1292
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	112004649	112147589	144	0.2698
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	112147626	112154768	27	0.7222
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	112163334	121705338	5163	0.2198
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	143459641	144442092	131	-0.5315
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	144442098	147794574	729	0.2657
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	147795748	152522681	1524	0.187
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152527460	152583051	60	0.3494
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152583230	152613762	31	-2.1372
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152613802	152614118	4	-0.6012
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152618018	152785214	166	0.2435
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152787202	152801429	39	-0.212
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	152804279	158896783	3608	0.2133
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	158898711	158899969	2	2.4405
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	158905028	160166538	831	0.2007
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	160167548	160169050	3	-0.8931
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	160175796	179470495	13523	0.2042
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	179476998	179478146	2	-1.4213
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	179478408	181086542	1003	0.2242
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	181093395	183211325	1531	0.6882
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	183211850	183243710	33	1.1714
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	183244146	186475787	2102	0.6931
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	186477683	191076941	3063	0.6415
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	191077312	191111361	13	1.1862
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	191116084	193186662	1346	0.6267
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	193187149	193187218	4	-0.4148
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	193190593	196310276	2131	0.6297
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	196312485	196762956	269	0.7006
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	196769493	196847600	58	-0.1443
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	196854187	201411113	2980	0.6751
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	201415650	203973746	1591	0.2298
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	203975128	204071275	52	0.7466
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	204071787	205392341	1061	0.2502
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	205395721	205586017	117	0.6929
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	205589274	231515645	17379	0.1995
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	231520672	231542594	12	-0.5873
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	231548501	232049685	369	0.158
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	232049945	237449410	4135	0.2108
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	237449974	240228440	2246	0.1561
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	240230715	240230839	6	-1.8824
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	240232805	248475325	5672	0.193
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	248477891	248633912	48	0.5192
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	248645563	248661962	5	1.1828
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	1	248662519	248930189	136	0.2014
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	12784	2069527	1353	0.4341
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	2074189	2083318	4	-2.0458
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	2085347	10749427	6877	0.438
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	10758404	10779086	18	-0.2285
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	10782099	12949100	1684	0.4504
f523d8fe-3bc7-4bcf-b5c1-6210c642442b	2	12952634	14995518	1432	0.381
