GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	3301765	7369031	2647	0.197
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	7369329	12312388	2482	0.2438
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	12313691	14635373	1176	0.1702
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	14636721	14636800	2	-2.0385
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	14637973	20575195	3505	0.2037
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	20576615	20576669	2	-1.1091
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	20577492	22233437	794	0.2152
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	22234495	29564195	3347	-0.5915
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	29569232	29575394	2	0.304
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	29576625	30512229	712	0.6497
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	30512974	31235412	370	0.734
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	31235631	39762814	4520	0.6415
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	39768339	39772491	3	-0.6836
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	39776773	54684055	7920	0.627
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	54685324	60699159	4467	0.586
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	60700082	65382083	3410	0.6208
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	65382351	66801397	1043	0.5437
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	66801559	73449192	3754	0.6167
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	73453840	73454357	4	-0.6253
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	73459518	74240703	446	0.6094
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	74241200	101791938	16911	0.1626
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	101797061	101836471	34	-0.7684
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	101837367	108709916	3549	0.1649
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	108712891	110044976	647	0.2283
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	110045334	112711862	1885	0.1513
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	112721619	112794816	42	-0.7163
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	112803486	150177309	4564	0.1571
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	150181060	151569239	495	0.2299
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	151569912	153427849	1096	0.1529
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	153428003	156952784	1586	0.2327
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	156956045	168757132	8328	0.1769
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	168757892	171256321	1788	0.135
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	171257225	178125616	3959	0.1697
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	178126669	181308337	2010	0.2073
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	181309026	198107475	10132	0.1605
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	198108450	198977059	558	0.1012
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	198979470	198987456	6	-0.559
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	198987756	199506368	331	0.1196
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	199510499	199793485	141	0.1675
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	199799141	205698912	3955	0.2123
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	205699966	207208799	754	0.1847
e77f1b20-4c6a-4a79-999f-7caa799d2476	1	207214251	247650984	26319	-0.5091
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	480597	6955690	3907	0.9055
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	6956326	7075318	105	0.7191
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	7075526	10762487	2424	0.9217
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	10765181	11851739	738	0.6069
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	11852257	23218601	7676	0.5682
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	23219112	27728791	2150	0.6069
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	27729539	38244470	5627	0.5629
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	38245096	46645531	5458	0.6149
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	46645635	48605877	1089	0.6847
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	48605958	73583894	14118	0.6074
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	73588310	82852152	4967	0.1252
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	82855223	82934714	40	-0.5435
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	82944031	126107040	18115	0.1377
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	126108085	126216365	35	-0.6933
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	126219352	142894833	8823	0.1244
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	142907134	145921128	1672	0.0787
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	145921835	145923110	3	-0.6516
e77f1b20-4c6a-4a79-999f-7caa799d2476	2	145923695	146540409	306	0.0712
