GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	62920	1946351	321	-0.6088
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	1948516	3301765	414	-0.8005
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	3302046	25256850	13255	-0.6197
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	25266637	25319693	21	-2.0435
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	25320198	27167188	783	-0.5758
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	27176228	27177902	2	-2.1144
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	27179803	28782467	644	-0.5387
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	28783720	29116468	138	0.3636
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	29127347	29134621	4	-0.556
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	29135206	30802156	1253	0.3132
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	30803715	33303779	1140	0.3873
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	33311923	34626073	991	0.3172
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	34637053	34638890	20	-0.5216
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	34648667	47659452	7228	0.3474
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	47661038	49848429	1316	0.3001
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	49850823	54624527	2496	0.3386
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	54627618	54628716	2	1.5429
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	54630777	55059298	352	0.322
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	55060394	58453170	2802	0.2482
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	58453289	71565883	9124	0.29
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	71568569	72297687	451	0.2426
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	72302735	72345465	48	-1.2837
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	72346221	91483498	12510	0.2786
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	91483783	95441321	2546	0.3146
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	95441467	103621165	4987	0.2804
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	103697067	103717617	4	-0.8858
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	103760781	105476748	922	0.2692
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	105476861	105479753	13	-0.4893
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	105481433	108187137	1939	0.2785
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	108191613	108194874	3	-0.8829
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	108196482	108317951	32	0.2312
74c4f7e9-6f7e-41b7-8f57-f4cd0a5312d0	1	108318068	109664699	655	0.3718
