GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	3301765	8683544	3344	0.0669
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	8691209	8858736	122	0.3403
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	8859335	18782597	5168	0.0841
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	18786356	18786564	4	-1.2366
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	18786848	19694829	562	0.0946
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	19697027	19990256	221	0.283
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	19991376	24205144	2229	0.0673
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	24205654	30624705	3132	0.1333
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	30625576	30627821	2	-1.1377
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	30628471	43293241	6818	0.1182
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	43294565	43296755	3	-1.0365
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	43297106	50403437	3692	0.1138
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	50403915	50410279	5	-1.1774
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	50413104	56490564	3518	0.1133
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	56491652	65938708	6830	0.0918
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	65939043	104599389	23093	0.3372
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	104601557	106373864	883	0.0601
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	106374111	149906351	8426	0.1138
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	149907993	150593647	202	0.39
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	150597511	150677688	39	0.6294
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	150679702	154406451	1853	0.3949
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	154408308	156697268	1080	0.6234
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	156702010	181897342	16642	0.1329
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	181898861	200149951	10918	0.112
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	200152850	207931491	4941	0.1533
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	207931643	207939897	9	-0.3624
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	207940386	222120354	9855	0.1349
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	222121553	222122246	2	-2.2512
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	222122913	223801641	937	0.1386
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	223805417	223810324	3	-0.8382
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	223810443	235448925	7315	0.1482
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	235453109	247480557	7642	0.1076
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	1	247480820	247650984	109	0.1712
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	2	480597	138607344	72476	0.1092
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	2	138612881	158019586	11253	0.0853
ffbdf887-0c9a-40c0-971a-61eb2bb70e2a	2	158020288	163488480	3167	0.1133
