GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9a6d0f02-0055-4cf7-8e68-dbb06846c094	1	3301765	167698257	79033	0.0048
9a6d0f02-0055-4cf7-8e68-dbb06846c094	1	167698271	167698383	2	-1.5446
9a6d0f02-0055-4cf7-8e68-dbb06846c094	1	167700250	247650984	50734	0.0026
9a6d0f02-0055-4cf7-8e68-dbb06846c094	2	480597	241537572	132246	0.0057
9a6d0f02-0055-4cf7-8e68-dbb06846c094	3	2170634	197812401	107203	0.0049
9a6d0f02-0055-4cf7-8e68-dbb06846c094	4	1059384	143694339	79838	0.006
9a6d0f02-0055-4cf7-8e68-dbb06846c094	4	143703174	143720238	14	0.5588
9a6d0f02-0055-4cf7-8e68-dbb06846c094	4	143721339	187842528	23659	0.0019
9a6d0f02-0055-4cf7-8e68-dbb06846c094	5	913983	180934240	101135	0.0072
9a6d0f02-0055-4cf7-8e68-dbb06846c094	6	1011760	170596889	97181	0.0039
9a6d0f02-0055-4cf7-8e68-dbb06846c094	7	664936	158592540	81958	0.0055
9a6d0f02-0055-4cf7-8e68-dbb06846c094	8	667625	144182542	82257	0.0055
9a6d0f02-0055-4cf7-8e68-dbb06846c094	9	789794	138044505	68493	0.0051
9a6d0f02-0055-4cf7-8e68-dbb06846c094	10	366509	21119979	15231	0.002
9a6d0f02-0055-4cf7-8e68-dbb06846c094	10	21120828	21125264	5	0.8196
9a6d0f02-0055-4cf7-8e68-dbb06846c094	10	21125963	33942347	8396	0.0026
9a6d0f02-0055-4cf7-8e68-dbb06846c094	10	33945277	33968684	22	0.5171
9a6d0f02-0055-4cf7-8e68-dbb06846c094	10	33974190	133411599	57662	0.0032
9a6d0f02-0055-4cf7-8e68-dbb06846c094	11	456012	56474684	30806	0.0042
9a6d0f02-0055-4cf7-8e68-dbb06846c094	11	56474772	56474785	2	-1.5219
9a6d0f02-0055-4cf7-8e68-dbb06846c094	11	56474878	134272740	46784	0.0025
9a6d0f02-0055-4cf7-8e68-dbb06846c094	12	780472	132605822	74365	0.0071
9a6d0f02-0055-4cf7-8e68-dbb06846c094	13	18874255	73829418	31426	0.0024
9a6d0f02-0055-4cf7-8e68-dbb06846c094	13	73831584	73832204	3	-1.0613
9a6d0f02-0055-4cf7-8e68-dbb06846c094	13	73834611	74165682	272	-0.0054
9a6d0f02-0055-4cf7-8e68-dbb06846c094	13	74165981	74166397	2	-1.7236
9a6d0f02-0055-4cf7-8e68-dbb06846c094	13	74168185	114226675	25305	0.0022
9a6d0f02-0055-4cf7-8e68-dbb06846c094	14	20033191	83286664	36452	0.0057
9a6d0f02-0055-4cf7-8e68-dbb06846c094	14	83288959	83289600	3	-1.1616
9a6d0f02-0055-4cf7-8e68-dbb06846c094	14	83293351	105533894	13349	0.0075
9a6d0f02-0055-4cf7-8e68-dbb06846c094	15	23437561	98030314	42984	0.0085
9a6d0f02-0055-4cf7-8e68-dbb06846c094	15	98031318	98047046	8	-0.9587
9a6d0f02-0055-4cf7-8e68-dbb06846c094	15	98055154	101344124	1809	0.0043
9a6d0f02-0055-4cf7-8e68-dbb06846c094	16	603333	89317317	41222	0.0086
9a6d0f02-0055-4cf7-8e68-dbb06846c094	17	1074619	82959812	37296	0.0068
9a6d0f02-0055-4cf7-8e68-dbb06846c094	18	326691	79349796	42983	0.0032
9a6d0f02-0055-4cf7-8e68-dbb06846c094	19	283868	58370362	24159	0.0091
9a6d0f02-0055-4cf7-8e68-dbb06846c094	20	472817	63588502	37577	0.0097
9a6d0f02-0055-4cf7-8e68-dbb06846c094	21	13974127	46262057	20606	0.0041
9a6d0f02-0055-4cf7-8e68-dbb06846c094	22	16934932	48940621	17097	0.0059
9a6d0f02-0055-4cf7-8e68-dbb06846c094	X	3236359	85555834	32498	0.0057
9a6d0f02-0055-4cf7-8e68-dbb06846c094	X	85559879	85560177	2	-1.5239
9a6d0f02-0055-4cf7-8e68-dbb06846c094	X	85560303	155677414	31489	0.0065
