GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23353deb-8af1-474e-8654-70d444529e5e	1	3301765	42162529	20938	-0.4005
23353deb-8af1-474e-8654-70d444529e5e	1	42163215	42163369	2	-2.9785
23353deb-8af1-474e-8654-70d444529e5e	1	42163434	54433369	6394	-0.4061
23353deb-8af1-474e-8654-70d444529e5e	1	54435907	63215997	6391	-0.4355
23353deb-8af1-474e-8654-70d444529e5e	1	63218204	63218789	2	-1.673
23353deb-8af1-474e-8654-70d444529e5e	1	63222399	74492410	6946	-0.4364
23353deb-8af1-474e-8654-70d444529e5e	1	74494136	75683909	681	-0.8542
23353deb-8af1-474e-8654-70d444529e5e	1	75685113	76151026	362	-0.4109
23353deb-8af1-474e-8654-70d444529e5e	1	76152308	76346377	158	-0.8883
23353deb-8af1-474e-8654-70d444529e5e	1	76349203	76446515	71	-0.418
23353deb-8af1-474e-8654-70d444529e5e	1	76450714	77150704	425	-0.8899
23353deb-8af1-474e-8654-70d444529e5e	1	77150994	79261549	1056	-0.4373
23353deb-8af1-474e-8654-70d444529e5e	1	79276508	80505293	775	-0.8714
23353deb-8af1-474e-8654-70d444529e5e	1	80511883	119984772	23858	-0.4354
23353deb-8af1-474e-8654-70d444529e5e	1	146716041	247650984	61605	0.8704
23353deb-8af1-474e-8654-70d444529e5e	2	480597	156456620	82984	0.0416
23353deb-8af1-474e-8654-70d444529e5e	2	156458957	165328730	5008	0.3727
23353deb-8af1-474e-8654-70d444529e5e	2	165328783	180738902	9734	0.0359
23353deb-8af1-474e-8654-70d444529e5e	2	180739116	191858555	5560	-0.4444
23353deb-8af1-474e-8654-70d444529e5e	2	191861140	234483147	24620	0.0347
23353deb-8af1-474e-8654-70d444529e5e	2	234485770	241537572	4243	0.0792
23353deb-8af1-474e-8654-70d444529e5e	3	2170634	14866759	7786	0.0754
23353deb-8af1-474e-8654-70d444529e5e	3	14867083	37509610	13408	0.0547
23353deb-8af1-474e-8654-70d444529e5e	3	37513794	77937901	23902	0.075
23353deb-8af1-474e-8654-70d444529e5e	3	77941186	122886697	22345	0.0427
23353deb-8af1-474e-8654-70d444529e5e	3	122888135	130416162	4317	0.0757
23353deb-8af1-474e-8654-70d444529e5e	3	130416226	130416240	2	-0.9897
23353deb-8af1-474e-8654-70d444529e5e	3	130416596	141803621	6697	0.0646
23353deb-8af1-474e-8654-70d444529e5e	3	141804011	189680608	24810	0.0428
23353deb-8af1-474e-8654-70d444529e5e	3	189683602	197812401	3897	0.0635
23353deb-8af1-474e-8654-70d444529e5e	4	1059384	10769476	5215	0.11
23353deb-8af1-474e-8654-70d444529e5e	4	10774792	61770975	29284	0.0559
23353deb-8af1-474e-8654-70d444529e5e	4	61771569	177173842	63827	0.0424
23353deb-8af1-474e-8654-70d444529e5e	4	177176329	177179575	2	-1.2957
23353deb-8af1-474e-8654-70d444529e5e	4	177182228	180535451	1816	0.039
23353deb-8af1-474e-8654-70d444529e5e	4	180536246	187842528	3314	0.0642
23353deb-8af1-474e-8654-70d444529e5e	5	913983	11655841	7772	0.0849
23353deb-8af1-474e-8654-70d444529e5e	5	11655960	44047613	17791	0.0491
23353deb-8af1-474e-8654-70d444529e5e	5	44054829	44759484	332	0.3609
23353deb-8af1-474e-8654-70d444529e5e	5	44761521	167650445	67346	0.0499
23353deb-8af1-474e-8654-70d444529e5e	5	167650832	180934240	7849	0.0861
23353deb-8af1-474e-8654-70d444529e5e	6	1011760	7000283	4474	0.0756
23353deb-8af1-474e-8654-70d444529e5e	6	7002965	29440699	14261	0.0593
23353deb-8af1-474e-8654-70d444529e5e	6	29447298	47842645	9771	0.0786
23353deb-8af1-474e-8654-70d444529e5e	6	47848990	101540944	27637	0.047
23353deb-8af1-474e-8654-70d444529e5e	6	101541591	101541607	2	-1.397
23353deb-8af1-474e-8654-70d444529e5e	6	101547591	148870164	28190	0.045
23353deb-8af1-474e-8654-70d444529e5e	6	148871927	170596889	12786	0.0684
23353deb-8af1-474e-8654-70d444529e5e	7	664936	2145267	405	0.472
23353deb-8af1-474e-8654-70d444529e5e	7	2147836	6044679	1612	0.4022
23353deb-8af1-474e-8654-70d444529e5e	7	6044829	25258136	11327	0.3547
23353deb-8af1-474e-8654-70d444529e5e	7	25258664	29991658	2993	0.3747
23353deb-8af1-474e-8654-70d444529e5e	7	29992068	29993449	2	-0.8433
23353deb-8af1-474e-8654-70d444529e5e	7	29994282	67127461	18138	0.367
23353deb-8af1-474e-8654-70d444529e5e	7	67127773	67346326	17	-0.0451
23353deb-8af1-474e-8654-70d444529e5e	7	67349013	77291181	4208	0.3805
23353deb-8af1-474e-8654-70d444529e5e	7	77291227	87571151	6223	0.3515
23353deb-8af1-474e-8654-70d444529e5e	7	87572166	95054460	3361	0.327
23353deb-8af1-474e-8654-70d444529e5e	7	95055685	148901181	28778	0.3536
23353deb-8af1-474e-8654-70d444529e5e	7	148906801	158592540	4854	0.3879
23353deb-8af1-474e-8654-70d444529e5e	8	667625	1512496	332	0.1158
23353deb-8af1-474e-8654-70d444529e5e	8	1513656	1514278	2	1.3714
23353deb-8af1-474e-8654-70d444529e5e	8	1514791	28077156	16177	0.0806
23353deb-8af1-474e-8654-70d444529e5e	8	28077744	133135813	59474	0.0471
23353deb-8af1-474e-8654-70d444529e5e	8	133136193	133705272	490	0.0991
23353deb-8af1-474e-8654-70d444529e5e	8	133706441	138074711	3210	0.0681
