GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26618cb2-ed6b-4000-8073-b91028a1e23d	1	62920	826738	36	0.1364
26618cb2-ed6b-4000-8073-b91028a1e23d	1	833413	3024053	581	-0.2596
26618cb2-ed6b-4000-8073-b91028a1e23d	1	3031152	7900086	3301	0.0124
26618cb2-ed6b-4000-8073-b91028a1e23d	1	7901146	21377333	7819	-0.0111
26618cb2-ed6b-4000-8073-b91028a1e23d	1	21377944	21411017	21	-0.6178
26618cb2-ed6b-4000-8073-b91028a1e23d	1	21411032	25219106	2235	-0.0123
26618cb2-ed6b-4000-8073-b91028a1e23d	1	25223246	25320253	39	-0.4143
26618cb2-ed6b-4000-8073-b91028a1e23d	1	25320455	27014714	717	-0.0069
26618cb2-ed6b-4000-8073-b91028a1e23d	1	27020298	27072293	24	-0.4844
26618cb2-ed6b-4000-8073-b91028a1e23d	1	27074227	27481107	147	-0.0052
26618cb2-ed6b-4000-8073-b91028a1e23d	1	27483067	27506683	10	-0.8305
26618cb2-ed6b-4000-8073-b91028a1e23d	1	27509098	33386978	3087	-0.0143
26618cb2-ed6b-4000-8073-b91028a1e23d	1	33387707	43011286	5678	0.0327
26618cb2-ed6b-4000-8073-b91028a1e23d	1	43012125	43012935	2	-1.8549
26618cb2-ed6b-4000-8073-b91028a1e23d	1	43020953	72284670	19048	0.0151
26618cb2-ed6b-4000-8073-b91028a1e23d	1	72290430	72297687	9	-0.9125
26618cb2-ed6b-4000-8073-b91028a1e23d	1	72302735	72345393	46	0.5143
26618cb2-ed6b-4000-8073-b91028a1e23d	1	72345450	109684893	23604	0.0238
26618cb2-ed6b-4000-8073-b91028a1e23d	1	109690352	109697556	13	-1.4297
26618cb2-ed6b-4000-8073-b91028a1e23d	1	109702376	112147704	1948	0.0474
26618cb2-ed6b-4000-8073-b91028a1e23d	1	112153343	112154591	22	-2.0025
26618cb2-ed6b-4000-8073-b91028a1e23d	1	112154619	114289343	1329	0.0153
26618cb2-ed6b-4000-8073-b91028a1e23d	1	114291004	114291088	2	-1.8352
26618cb2-ed6b-4000-8073-b91028a1e23d	1	114291180	145744908	4006	0.0403
26618cb2-ed6b-4000-8073-b91028a1e23d	1	145753108	146040040	126	-0.2523
26618cb2-ed6b-4000-8073-b91028a1e23d	1	146042474	149817468	715	0.0395
26618cb2-ed6b-4000-8073-b91028a1e23d	1	149820412	151425402	728	-0.0865
26618cb2-ed6b-4000-8073-b91028a1e23d	1	151436260	152583051	696	0.0318
26618cb2-ed6b-4000-8073-b91028a1e23d	1	152583230	152614118	35	-1.6822
26618cb2-ed6b-4000-8073-b91028a1e23d	1	152618018	158896783	3818	0.0142
26618cb2-ed6b-4000-8073-b91028a1e23d	1	158898711	158899969	2	3.0858
26618cb2-ed6b-4000-8073-b91028a1e23d	1	158905028	196769493	25853	0.0276
26618cb2-ed6b-4000-8073-b91028a1e23d	1	196769506	196847600	57	0.834
26618cb2-ed6b-4000-8073-b91028a1e23d	1	196854187	241887434	31259	0.0213
26618cb2-ed6b-4000-8073-b91028a1e23d	1	241887519	242027428	75	-0.3568
26618cb2-ed6b-4000-8073-b91028a1e23d	1	242034266	248930189	4461	0.0065
26618cb2-ed6b-4000-8073-b91028a1e23d	2	12784	176395	92	0.072
26618cb2-ed6b-4000-8073-b91028a1e23d	2	176411	227066	37	-0.4107
26618cb2-ed6b-4000-8073-b91028a1e23d	2	227201	17036583	12709	0.0221
26618cb2-ed6b-4000-8073-b91028a1e23d	2	17039825	17056694	48	-0.6609
26618cb2-ed6b-4000-8073-b91028a1e23d	2	17061270	28743924	7246	0.0171
26618cb2-ed6b-4000-8073-b91028a1e23d	2	28747218	28984924	115	-0.2312
26618cb2-ed6b-4000-8073-b91028a1e23d	2	28985273	34466002	3843	0.0283
26618cb2-ed6b-4000-8073-b91028a1e23d	2	34474248	34511990	46	0.7021
26618cb2-ed6b-4000-8073-b91028a1e23d	2	34512096	50601893	11674	0.0343
26618cb2-ed6b-4000-8073-b91028a1e23d	2	50602006	51152471	392	0.167
26618cb2-ed6b-4000-8073-b91028a1e23d	2	51155789	52527330	936	0.0421
26618cb2-ed6b-4000-8073-b91028a1e23d	2	52527342	52554404	39	-2.413
26618cb2-ed6b-4000-8073-b91028a1e23d	2	52560811	78781312	16918	0.0315
26618cb2-ed6b-4000-8073-b91028a1e23d	2	78784774	79440205	541	0.1421
26618cb2-ed6b-4000-8073-b91028a1e23d	2	79440461	86045635	4058	0.0236
26618cb2-ed6b-4000-8073-b91028a1e23d	2	86046985	86236349	133	-0.1583
26618cb2-ed6b-4000-8073-b91028a1e23d	2	86237402	86901078	329	0.046
26618cb2-ed6b-4000-8073-b91028a1e23d	2	86902080	87695122	135	-0.8396
26618cb2-ed6b-4000-8073-b91028a1e23d	2	87696853	88990283	582	0.0418
26618cb2-ed6b-4000-8073-b91028a1e23d	2	88996984	90003752	98	0.2876
26618cb2-ed6b-4000-8073-b91028a1e23d	2	90004062	106263639	6626	0.0367
26618cb2-ed6b-4000-8073-b91028a1e23d	2	106264257	106268901	11	0.9054
26618cb2-ed6b-4000-8073-b91028a1e23d	2	106270799	111541447	2641	0.0495
26618cb2-ed6b-4000-8073-b91028a1e23d	2	111553264	111610248	11	-0.9105
26618cb2-ed6b-4000-8073-b91028a1e23d	2	111615592	179553661	41690	0.0315
26618cb2-ed6b-4000-8073-b91028a1e23d	2	179553763	179557179	25	-0.8801
26618cb2-ed6b-4000-8073-b91028a1e23d	2	179557394	203032174	13552	0.0349
26618cb2-ed6b-4000-8073-b91028a1e23d	2	203035077	203039417	4	-1.3908
26618cb2-ed6b-4000-8073-b91028a1e23d	2	203040995	207490231	2892	0.0168
26618cb2-ed6b-4000-8073-b91028a1e23d	2	207490454	207494612	15	-0.87
26618cb2-ed6b-4000-8073-b91028a1e23d	2	207494752	231504690	15445	0.0181
26618cb2-ed6b-4000-8073-b91028a1e23d	2	231510519	231802592	135	-0.2068
26618cb2-ed6b-4000-8073-b91028a1e23d	2	231804728	242147305	6498	0.0224
