GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
615b2826-7f9f-498b-8309-d4d54d598c50	1	3301765	49126305	24804	0.0211
615b2826-7f9f-498b-8309-d4d54d598c50	1	49132190	112168720	38513	-0.0017
615b2826-7f9f-498b-8309-d4d54d598c50	1	112168995	146716041	4832	0.0136
615b2826-7f9f-498b-8309-d4d54d598c50	1	149906351	161438766	6176	0.3563
615b2826-7f9f-498b-8309-d4d54d598c50	1	161439423	161439440	2	-0.67
615b2826-7f9f-498b-8309-d4d54d598c50	1	161476338	184953929	15725	0.3525
615b2826-7f9f-498b-8309-d4d54d598c50	1	184956068	199488399	8504	0.3323
615b2826-7f9f-498b-8309-d4d54d598c50	1	199488540	247650984	31249	0.3562
615b2826-7f9f-498b-8309-d4d54d598c50	2	480597	140256010	73553	0.0038
615b2826-7f9f-498b-8309-d4d54d598c50	2	140256193	216438741	43382	-0.0095
615b2826-7f9f-498b-8309-d4d54d598c50	2	216438912	221606293	3318	0.0074
615b2826-7f9f-498b-8309-d4d54d598c50	2	221606740	221606796	2	1.0177
615b2826-7f9f-498b-8309-d4d54d598c50	2	221607842	241537572	12003	0.0041
615b2826-7f9f-498b-8309-d4d54d598c50	3	2170634	24654937	13154	0.0098
615b2826-7f9f-498b-8309-d4d54d598c50	3	24662663	24894483	185	-0.4794
615b2826-7f9f-498b-8309-d4d54d598c50	3	24899004	31179392	4096	0.0009
615b2826-7f9f-498b-8309-d4d54d598c50	3	31184811	33426934	1381	-0.4723
615b2826-7f9f-498b-8309-d4d54d598c50	3	33429154	41872696	5173	0.006
615b2826-7f9f-498b-8309-d4d54d598c50	3	42174077	43838374	1009	-0.4886
615b2826-7f9f-498b-8309-d4d54d598c50	3	43842929	46476733	1558	0.0039
615b2826-7f9f-498b-8309-d4d54d598c50	3	46483648	51414466	1980	-0.4486
615b2826-7f9f-498b-8309-d4d54d598c50	3	51425190	52660892	454	0.0238
615b2826-7f9f-498b-8309-d4d54d598c50	3	52661634	56800984	2896	-0.4781
615b2826-7f9f-498b-8309-d4d54d598c50	3	56804357	57875642	552	-0.0128
615b2826-7f9f-498b-8309-d4d54d598c50	3	57878922	69139937	7161	0.0141
615b2826-7f9f-498b-8309-d4d54d598c50	3	69140156	175360729	56144	-0.005
615b2826-7f9f-498b-8309-d4d54d598c50	3	176041258	176244362	89	0.3295
615b2826-7f9f-498b-8309-d4d54d598c50	3	176245258	197812401	11373	0.002
615b2826-7f9f-498b-8309-d4d54d598c50	4	1059384	19104311	11247	0.0121
615b2826-7f9f-498b-8309-d4d54d598c50	4	19109331	19109887	3	-0.866
615b2826-7f9f-498b-8309-d4d54d598c50	4	19112495	27911834	5663	0.007
615b2826-7f9f-498b-8309-d4d54d598c50	4	27914333	36575811	5100	-0.016
615b2826-7f9f-498b-8309-d4d54d598c50	4	36576021	58041883	10385	0.0043
615b2826-7f9f-498b-8309-d4d54d598c50	4	58042438	58080780	31	-0.9083
615b2826-7f9f-498b-8309-d4d54d598c50	4	58083394	187842528	71108	-0.0075
615b2826-7f9f-498b-8309-d4d54d598c50	5	913983	17437385	10886	0.0114
615b2826-7f9f-498b-8309-d4d54d598c50	5	17439844	31016331	7044	-0.0152
