GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
65a01e0e-1b00-4582-8178-e59289e7afa7	1	62920	72303233	42600	-0.0121
65a01e0e-1b00-4582-8178-e59289e7afa7	1	72303253	72346221	44	-0.9077
65a01e0e-1b00-4582-8178-e59289e7afa7	1	72346757	151330367	32296	-0.0092
65a01e0e-1b00-4582-8178-e59289e7afa7	1	151339905	151341716	2	4.0482
65a01e0e-1b00-4582-8178-e59289e7afa7	1	151341903	152583051	782	-0.0128
65a01e0e-1b00-4582-8178-e59289e7afa7	1	152583230	152613762	31	-1.8302
65a01e0e-1b00-4582-8178-e59289e7afa7	1	152613802	169247699	11432	0.0129
65a01e0e-1b00-4582-8178-e59289e7afa7	1	169264736	169272528	7	-3.2126
65a01e0e-1b00-4582-8178-e59289e7afa7	1	169273163	174827267	3504	0.001
65a01e0e-1b00-4582-8178-e59289e7afa7	1	174827418	174828247	8	-3.4803
65a01e0e-1b00-4582-8178-e59289e7afa7	1	174828310	174828549	6	-2.0743
65a01e0e-1b00-4582-8178-e59289e7afa7	1	174832599	209328062	22898	-0.0116
65a01e0e-1b00-4582-8178-e59289e7afa7	1	209329888	209330043	2	-4.7947
65a01e0e-1b00-4582-8178-e59289e7afa7	1	209330880	248930189	27443	0.0029
65a01e0e-1b00-4582-8178-e59289e7afa7	2	12784	242147305	148940	-0.0097
65a01e0e-1b00-4582-8178-e59289e7afa7	3	20930	815775	647	0.0019
65a01e0e-1b00-4582-8178-e59289e7afa7	3	816107	1386714	531	0.4842
65a01e0e-1b00-4582-8178-e59289e7afa7	3	1393674	27341298	19272	0.0003
65a01e0e-1b00-4582-8178-e59289e7afa7	3	27344319	27345655	3	-3.6255
65a01e0e-1b00-4582-8178-e59289e7afa7	3	27351432	128768864	61156	-0.0034
65a01e0e-1b00-4582-8178-e59289e7afa7	3	128771885	128772213	3	3.3845
65a01e0e-1b00-4582-8178-e59289e7afa7	3	128777170	164074096	21554	-0.0054
65a01e0e-1b00-4582-8178-e59289e7afa7	3	164077710	164078717	2	4.4806
65a01e0e-1b00-4582-8178-e59289e7afa7	3	164084080	173230183	5454	-0.0089
65a01e0e-1b00-4582-8178-e59289e7afa7	3	173233880	173239475	3	3.2847
65a01e0e-1b00-4582-8178-e59289e7afa7	3	173243345	186980310	8472	-0.0019
65a01e0e-1b00-4582-8178-e59289e7afa7	3	186983049	186983135	2	-3.7847
65a01e0e-1b00-4582-8178-e59289e7afa7	3	186991016	198169247	7179	0.0049
65a01e0e-1b00-4582-8178-e59289e7afa7	4	68929	7319383	4103	-0.0194
65a01e0e-1b00-4582-8178-e59289e7afa7	4	7321723	7322033	2	-3.9365
65a01e0e-1b00-4582-8178-e59289e7afa7	4	7323275	10208766	1560	-0.0112
65a01e0e-1b00-4582-8178-e59289e7afa7	4	10212536	10228994	21	1.8814
65a01e0e-1b00-4582-8178-e59289e7afa7	4	10229120	190106768	111089	-0.002
65a01e0e-1b00-4582-8178-e59289e7afa7	5	15532	8439243	6667	-0.0003
65a01e0e-1b00-4582-8178-e59289e7afa7	5	8439747	8442527	2	3.9718
65a01e0e-1b00-4582-8178-e59289e7afa7	5	8444092	46271006	23886	0.002
65a01e0e-1b00-4582-8178-e59289e7afa7	5	46271828	46273400	6	-2.625
65a01e0e-1b00-4582-8178-e59289e7afa7	5	46278110	156048095	65173	0.0003
65a01e0e-1b00-4582-8178-e59289e7afa7	5	156049762	156055719	14	-1.9207
65a01e0e-1b00-4582-8178-e59289e7afa7	5	156068240	180754412	16436	-0.0009
65a01e0e-1b00-4582-8178-e59289e7afa7	5	180754586	180769816	11	-1.3829
65a01e0e-1b00-4582-8178-e59289e7afa7	5	180772253	180947523	99	0.0603
65a01e0e-1b00-4582-8178-e59289e7afa7	5	180951710	180980230	12	-2.2596
65a01e0e-1b00-4582-8178-e59289e7afa7	5	180987294	181363319	177	0.1493
65a01e0e-1b00-4582-8178-e59289e7afa7	6	149661	52257216	35154	-0.0054
65a01e0e-1b00-4582-8178-e59289e7afa7	6	52257453	52258052	2	-4.5
65a01e0e-1b00-4582-8178-e59289e7afa7	6	52258086	78263236	14464	0.0016
