GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	3301765	44169804	22128	0.0024
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	44170809	44171718	2	-1.8898
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	44181708	59993588	9411	0.0149
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	59994583	60186780	115	-0.0973
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	60187195	60206190	16	-0.4636
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	60206271	60534694	194	-0.0577
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	60536311	71486072	7298	0.0216
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	71486267	75091874	1900	-0.0409
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	75096751	76557105	1014	0.0217
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76557588	76629232	46	-0.2133
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76629300	76812741	132	0.0298
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76812796	76824152	10	-0.3929
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76824642	76827264	6	-0.8528
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76831352	76831533	4	-0.3829
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	76839524	83072387	3631	0.0174
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	83072448	83092101	18	-0.5338
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	83092504	88150945	3307	0.0258
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	88151890	88164091	11	-0.8335
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	88164124	101764243	8277	0.0073
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	101765268	101810587	34	-0.4546
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	101817983	106688285	2351	-0.0008
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	106688603	106767681	60	-0.3165
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	106771283	158470522	12517	0.0103
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	158480448	158492466	17	-0.461
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	158493296	164232015	3764	0.0192
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	164232314	164324163	65	-0.2586
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	164324478	172152719	5807	0.0174
f6b6a180-5be8-41eb-8ae0-5986bbf74aa5	1	172153461	172190124	33	-0.4301
