GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b4881758-2563-45d9-8ad6-1121335492a8	1	3301765	63261810	33796	-0.2001
b4881758-2563-45d9-8ad6-1121335492a8	1	63261871	74701691	7095	-0.2225
b4881758-2563-45d9-8ad6-1121335492a8	1	74702349	75933202	663	-0.1893
b4881758-2563-45d9-8ad6-1121335492a8	1	75934576	75935539	3	-1.0809
b4881758-2563-45d9-8ad6-1121335492a8	1	75936127	77229932	889	-0.2025
b4881758-2563-45d9-8ad6-1121335492a8	1	77232846	77275151	20	-1.024
b4881758-2563-45d9-8ad6-1121335492a8	1	77276109	119984772	25674	-0.211
b4881758-2563-45d9-8ad6-1121335492a8	1	146716041	151818476	738	0.6077
b4881758-2563-45d9-8ad6-1121335492a8	1	151825640	152852270	558	0.6944
b4881758-2563-45d9-8ad6-1121335492a8	1	152854358	152855958	4	-0.3442
b4881758-2563-45d9-8ad6-1121335492a8	1	152861395	247650984	60333	0.6705
b4881758-2563-45d9-8ad6-1121335492a8	2	480597	142382657	74974	0.0881
b4881758-2563-45d9-8ad6-1121335492a8	2	142384620	201558143	33104	0.0755
b4881758-2563-45d9-8ad6-1121335492a8	2	201558672	201558981	3	1.2326
b4881758-2563-45d9-8ad6-1121335492a8	2	201561984	219479728	10666	0.0774
b4881758-2563-45d9-8ad6-1121335492a8	2	219480830	241537572	13495	0.0892
b4881758-2563-45d9-8ad6-1121335492a8	3	2170634	11938590	5838	0.3168
b4881758-2563-45d9-8ad6-1121335492a8	3	11940654	11945060	2	-1.0993
b4881758-2563-45d9-8ad6-1121335492a8	3	11945308	29401995	10297	0.3034
b4881758-2563-45d9-8ad6-1121335492a8	3	29403972	29404440	4	-1.1546
b4881758-2563-45d9-8ad6-1121335492a8	3	29405334	36878559	4725	0.3017
b4881758-2563-45d9-8ad6-1121335492a8	3	36880567	36881884	2	-1.6111
b4881758-2563-45d9-8ad6-1121335492a8	3	36883703	38491020	952	0.3045
b4881758-2563-45d9-8ad6-1121335492a8	3	38496096	38496180	2	-0.8977
b4881758-2563-45d9-8ad6-1121335492a8	3	38499050	53706672	7789	0.2978
b4881758-2563-45d9-8ad6-1121335492a8	3	53706912	97466347	23405	0.3125
b4881758-2563-45d9-8ad6-1121335492a8	3	97471285	108198184	6095	0.2931
b4881758-2563-45d9-8ad6-1121335492a8	3	108198380	108206549	2	-0.9635
b4881758-2563-45d9-8ad6-1121335492a8	3	108207180	118083796	5837	0.2996
b4881758-2563-45d9-8ad6-1121335492a8	3	118084048	118084727	2	-1.1832
b4881758-2563-45d9-8ad6-1121335492a8	3	118085307	124250804	3370	0.3001
b4881758-2563-45d9-8ad6-1121335492a8	3	124251211	124252017	3	-0.7712
b4881758-2563-45d9-8ad6-1121335492a8	3	124257947	179159507	29025	0.2964
b4881758-2563-45d9-8ad6-1121335492a8	3	179159575	179234432	161	0.1388
b4881758-2563-45d9-8ad6-1121335492a8	3	179234447	197812401	9709	0.2947
b4881758-2563-45d9-8ad6-1121335492a8	4	1059384	35237997	21177	0.0803
b4881758-2563-45d9-8ad6-1121335492a8	4	35238461	179024421	78078	0.0639
b4881758-2563-45d9-8ad6-1121335492a8	4	179024869	187842528	4285	0.0795
b4881758-2563-45d9-8ad6-1121335492a8	5	913983	24305709	14269	-0.2029
b4881758-2563-45d9-8ad6-1121335492a8	5	24308753	172854938	82567	-0.2252
b4881758-2563-45d9-8ad6-1121335492a8	5	172856080	180934240	4290	-0.2029
b4881758-2563-45d9-8ad6-1121335492a8	6	1011760	62079032	34360	0.0654
b4881758-2563-45d9-8ad6-1121335492a8	6	62079147	62079542	2	1.5354
b4881758-2563-45d9-8ad6-1121335492a8	6	62080284	69325355	3962	0.0714
b4881758-2563-45d9-8ad6-1121335492a8	6	69326358	69329888	2	-1.2874
b4881758-2563-45d9-8ad6-1121335492a8	6	69330257	101169104	17606	0.067
b4881758-2563-45d9-8ad6-1121335492a8	6	101169459	101171232	2	-1.1561
b4881758-2563-45d9-8ad6-1121335492a8	6	101178069	120024289	10720	0.0599
b4881758-2563-45d9-8ad6-1121335492a8	6	120025218	120034080	2	-1.2805
b4881758-2563-45d9-8ad6-1121335492a8	6	120034777	122481213	1361	0.0685
b4881758-2563-45d9-8ad6-1121335492a8	6	122482967	122483049	2	-1.1497
b4881758-2563-45d9-8ad6-1121335492a8	6	122490902	160737911	24325	0.0575
b4881758-2563-45d9-8ad6-1121335492a8	6	160739220	166559645	3599	0.0841
b4881758-2563-45d9-8ad6-1121335492a8	6	166562524	166562559	2	1.0928
b4881758-2563-45d9-8ad6-1121335492a8	6	166565264	169651953	962	0.0912
b4881758-2563-45d9-8ad6-1121335492a8	6	169651989	170596889	290	0.0525
b4881758-2563-45d9-8ad6-1121335492a8	7	664936	158592540	81972	0.0696
b4881758-2563-45d9-8ad6-1121335492a8	8	667625	41418711	24158	0.32
b4881758-2563-45d9-8ad6-1121335492a8	8	41426137	53668500	4668	0.3007
b4881758-2563-45d9-8ad6-1121335492a8	8	53669864	53682642	11	-0.3914
b4881758-2563-45d9-8ad6-1121335492a8	8	53685312	134942635	48735	0.2984
b4881758-2563-45d9-8ad6-1121335492a8	8	134945091	144182542	4700	0.3263
b4881758-2563-45d9-8ad6-1121335492a8	9	789794	10775059	6084	-0.2105
b4881758-2563-45d9-8ad6-1121335492a8	9	10776088	10776269	2	-2.4881
b4881758-2563-45d9-8ad6-1121335492a8	9	10776297	138044505	62406	-0.2089
b4881758-2563-45d9-8ad6-1121335492a8	10	366509	133411599	81321	0.0775
b4881758-2563-45d9-8ad6-1121335492a8	11	456012	47372087	29772	0.0631
b4881758-2563-45d9-8ad6-1121335492a8	11	47372754	47372766	2	-2.0074
b4881758-2563-45d9-8ad6-1121335492a8	11	47374671	118444934	36900	0.0564
b4881758-2563-45d9-8ad6-1121335492a8	11	118447223	118447464	2	-1.4533
b4881758-2563-45d9-8ad6-1121335492a8	11	118454085	125322385	4856	0.062
b4881758-2563-45d9-8ad6-1121335492a8	11	125322414	125322475	2	-1.0962
b4881758-2563-45d9-8ad6-1121335492a8	11	125323060	127065382	1268	0.0743
b4881758-2563-45d9-8ad6-1121335492a8	11	127066539	127066627	2	-2.502
b4881758-2563-45d9-8ad6-1121335492a8	11	127066661	134272740	4805	0.0788
b4881758-2563-45d9-8ad6-1121335492a8	12	780472	74785641	40283	-0.2118
b4881758-2563-45d9-8ad6-1121335492a8	12	74792132	74792534	3	-1.6169
b4881758-2563-45d9-8ad6-1121335492a8	12	74793920	132605822	34072	-0.2124
b4881758-2563-45d9-8ad6-1121335492a8	13	18874255	49658354	19591	-0.5881
b4881758-2563-45d9-8ad6-1121335492a8	13	49658977	72383435	10799	-0.5603
b4881758-2563-45d9-8ad6-1121335492a8	13	72383852	114226675	26563	-0.5895
b4881758-2563-45d9-8ad6-1121335492a8	14	20033191	95198392	43910	0.0763
b4881758-2563-45d9-8ad6-1121335492a8	14	95198880	95199553	3	-1.1352
b4881758-2563-45d9-8ad6-1121335492a8	14	95201441	105533894	5901	0.0819
b4881758-2563-45d9-8ad6-1121335492a8	15	23437561	101344124	44793	-0.1989
b4881758-2563-45d9-8ad6-1121335492a8	16	603333	4964253	1618	0.4867
b4881758-2563-45d9-8ad6-1121335492a8	16	4965706	27167053	11057	0.5351
b4881758-2563-45d9-8ad6-1121335492a8	16	27167181	31841585	1373	0.4949
b4881758-2563-45d9-8ad6-1121335492a8	16	46470502	85049104	24792	-0.5703
b4881758-2563-45d9-8ad6-1121335492a8	16	85065645	85065658	2	-2.2198
b4881758-2563-45d9-8ad6-1121335492a8	16	85067370	89317317	2355	-0.6017
b4881758-2563-45d9-8ad6-1121335492a8	17	1074619	10177520	4710	0.0752
b4881758-2563-45d9-8ad6-1121335492a8	17	10177712	15975272	2935	0.1142
b4881758-2563-45d9-8ad6-1121335492a8	17	15978899	51874841	12976	0.0736
b4881758-2563-45d9-8ad6-1121335492a8	17	51875321	51882135	5	-0.9708
b4881758-2563-45d9-8ad6-1121335492a8	17	51884604	82959812	16671	0.0808
b4881758-2563-45d9-8ad6-1121335492a8	18	326691	79349796	42982	-0.2048
b4881758-2563-45d9-8ad6-1121335492a8	19	283868	9863616	3279	0.0641
b4881758-2563-45d9-8ad6-1121335492a8	19	9865998	9867790	4	-0.7647
b4881758-2563-45d9-8ad6-1121335492a8	19	9870718	11053013	503	0.041
b4881758-2563-45d9-8ad6-1121335492a8	19	11057986	11066732	3	-1.0604
b4881758-2563-45d9-8ad6-1121335492a8	19	11069603	58370362	20377	0.0762
b4881758-2563-45d9-8ad6-1121335492a8	20	472817	63588502	37579	0.0945
b4881758-2563-45d9-8ad6-1121335492a8	21	13974127	18543254	2849	-0.2005
b4881758-2563-45d9-8ad6-1121335492a8	21	18544887	18551397	6	-1.355
b4881758-2563-45d9-8ad6-1121335492a8	21	18555715	46262057	17746	-0.2015
b4881758-2563-45d9-8ad6-1121335492a8	22	16934932	35304215	9014	-0.1819
b4881758-2563-45d9-8ad6-1121335492a8	22	35315448	41223222	2926	-0.2167
b4881758-2563-45d9-8ad6-1121335492a8	22	41223346	48940621	5155	-0.1842
b4881758-2563-45d9-8ad6-1121335492a8	X	3236359	155677414	63929	0.0133
