GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	62920	82315	6	-0.8926
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	82650	1081836	77	0.0711
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	1083324	1575421	127	0.3109
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	1696479	1741164	16	-0.6828
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	1756148	2930411	344	0.2826
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	2934155	14766551	7023	0.4963
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	14769726	15360563	485	0.5904
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	15362611	15463238	62	0.4858
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	15465931	15484726	13	0.0151
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	15484851	15823420	184	0.4791
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	15827002	15827430	6	-2.354
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	15827706	16493138	295	0.4713
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	16494124	17266911	355	0.2376
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	17268401	17293514	22	0.8992
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	17296159	31148580	8022	0.2592
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	31150820	31152542	3	-1.5575
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	31154252	32783895	723	0.2333
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	32786918	38384632	3270	0.4988
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	38385325	42419962	2327	0.4412
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	42420514	48045259	3177	0.4989
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	48046179	48064586	24	0.0664
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	48064684	53179295	2585	0.4877
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	53179726	64338617	8236	0.2807
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	64338759	66421320	1628	0.2246
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	66421679	68385920	1444	0.2732
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	68386302	68388800	2	-1.2094
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	68396177	72303233	2321	0.2466
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	72303253	72346221	46	-1.2468
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	72346757	91727707	12708	0.246
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	91728105	91730095	2	-1.2333
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	91730496	92147366	263	0.2786
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	92149876	92205300	23	-0.2037
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	92210509	98126964	3587	0.24
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	98127074	98152768	17	0.7152
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	98157069	103556030	3401	0.2453
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	103557298	103620877	32	0.5928
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	103621165	108544068	2987	0.2445
1b6ac59f-1dcb-4473-9af6-27d0d869f05e	1	108547737	109684893	589	-0.0599
