GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
41902ab1-665f-40dd-88f6-89d3efdbf897	1	3301765	4258386	519	-0.0884
41902ab1-665f-40dd-88f6-89d3efdbf897	1	4261232	4269535	13	0.7064
41902ab1-665f-40dd-88f6-89d3efdbf897	1	4271723	11849457	4352	-0.1129
41902ab1-665f-40dd-88f6-89d3efdbf897	1	11863925	11863970	2	-2.2967
41902ab1-665f-40dd-88f6-89d3efdbf897	1	11866999	12294250	221	-0.0998
41902ab1-665f-40dd-88f6-89d3efdbf897	1	12295430	12295446	2	-2.2285
41902ab1-665f-40dd-88f6-89d3efdbf897	1	12297031	32285679	10399	-0.1208
41902ab1-665f-40dd-88f6-89d3efdbf897	1	32293447	44838578	6953	1.1235
41902ab1-665f-40dd-88f6-89d3efdbf897	1	44838666	44839110	3	-0.2489
41902ab1-665f-40dd-88f6-89d3efdbf897	1	44839438	58610132	8112	1.1243
41902ab1-665f-40dd-88f6-89d3efdbf897	1	58612365	58613687	4	-0.4806
41902ab1-665f-40dd-88f6-89d3efdbf897	1	58618537	62517014	2640	1.1354
41902ab1-665f-40dd-88f6-89d3efdbf897	1	62517220	72459165	6364	0.6559
41902ab1-665f-40dd-88f6-89d3efdbf897	1	72459424	119984772	28451	0.3066
41902ab1-665f-40dd-88f6-89d3efdbf897	1	146716041	180779181	18986	-0.1657
41902ab1-665f-40dd-88f6-89d3efdbf897	1	180781437	180784228	3	-2.3389
41902ab1-665f-40dd-88f6-89d3efdbf897	1	180784347	184684499	2736	-0.1762
41902ab1-665f-40dd-88f6-89d3efdbf897	1	184685495	208766973	14628	0.2967
41902ab1-665f-40dd-88f6-89d3efdbf897	1	208767597	217968787	6325	-0.1572
41902ab1-665f-40dd-88f6-89d3efdbf897	1	217968932	217969079	2	-1.9344
41902ab1-665f-40dd-88f6-89d3efdbf897	1	217969477	230212206	7403	-0.1568
41902ab1-665f-40dd-88f6-89d3efdbf897	1	230213202	247369699	11207	-0.8514
