GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5cc785cc-8845-4b90-95eb-097896412250	1	3301765	21048317	10077	-0.2201
5cc785cc-8845-4b90-95eb-097896412250	1	21050421	22115532	449	0.136
5cc785cc-8845-4b90-95eb-097896412250	1	22116490	38628986	8495	-0.2125
5cc785cc-8845-4b90-95eb-097896412250	1	38633346	39259563	336	0.1348
5cc785cc-8845-4b90-95eb-097896412250	1	39262719	54291517	7905	-0.217
5cc785cc-8845-4b90-95eb-097896412250	1	54291728	54292240	2	-1.5317
5cc785cc-8845-4b90-95eb-097896412250	1	54292628	106008235	32180	-0.2072
5cc785cc-8845-4b90-95eb-097896412250	1	106008748	109735520	2117	0.1573
5cc785cc-8845-4b90-95eb-097896412250	1	109738403	119984738	6558	-0.2145
5cc785cc-8845-4b90-95eb-097896412250	1	119984772	165005570	8750	0.4014
5cc785cc-8845-4b90-95eb-097896412250	1	165010578	166013314	878	0.6738
5cc785cc-8845-4b90-95eb-097896412250	1	166014377	179218277	8458	0.4097
5cc785cc-8845-4b90-95eb-097896412250	1	179218602	179218873	2	-0.6984
5cc785cc-8845-4b90-95eb-097896412250	1	179219209	187772189	5550	0.4067
5cc785cc-8845-4b90-95eb-097896412250	1	187772437	192019703	2361	0.4453
5cc785cc-8845-4b90-95eb-097896412250	1	192021476	192942978	561	0.409
5cc785cc-8845-4b90-95eb-097896412250	1	192947185	193058704	59	0.6488
5cc785cc-8845-4b90-95eb-097896412250	1	193058867	201389551	5020	0.4199
5cc785cc-8845-4b90-95eb-097896412250	1	201390569	201967037	390	0.7865
5cc785cc-8845-4b90-95eb-097896412250	1	201970406	202437580	254	0.934
5cc785cc-8845-4b90-95eb-097896412250	1	202441055	212053220	6425	0.4023
5cc785cc-8845-4b90-95eb-097896412250	1	212053945	212572822	328	0.8148
5cc785cc-8845-4b90-95eb-097896412250	1	212579312	213456045	527	0.3966
5cc785cc-8845-4b90-95eb-097896412250	1	213456192	222165146	6067	0.4273
5cc785cc-8845-4b90-95eb-097896412250	1	222165417	247650984	15981	0.4032
5cc785cc-8845-4b90-95eb-097896412250	2	480597	5140929	2431	-0.2248
5cc785cc-8845-4b90-95eb-097896412250	2	5151003	5405998	205	0.152
5cc785cc-8845-4b90-95eb-097896412250	2	5406225	24423344	12873	-0.2186
5cc785cc-8845-4b90-95eb-097896412250	2	24425990	24995150	258	0.164
5cc785cc-8845-4b90-95eb-097896412250	2	25016395	25166355	76	-0.2365
