GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	3301765	61533415	32457	-0.0304
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	61533509	64454280	2011	0.135
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	64456752	70636437	4091	0.2283
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	70636632	82018906	6465	0.1535
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	82024898	90077227	5148	0.112
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	90078427	90780785	467	0.2068
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	90781970	92734327	1080	0.2705
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	92754003	95523520	1762	0.3311
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	95523679	105116441	5296	0.1131
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	105116451	107491607	1444	0.1607
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	107492623	113579027	3633	0.1235
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	113579069	113872746	129	0.397
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	113872792	115658443	1165	0.3437
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	115660062	116726289	745	0.4102
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	116727764	117225114	348	0.2234
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	117225234	118890895	900	0.3419
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	118894153	119093978	131	0.1946
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	119100937	149909846	574	0.26
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	149910462	179097936	17797	0.1611
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	179100593	179101106	2	-1.338
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	1	179101199	247650984	43537	0.1605
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	480597	13491583	8322	0.0886
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	13497334	33299889	11612	0.057
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	33300315	33300340	2	-1.3902
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	33302101	74194036	23488	0.0621
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	74196126	74518953	164	0.1986
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	74519195	98249983	7985	0.0562
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	98251174	98872661	351	-0.0901
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	98874179	104139020	3182	0.0844
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	104139549	105035082	541	-0.1321
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	105035603	105952001	714	0.0581
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	105955720	106480065	326	-0.165
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	106486818	108715184	1237	0.0648
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	108727282	178327527	37969	-0.1337
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	178328132	197864868	9613	-0.0923
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	2	197865055	241537572	26242	-0.1556
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	2170634	39332615	22297	-0.1134
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	39332846	47933502	4740	0.0747
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	47938685	67532062	11365	-0.1091
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	67532814	68824706	798	0.0797
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	68824834	73281851	3179	-0.1187
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	73282133	86079310	6630	0.0886
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	86079413	87337219	677	-0.0896
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	87338709	87340635	2	-1.2446
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	87347555	94181251	1461	-0.0904
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	94185780	101493708	3791	0.1058
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	101497580	146657797	25685	-0.0821
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	146657926	152254176	2791	0.1094
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	152256165	167752797	7640	-0.0803
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	167753757	170671842	1739	0.1099
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	170678987	171355647	416	-0.0893
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	3	171355827	197812401	13554	0.108
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	4	1059384	178910658	98792	0.0714
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	4	178911128	178962274	19	-0.6195
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	4	178964751	187842528	4311	0.0737
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	913983	2998716	1071	0.3358
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	2999060	8751794	4567	0.1651
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	8752437	21339080	7025	0.2021
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	21341983	33068649	6685	0.0218
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	33068799	50843796	6691	-0.0312
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	50847727	51337012	286	0.199
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	51339678	51663149	152	-0.3548
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	51667496	89545671	21095	-0.4763
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	89545788	94438912	2430	-0.391
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	94441643	95238742	447	-0.2054
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	95238895	95486921	148	-0.3471
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	95497228	98509243	1656	0.1507
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	98510690	100305931	413	-0.1063
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	100342956	101441509	454	0.0435
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	101447242	101637191	112	-0.1313
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	101638329	121373928	11308	-0.5114
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	121375494	121871300	281	0.3301
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	121874520	121885661	6	-0.5254
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	121888737	131644557	5609	0.2824
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	131644872	168846654	23320	0.2524
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	5	168847952	180934240	6926	0.3078
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	1011760	63319744	34805	0.1303
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	63319795	66098316	1449	-0.1181
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	66098473	92098739	14923	-0.4619
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	92102327	92481088	247	0.3565
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	92494001	96975408	1827	-0.4596
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	96976389	97064763	56	0.3349
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	97065215	97075519	10	-0.521
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	97079194	97278792	109	0.3233
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	97280691	102836182	3202	-0.4714
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	102836689	102838585	2	-2.1003
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	102839018	103253188	196	-0.4422
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	103255102	104351737	620	1.4966
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	104352492	104756575	246	1.7039
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	104757285	104805606	18	1.3992
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	104808348	105031052	98	1.9146
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	105031874	106851542	1245	2.1726
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	106854839	107454687	261	1.9031
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	107454748	107501128	20	2.4695
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	107505153	107583867	51	1.9598
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	107584598	108927399	847	1.6805
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	108931038	109285875	195	2.1798
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	109286791	109292361	9	1.4016
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	109292414	109621018	190	2.2432
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	109622293	110723848	736	1.9469
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	110727374	110858969	54	2.1747
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	110877169	112321124	877	1.5055
0a049359-6f7d-44c2-8a8a-3867fb4d87e1	6	112326282	112387332	43	2.2958
