GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
31fad9a6-80ba-4ed8-862a-d8e17816c645	1	3301765	119979978	68120	-0.0512
31fad9a6-80ba-4ed8-862a-d8e17816c645	1	119981279	247650984	61624	0.187
31fad9a6-80ba-4ed8-862a-d8e17816c645	2	480597	8332067	4793	-0.046
31fad9a6-80ba-4ed8-862a-d8e17816c645	2	8335484	27722551	12196	-0.1876
31fad9a6-80ba-4ed8-862a-d8e17816c645	2	27728791	241537572	115207	-0.0471
31fad9a6-80ba-4ed8-862a-d8e17816c645	3	2170634	197812401	107174	0.0018
31fad9a6-80ba-4ed8-862a-d8e17816c645	4	1059384	187842528	103490	0.0004
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	913983	3523017	1531	0.2363
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	3523592	3524580	2	-1.009
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	3525031	14558883	7986	0.2171
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	14561153	91223704	39170	0.0004
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	91223812	95118749	1901	0.1151
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	95119027	101300279	2685	-0.0007
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	101300392	101664170	192	0.1157
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	101666267	104748740	1473	-0.0136
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	104751161	104758727	3	-1.0306
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	104758818	106661980	904	-0.01
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	106662274	116198730	5940	0.1223
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	116198829	118381825	1394	0.0034
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	118382866	126129039	4505	0.1216
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	126130966	126830499	428	-0.0272
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	126832903	127121923	147	0.1225
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	127122434	127122625	2	-0.9862
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	127127947	128350686	716	0.1191
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	128357818	130152771	1050	0.0011
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	130154352	131417384	609	0.1141
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	131423704	137034799	3497	-0.0012
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	137035692	138272977	770	0.1364
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	138273246	169219717	19610	0.0026
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	169220500	169220596	2	-1.6297
31fad9a6-80ba-4ed8-862a-d8e17816c645	5	169222617	180934240	6602	0.0066
31fad9a6-80ba-4ed8-862a-d8e17816c645	6	1011760	170596889	97166	0.0034
