GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5876f156-ec7c-496e-9b1d-97d3824a239f	1	3301765	7895029	2978	-0.6054
5876f156-ec7c-496e-9b1d-97d3824a239f	1	7896513	10030667	979	0.1619
5876f156-ec7c-496e-9b1d-97d3824a239f	1	10031603	10112125	31	-0.4546
5876f156-ec7c-496e-9b1d-97d3824a239f	1	10120563	10711431	308	0.1849
5876f156-ec7c-496e-9b1d-97d3824a239f	1	10720151	10733354	10	0.6975
5876f156-ec7c-496e-9b1d-97d3824a239f	1	10734575	14426132	1807	0.1749
5876f156-ec7c-496e-9b1d-97d3824a239f	1	14430560	14851766	343	-0.6367
5876f156-ec7c-496e-9b1d-97d3824a239f	1	14853971	17010382	859	0.1742
5876f156-ec7c-496e-9b1d-97d3824a239f	1	17014383	23244756	3892	-0.6181
5876f156-ec7c-496e-9b1d-97d3824a239f	1	23247558	27658559	1913	0.1561
5876f156-ec7c-496e-9b1d-97d3824a239f	1	27659062	27685964	13	0.6849
5876f156-ec7c-496e-9b1d-97d3824a239f	1	27686989	31063777	1817	0.1599
5876f156-ec7c-496e-9b1d-97d3824a239f	1	31065304	31324138	127	0.6127
5876f156-ec7c-496e-9b1d-97d3824a239f	1	31329941	41810588	5620	0.1337
5876f156-ec7c-496e-9b1d-97d3824a239f	1	41810706	42322729	312	0.0395
5876f156-ec7c-496e-9b1d-97d3824a239f	1	42323584	53690345	5904	0.1381
5876f156-ec7c-496e-9b1d-97d3824a239f	1	53690951	53712828	16	0.6004
5876f156-ec7c-496e-9b1d-97d3824a239f	1	53719716	64474630	7674	0.1357
5876f156-ec7c-496e-9b1d-97d3824a239f	1	64475926	67491984	2219	0.0997
5876f156-ec7c-496e-9b1d-97d3824a239f	1	67493258	67497161	8	-0.7495
5876f156-ec7c-496e-9b1d-97d3824a239f	1	67500479	71296520	2201	0.1308
5876f156-ec7c-496e-9b1d-97d3824a239f	1	71297214	72692760	724	0.0857
5876f156-ec7c-496e-9b1d-97d3824a239f	1	72693191	72696789	7	0.6759
5876f156-ec7c-496e-9b1d-97d3824a239f	1	72699126	75119472	1281	0.0655
5876f156-ec7c-496e-9b1d-97d3824a239f	1	75124372	84890745	5993	0.1241
5876f156-ec7c-496e-9b1d-97d3824a239f	1	84890763	113268342	16898	0.0672
5876f156-ec7c-496e-9b1d-97d3824a239f	1	113271065	113291693	16	0.5484
5876f156-ec7c-496e-9b1d-97d3824a239f	1	113291806	119161501	3607	0.0741
5876f156-ec7c-496e-9b1d-97d3824a239f	1	119177988	150370219	723	0.127
5876f156-ec7c-496e-9b1d-97d3824a239f	1	150372994	150705643	105	0.5768
5876f156-ec7c-496e-9b1d-97d3824a239f	1	150730529	157979578	3708	0.1315
5876f156-ec7c-496e-9b1d-97d3824a239f	1	157989620	158007963	12	-0.5501
5876f156-ec7c-496e-9b1d-97d3824a239f	1	158023307	158764469	535	0.0748
5876f156-ec7c-496e-9b1d-97d3824a239f	1	158764770	158791083	33	-0.4871
5876f156-ec7c-496e-9b1d-97d3824a239f	1	158794193	163926986	3343	0.1031
5876f156-ec7c-496e-9b1d-97d3824a239f	1	163930424	165580772	1409	0.5769
5876f156-ec7c-496e-9b1d-97d3824a239f	1	165581100	181309026	10052	0.5247
5876f156-ec7c-496e-9b1d-97d3824a239f	1	181312172	183017926	1215	0.4703
5876f156-ec7c-496e-9b1d-97d3824a239f	1	183018672	183026983	8	0.9885
5876f156-ec7c-496e-9b1d-97d3824a239f	1	183030273	184729797	1191	0.4729
5876f156-ec7c-496e-9b1d-97d3824a239f	1	184738407	200590352	9298	0.4066
5876f156-ec7c-496e-9b1d-97d3824a239f	1	200590503	201417428	564	0.4738
5876f156-ec7c-496e-9b1d-97d3824a239f	1	201420557	201462097	33	1.0195
5876f156-ec7c-496e-9b1d-97d3824a239f	1	201469988	202023038	361	0.4761
5876f156-ec7c-496e-9b1d-97d3824a239f	1	202025075	202069897	32	0.8854
5876f156-ec7c-496e-9b1d-97d3824a239f	1	202073236	204051718	1173	0.4528
5876f156-ec7c-496e-9b1d-97d3824a239f	1	204052035	204292867	183	0.8211
5876f156-ec7c-496e-9b1d-97d3824a239f	1	204300255	205865709	1138	0.4585
5876f156-ec7c-496e-9b1d-97d3824a239f	1	205868164	206162577	113	0.8172
5876f156-ec7c-496e-9b1d-97d3824a239f	1	206165498	209074043	1955	0.432
5876f156-ec7c-496e-9b1d-97d3824a239f	1	209078944	209088319	9	-0.1015
5876f156-ec7c-496e-9b1d-97d3824a239f	1	209091697	224913869	10555	0.4237
5876f156-ec7c-496e-9b1d-97d3824a239f	1	224917564	225195330	160	-0.0339
5876f156-ec7c-496e-9b1d-97d3824a239f	1	225201788	229672745	2390	0.4464
5876f156-ec7c-496e-9b1d-97d3824a239f	1	229673660	229685464	6	-0.2044
5876f156-ec7c-496e-9b1d-97d3824a239f	1	229686006	230718395	827	0.4392
5876f156-ec7c-496e-9b1d-97d3824a239f	1	230718465	230732317	13	-0.7837
5876f156-ec7c-496e-9b1d-97d3824a239f	1	230733891	233597289	1987	0.4335
5876f156-ec7c-496e-9b1d-97d3824a239f	1	233599148	236998167	2345	0.4862
5876f156-ec7c-496e-9b1d-97d3824a239f	1	237001412	237068002	53	1.0026
5876f156-ec7c-496e-9b1d-97d3824a239f	1	237068727	238416004	1101	0.4805
5876f156-ec7c-496e-9b1d-97d3824a239f	1	238418619	238419065	3	-0.9181
5876f156-ec7c-496e-9b1d-97d3824a239f	1	238419273	245766566	4883	0.4612
5876f156-ec7c-496e-9b1d-97d3824a239f	1	245766798	245802249	31	0.043
5876f156-ec7c-496e-9b1d-97d3824a239f	1	245825909	247643628	609	0.4605
5876f156-ec7c-496e-9b1d-97d3824a239f	1	247644025	247650984	5	0.7602
5876f156-ec7c-496e-9b1d-97d3824a239f	2	480597	489329	4	0.6271
5876f156-ec7c-496e-9b1d-97d3824a239f	2	494424	8302255	4766	0.1821
5876f156-ec7c-496e-9b1d-97d3824a239f	2	8302417	11868672	2415	0.2531
5876f156-ec7c-496e-9b1d-97d3824a239f	2	11871335	15087424	2165	0.1675
5876f156-ec7c-496e-9b1d-97d3824a239f	2	15094164	15095155	3	-0.7789
5876f156-ec7c-496e-9b1d-97d3824a239f	2	15099531	17742826	1806	0.1725
5876f156-ec7c-496e-9b1d-97d3824a239f	2	17743266	17743309	2	-1.0869
5876f156-ec7c-496e-9b1d-97d3824a239f	2	17743349	17852070	91	0.2209
5876f156-ec7c-496e-9b1d-97d3824a239f	2	17854843	17951487	76	-0.6955
5876f156-ec7c-496e-9b1d-97d3824a239f	2	17952905	23950056	3993	0.1897
5876f156-ec7c-496e-9b1d-97d3824a239f	2	23955418	24111715	58	-0.3877
5876f156-ec7c-496e-9b1d-97d3824a239f	2	24114016	24129358	13	0.2117
5876f156-ec7c-496e-9b1d-97d3824a239f	2	24135782	24152735	12	0.7793
5876f156-ec7c-496e-9b1d-97d3824a239f	2	24157359	28253075	1863	0.1938
5876f156-ec7c-496e-9b1d-97d3824a239f	2	28254326	28276737	17	0.7087
5876f156-ec7c-496e-9b1d-97d3824a239f	2	28280035	28763484	298	0.1997
5876f156-ec7c-496e-9b1d-97d3824a239f	2	29003693	34250753	3152	0.5988
5876f156-ec7c-496e-9b1d-97d3824a239f	2	34251344	42746299	4617	0.5349
5876f156-ec7c-496e-9b1d-97d3824a239f	2	42746831	44512733	1098	0.6007
5876f156-ec7c-496e-9b1d-97d3824a239f	2	44537860	44719565	110	0.1143
5876f156-ec7c-496e-9b1d-97d3824a239f	2	44725045	47634188	2132	0.6025
5876f156-ec7c-496e-9b1d-97d3824a239f	2	47634495	51707382	2231	0.5436
5876f156-ec7c-496e-9b1d-97d3824a239f	2	51709454	68205128	9330	0.1
5876f156-ec7c-496e-9b1d-97d3824a239f	2	68205767	69169000	564	0.016
5876f156-ec7c-496e-9b1d-97d3824a239f	2	69169255	76313239	4010	0.0536
5876f156-ec7c-496e-9b1d-97d3824a239f	2	76313756	84232133	4186	0.013
5876f156-ec7c-496e-9b1d-97d3824a239f	2	84232877	86308584	1079	0.1221
5876f156-ec7c-496e-9b1d-97d3824a239f	2	86310947	108756680	8048	0.086
5876f156-ec7c-496e-9b1d-97d3824a239f	2	108764709	113195122	1866	0.1207
5876f156-ec7c-496e-9b1d-97d3824a239f	2	113195464	113339203	73	0.6619
5876f156-ec7c-496e-9b1d-97d3824a239f	2	113340835	114845586	754	0.0933
5876f156-ec7c-496e-9b1d-97d3824a239f	2	114848986	118779308	1906	0.0373
5876f156-ec7c-496e-9b1d-97d3824a239f	2	118779636	126863513	4135	0.1101
5876f156-ec7c-496e-9b1d-97d3824a239f	2	126865202	129082470	1291	0.1763
5876f156-ec7c-496e-9b1d-97d3824a239f	2	129083051	137290885	4093	0.1239
5876f156-ec7c-496e-9b1d-97d3824a239f	2	137292474	141264281	1884	0.1757
5876f156-ec7c-496e-9b1d-97d3824a239f	2	141265631	141351670	53	-0.6748
5876f156-ec7c-496e-9b1d-97d3824a239f	2	141352175	141470248	83	0.0729
5876f156-ec7c-496e-9b1d-97d3824a239f	2	141470404	142690714	855	0.1589
5876f156-ec7c-496e-9b1d-97d3824a239f	2	142691476	144671745	1114	0.0925
5876f156-ec7c-496e-9b1d-97d3824a239f	2	144678817	148283630	1847	0.4404
5876f156-ec7c-496e-9b1d-97d3824a239f	2	148283664	148344482	35	-0.0678
5876f156-ec7c-496e-9b1d-97d3824a239f	2	148351668	152670781	2829	0.5245
