GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	62920	1106320	91	-0.6744
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	1109277	1991141	240	-0.4406
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	1991155	4028347	801	-0.6693
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	4029025	5710205	1465	-0.8043
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	5712931	13520426	3978	-0.6886
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	13521170	14949988	1143	-0.8141
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	14950030	15827002	600	-0.6731
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	15827041	15827259	2	-3.3836
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	15827338	16542868	305	-0.6682
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	16544783	16934716	103	-1.2231
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	16934753	25121040	5156	-0.7255
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	25121099	29427849	1839	-0.6461
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	29427873	30778851	1083	-0.7829
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	30789158	34622496	2133	0.1459
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	34622883	34650960	28	-0.3103
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	34652324	44770304	5736	0.1306
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	44781407	44803970	9	0.8861
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	44812422	47486016	1330	0.1584
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	47486991	50250595	1665	0.0615
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	50251534	54804242	2424	0.1313
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	54804357	54808979	7	0.983
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	54809137	55330413	407	0.1393
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	55331338	60510134	4023	0.065
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	60511630	60519714	6	-1.095
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	60521393	72302815	8142	0.0828
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	72303233	72345465	46	0.5374
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	72346221	91737770	12713	0.0648
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	91738111	96349934	2872	0.1133
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	96350207	103616762	4431	0.0682
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	103620877	103621165	2	-2.0456
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	103697067	105470132	921	0.0867
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	105470754	105511711	52	-0.2477
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	105515824	108684220	2091	0.0709
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	108685540	109684893	510	0.1476
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	109690352	109697556	13	1.6751
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	109702376	111520701	1415	0.1218
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	111521169	111525182	2	-1.7441
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	111525552	121598439	5711	0.0842
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	121601998	143927887	128	-0.7599
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	143928045	152583051	2315	0.1216
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152583230	152613762	31	-1.3353
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152613802	152670930	71	0.0263
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152675685	152684126	10	0.9503
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152687598	152787202	88	0.0894
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152789447	152796224	37	1.0118
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	152801429	153352098	443	0.1005
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	153352654	157011996	1727	0.1898
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	157014247	169247699	9103	0.0976
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	169264736	169269493	5	-2.7019
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	169269507	189679027	13428	0.0798
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	189679353	189679397	2	-2.0124
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	189682917	200170167	6881	0.0718
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	200172673	206575513	4105	0.1407
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	206577596	209897717	2580	0.0784
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	209908268	209910639	3	-1.8221
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	209913207	215682652	3885	0.1019
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	215684851	215688266	9	-1.0148
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	215688307	227238371	7762	0.0828
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	227238504	227238705	2	-1.683
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	227241477	233433998	4262	0.0883
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	233434979	233435333	2	-2.0657
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	233436490	248586259	10904	0.0884
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	248589915	248605685	11	0.855
55c015ce-ed2e-4a91-bc96-18e7da55447f	1	248608256	248930189	159	0.1507
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	12784	34474248	24068	0.0811
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	34476327	34523818	56	0.5746
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	34525478	52527330	12982	0.0714
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	52527342	52554404	39	-2.1132
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	52560811	55784382	2372	0.0947
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	55786752	69284282	8721	0.0564
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	69285898	75492509	3640	0.1008
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	75492807	84738484	6042	0.0526
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	84739345	86710564	1132	0.142
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	86725947	86726731	2	2.6718
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	86743283	97353176	1920	0.0822
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	97353860	97658064	48	0.7479
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	97660859	145396907	28944	0.0619
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	145398602	145406169	8	-0.8938
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	145407962	146104517	390	0.038
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	146106836	146120842	27	0.9604
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	146120874	146166137	42	0.199
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	146166590	218272440	43924	0.0653
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	218275267	219715826	701	0.1558
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	219718327	229826668	6826	0.0649
55c015ce-ed2e-4a91-bc96-18e7da55447f	2	229831844	242147305	7523	0.1041
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	20930	43533	18	0.3076
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	44522	220295	164	-0.0342
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	220576	298629	84	0.248
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	298757	2614423	1984	0.0008
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	2615571	5031838	2227	0.0892
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	5032388	5035416	2	1.8121
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	5035645	7503904	2117	0.0598
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	7504323	14470178	5162	0.1147
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	14470191	23937812	6096	0.0699
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	23939938	23940837	2	-3.5248
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	23940839	46507698	15156	0.0789
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	46515345	50731932	1709	0.1877
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	50733978	51865962	483	0.0421
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	51873575	53240672	666	0.1694
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	53240857	56471059	2434	0.0514
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	56472951	58580330	1171	0.1264
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	58581870	59849891	916	0.0577
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	59852882	62996649	2995	0.0207
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	63000354	84649706	14285	0.0734
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	84649839	84650607	4	1.3418
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	84650642	130044855	24719	0.0799
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	130047743	130124631	53	0.5733
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	130125709	151784741	13557	0.0788
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	151790048	151825513	31	-0.8738
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	151828091	162794951	6654	0.0731
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	162795304	162908207	68	0.5894
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	162908784	175362822	7651	0.0654
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	175362958	175363437	4	-1.6175
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	175363536	176090558	442	-0.0382
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	176091400	195462518	12537	0.0873
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	195465422	195934679	146	0.41
55c015ce-ed2e-4a91-bc96-18e7da55447f	3	195963975	198169247	1086	0.1162
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	68929	264049	93	-0.0568
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	264574	3915215	1484	0.1728
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	3921381	4173850	63	-0.2201
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	4174887	9455251	3515	0.1219
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	9459504	9477699	6	2.5999
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	9484440	10212536	540	0.0894
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	10222004	10232642	29	1.8634
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	10232984	10236812	7	0.5775
55c015ce-ed2e-4a91-bc96-18e7da55447f	4	10237337	10389091	168	0.0292
