GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9b345bb6-89dc-403a-b97b-3d4565942415	1	3301765	4380538	648	-0.159
9b345bb6-89dc-403a-b97b-3d4565942415	1	4380689	4384479	10	-1.1419
9b345bb6-89dc-403a-b97b-3d4565942415	1	4384646	4802491	392	-0.095
9b345bb6-89dc-403a-b97b-3d4565942415	1	4804925	4823166	18	-0.55
9b345bb6-89dc-403a-b97b-3d4565942415	1	4826708	4837971	7	0.3893
9b345bb6-89dc-403a-b97b-3d4565942415	1	4841082	4847067	7	-0.3725
9b345bb6-89dc-403a-b97b-3d4565942415	1	4847643	4851112	5	-0.8557
9b345bb6-89dc-403a-b97b-3d4565942415	1	4852666	4883463	16	-0.0887
9b345bb6-89dc-403a-b97b-3d4565942415	1	4885168	4891804	7	-1.1632
9b345bb6-89dc-403a-b97b-3d4565942415	1	4897068	5363571	335	-0.3366
9b345bb6-89dc-403a-b97b-3d4565942415	1	5364607	10503479	2737	-0.165
9b345bb6-89dc-403a-b97b-3d4565942415	1	10503552	10534129	22	-0.9735
9b345bb6-89dc-403a-b97b-3d4565942415	1	10536473	14021491	1597	-0.2091
9b345bb6-89dc-403a-b97b-3d4565942415	1	14021740	14033285	15	-1.0566
9b345bb6-89dc-403a-b97b-3d4565942415	1	14036348	14183181	141	-0.1971
9b345bb6-89dc-403a-b97b-3d4565942415	1	14183669	14186491	2	-3.5319
9b345bb6-89dc-403a-b97b-3d4565942415	1	14193769	14347084	111	-0.469
9b345bb6-89dc-403a-b97b-3d4565942415	1	14350749	19050000	2727	-0.1626
9b345bb6-89dc-403a-b97b-3d4565942415	1	19053353	19124655	56	-0.2748
9b345bb6-89dc-403a-b97b-3d4565942415	1	19125483	19134186	9	-1.2399
9b345bb6-89dc-403a-b97b-3d4565942415	1	19135107	19676420	328	-0.2992
9b345bb6-89dc-403a-b97b-3d4565942415	1	19682387	19740644	61	0.0163
9b345bb6-89dc-403a-b97b-3d4565942415	1	19744423	20046614	200	-0.2622
9b345bb6-89dc-403a-b97b-3d4565942415	1	20046931	20058561	7	-0.924
9b345bb6-89dc-403a-b97b-3d4565942415	1	20059573	20233842	115	-0.1955
9b345bb6-89dc-403a-b97b-3d4565942415	1	20233914	20234602	4	-1.8707
9b345bb6-89dc-403a-b97b-3d4565942415	1	20234941	26560806	3203	-0.2173
9b345bb6-89dc-403a-b97b-3d4565942415	1	26561101	29455711	1118	-0.8007
9b345bb6-89dc-403a-b97b-3d4565942415	1	29457831	34039410	2583	-0.1961
9b345bb6-89dc-403a-b97b-3d4565942415	1	34039514	34045854	6	-0.6442
9b345bb6-89dc-403a-b97b-3d4565942415	1	34048885	34051062	4	-1.661
9b345bb6-89dc-403a-b97b-3d4565942415	1	34051226	34185784	79	-0.3002
9b345bb6-89dc-403a-b97b-3d4565942415	1	34188221	34204512	13	0.2258
9b345bb6-89dc-403a-b97b-3d4565942415	1	34205427	34733908	385	-0.3886
9b345bb6-89dc-403a-b97b-3d4565942415	1	34736976	36932617	1073	-0.2033
9b345bb6-89dc-403a-b97b-3d4565942415	1	36932660	36937811	9	-0.9976
9b345bb6-89dc-403a-b97b-3d4565942415	1	36940315	37107029	117	-0.1654
9b345bb6-89dc-403a-b97b-3d4565942415	1	37107072	37122748	20	-0.717
9b345bb6-89dc-403a-b97b-3d4565942415	1	37130639	37792972	337	-0.233
9b345bb6-89dc-403a-b97b-3d4565942415	1	37793072	38669802	510	0.3892
9b345bb6-89dc-403a-b97b-3d4565942415	1	38669885	38670533	11	-0.3251
9b345bb6-89dc-403a-b97b-3d4565942415	1	38671983	41855624	1699	0.4296
9b345bb6-89dc-403a-b97b-3d4565942415	1	41856381	42017799	118	-0.0002
9b345bb6-89dc-403a-b97b-3d4565942415	1	42021388	42030633	7	-0.7123
9b345bb6-89dc-403a-b97b-3d4565942415	1	42030728	42114832	52	0.0951
9b345bb6-89dc-403a-b97b-3d4565942415	1	42121475	42133755	11	-0.6489
9b345bb6-89dc-403a-b97b-3d4565942415	1	42135220	42138661	4	-0.1443
9b345bb6-89dc-403a-b97b-3d4565942415	1	42140327	42585148	241	0.147
9b345bb6-89dc-403a-b97b-3d4565942415	1	42586073	42588588	9	-0.6051
9b345bb6-89dc-403a-b97b-3d4565942415	1	42589572	44169804	929	0.1669
9b345bb6-89dc-403a-b97b-3d4565942415	1	44170809	44171718	2	-1.6718
9b345bb6-89dc-403a-b97b-3d4565942415	1	44181708	45176116	541	0.1316
9b345bb6-89dc-403a-b97b-3d4565942415	1	45186569	45364082	75	-0.1277
9b345bb6-89dc-403a-b97b-3d4565942415	1	45366556	46684122	506	0.1676
9b345bb6-89dc-403a-b97b-3d4565942415	1	46684553	46693261	14	-0.5024
9b345bb6-89dc-403a-b97b-3d4565942415	1	46693437	46822441	77	0.1003
9b345bb6-89dc-403a-b97b-3d4565942415	1	46823698	46909601	26	-0.3068
9b345bb6-89dc-403a-b97b-3d4565942415	1	46912562	47887027	608	0.1895
9b345bb6-89dc-403a-b97b-3d4565942415	1	47887410	55469667	4070	-0.2253
9b345bb6-89dc-403a-b97b-3d4565942415	1	55473214	59085307	2915	-0.3355
9b345bb6-89dc-403a-b97b-3d4565942415	1	59086809	59136273	48	-0.957
9b345bb6-89dc-403a-b97b-3d4565942415	1	59136326	60631764	889	-0.3726
9b345bb6-89dc-403a-b97b-3d4565942415	1	60632555	60763583	99	-1.0982
9b345bb6-89dc-403a-b97b-3d4565942415	1	60782638	61366581	443	-0.283
9b345bb6-89dc-403a-b97b-3d4565942415	1	61373956	61384314	19	-1.1643
9b345bb6-89dc-403a-b97b-3d4565942415	1	61384919	61415952	26	-0.13
9b345bb6-89dc-403a-b97b-3d4565942415	1	61417998	61457276	26	-0.5504
9b345bb6-89dc-403a-b97b-3d4565942415	1	61460198	61475210	14	-0.0715
9b345bb6-89dc-403a-b97b-3d4565942415	1	61475345	61482539	6	-1.1627
9b345bb6-89dc-403a-b97b-3d4565942415	1	61485107	62801139	868	-0.1707
9b345bb6-89dc-403a-b97b-3d4565942415	1	62806788	69591618	4746	-0.3081
9b345bb6-89dc-403a-b97b-3d4565942415	1	69593815	69648706	48	-0.0263
9b345bb6-89dc-403a-b97b-3d4565942415	1	69649913	69651721	6	1.113
9b345bb6-89dc-403a-b97b-3d4565942415	1	69655432	70431208	361	-0.1302
9b345bb6-89dc-403a-b97b-3d4565942415	1	70431448	76298407	3284	-0.2882
9b345bb6-89dc-403a-b97b-3d4565942415	1	76298969	76299301	3	-4.3935
9b345bb6-89dc-403a-b97b-3d4565942415	1	76299482	76642953	249	-0.3564
9b345bb6-89dc-403a-b97b-3d4565942415	1	76643117	76689568	32	-0.8676
9b345bb6-89dc-403a-b97b-3d4565942415	1	76693665	79985853	1745	-0.2646
9b345bb6-89dc-403a-b97b-3d4565942415	1	79986720	79988550	2	-3.4211
9b345bb6-89dc-403a-b97b-3d4565942415	1	79988661	82121245	1337	-0.2406
9b345bb6-89dc-403a-b97b-3d4565942415	1	82124316	85322284	2067	-0.9954
9b345bb6-89dc-403a-b97b-3d4565942415	1	85324375	88157048	1876	-0.2891
9b345bb6-89dc-403a-b97b-3d4565942415	1	88157128	88164197	5	-3.4427
9b345bb6-89dc-403a-b97b-3d4565942415	1	88164827	88350172	128	-0.1729
9b345bb6-89dc-403a-b97b-3d4565942415	1	88351425	88377949	26	-0.9694
9b345bb6-89dc-403a-b97b-3d4565942415	1	88397089	88479211	46	-0.0976
9b345bb6-89dc-403a-b97b-3d4565942415	1	88481098	88492409	9	-0.9104
9b345bb6-89dc-403a-b97b-3d4565942415	1	88493114	88500596	16	-0.1778
9b345bb6-89dc-403a-b97b-3d4565942415	1	88503696	88534992	28	-0.8296
