GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
481c9bc5-9ee9-4c28-b662-ecbaac35f145	1	3301765	247650984	129675	0.0067
481c9bc5-9ee9-4c28-b662-ecbaac35f145	2	480597	241537572	132140	0.0025
481c9bc5-9ee9-4c28-b662-ecbaac35f145	3	2170634	197812401	107135	0.0035
481c9bc5-9ee9-4c28-b662-ecbaac35f145	4	1059384	34511290	20766	0.0059
481c9bc5-9ee9-4c28-b662-ecbaac35f145	4	34513749	34524537	9	-0.952
481c9bc5-9ee9-4c28-b662-ecbaac35f145	4	34525236	187842528	82665	0.0031
481c9bc5-9ee9-4c28-b662-ecbaac35f145	5	913983	116866886	62239	0.004
481c9bc5-9ee9-4c28-b662-ecbaac35f145	5	116978430	117017126	26	-0.9764
481c9bc5-9ee9-4c28-b662-ecbaac35f145	5	117018300	180934240	38804	0.0068
481c9bc5-9ee9-4c28-b662-ecbaac35f145	6	1011760	170596889	97111	0.0018
481c9bc5-9ee9-4c28-b662-ecbaac35f145	7	664936	158592540	81888	0.0054
481c9bc5-9ee9-4c28-b662-ecbaac35f145	8	667625	144182542	82190	0.0067
481c9bc5-9ee9-4c28-b662-ecbaac35f145	9	789794	138044505	68449	0.0076
481c9bc5-9ee9-4c28-b662-ecbaac35f145	10	366509	133411599	81255	0.004
481c9bc5-9ee9-4c28-b662-ecbaac35f145	11	456012	134272740	77515	0.0077
481c9bc5-9ee9-4c28-b662-ecbaac35f145	12	780472	132605822	74300	0.0023
481c9bc5-9ee9-4c28-b662-ecbaac35f145	13	18874255	114226675	56953	0.0028
481c9bc5-9ee9-4c28-b662-ecbaac35f145	14	20033191	105533894	49756	0.0068
481c9bc5-9ee9-4c28-b662-ecbaac35f145	15	23437561	101344124	44772	0.0082
481c9bc5-9ee9-4c28-b662-ecbaac35f145	16	603333	89317317	41186	0.0122
481c9bc5-9ee9-4c28-b662-ecbaac35f145	17	1074619	82959812	37263	0.0131
481c9bc5-9ee9-4c28-b662-ecbaac35f145	18	326691	79349796	42944	0.006
481c9bc5-9ee9-4c28-b662-ecbaac35f145	19	283868	58370362	24148	0.0134
481c9bc5-9ee9-4c28-b662-ecbaac35f145	20	472817	63588502	37534	0.0076
481c9bc5-9ee9-4c28-b662-ecbaac35f145	21	13974127	46262057	20592	0.0033
481c9bc5-9ee9-4c28-b662-ecbaac35f145	22	16934932	48940621	17085	0.015
481c9bc5-9ee9-4c28-b662-ecbaac35f145	X	3236359	155677414	63951	0.0071
