GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	3301765	5627041	1649	-0.4347
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	5629550	47354491	21872	-0.3857
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	47354520	64002454	10661	-0.4356
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	64003519	65694222	1234	0.2152
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65704711	65708375	22	0.9216
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65710324	65715111	8	0.187
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65724369	65725392	5	0.89
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65727865	65738080	14	0.1667
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65742278	65774146	36	0.8176
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	65774160	67223353	1070	0.2234
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	67223925	95993696	17292	-0.4264
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	95997151	95997161	2	-2.6622
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	96005352	119981332	14122	-0.4154
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	119984738	155542642	2672	0.6721
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	155546401	157419823	926	0.1653
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	157422647	158544421	794	0.5836
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	158544436	158545233	10	0.0885
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	158545295	159183690	381	0.6327
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	159184522	237921768	50921	0.1288
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	237927024	240074725	1647	-0.139
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	240075524	240194337	85	0.0829
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	240194873	240347101	166	0.3438
c5a9ae9d-9331-48b7-a5c9-a37102897313	1	240348174	247650984	4025	0.123
c5a9ae9d-9331-48b7-a5c9-a37102897313	2	480597	6443129	3511	0.1285
c5a9ae9d-9331-48b7-a5c9-a37102897313	2	6443631	12410099	4203	0.1662
c5a9ae9d-9331-48b7-a5c9-a37102897313	2	12410831	18780346	4230	0.1173
c5a9ae9d-9331-48b7-a5c9-a37102897313	2	18780524	18780532	2	-1.2156
c5a9ae9d-9331-48b7-a5c9-a37102897313	2	18780694	24020545	3391	0.1288
