GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	3301765	3381754	59	0.1175
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	3384566	4176922	422	0.0277
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	4177542	51924682	25413	-0.1322
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	51926777	51927860	2	1.1854
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	51930189	55300070	2000	-0.1258
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	55300916	112803859	35794	-0.1546
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	112804518	149906351	4445	-0.1359
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	149907993	175053742	15621	0.0222
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	175056522	234339984	37622	0.1965
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	234342659	234772540	313	0.3565
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	234776541	234780167	3	-0.6457
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	234794424	235584340	390	0.3749
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	235587817	235981845	198	0.194
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	235986082	238691778	2191	0.3658
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	238691890	239527338	558	0.2024
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	239527440	247452210	4608	0.3544
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	247453500	247453734	3	-0.8406
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	1	247457000	247650984	126	0.3217
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	2	480597	101303077	53590	0.0409
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	2	101306311	205371858	56598	0.0197
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	2	205372245	205475110	59	0.3463
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	2	205477169	234402095	17653	0.0199
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	2	234402679	241537572	4315	0.0368
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	3	2170634	197812401	107186	0.0465
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	4	1059384	43769452	26211	-0.0788
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	4	43773494	54845386	4256	0.0054
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	4	54848587	187842528	73047	-0.0831
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	913983	16793042	10524	0.0537
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	16794024	16794964	2	-1.1881
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	16795178	23742369	3449	0.0456
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	23742840	23756982	13	-0.3665
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	23763381	54525124	14401	0.0449
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	54526652	54528544	4	0.9561
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	54528694	171767234	67900	0.0424
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	171767566	171767886	2	-1.4272
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	5	171768123	180934240	4848	0.0511
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	1011760	9612044	6295	0.0522
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	9613076	9613364	2	-1.4223
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	9614502	27421537	11738	0.052
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	27422371	27422620	2	-1.2446
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	27423488	31026181	1234	0.0379
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	31028355	31030552	2	-1.4959
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	6	31030965	170596889	77902	0.0462
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	664936	5443811	1870	0.0614
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	5446451	5670541	89	0.2285
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	5670796	109680171	53912	0.0464
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	109680676	109997031	151	-0.1577
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	109997887	113547305	1540	0.0361
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	113549823	113551201	5	-0.6933
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	113558625	127291967	7585	0.0357
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	127292076	127292849	2	-1.2053
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	127292890	145495224	9846	0.049
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	145495625	145495800	2	-1.2831
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	7	145495852	158592540	6940	0.0532
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	8	667625	75553565	41964	0.0457
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	8	75553588	75555762	2	-1.7211
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	8	75556148	144182542	40277	0.0432
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	9	789794	37033162	22452	0.032
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	9	37033364	37034620	2	-1.2212
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	9	37034672	38626312	993	0.0569
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	9	38626355	121956900	36512	0.0306
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	9	121957927	138044505	8534	0.0489
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	10	366509	1366386	316	0.0475
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	10	1367778	1371890	2	-1.1428
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	10	1372349	43029180	26261	0.0513
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	10	43029253	43030294	2	-1.3161
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	10	43030575	133411599	54725	0.0444
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	11	456012	134272740	77591	0.0462
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	12	780472	80446147	43916	0.0451
c62fa764-5d48-4bbc-ad18-6e0aff57fa4f	12	80446276	80456533	2	-1.9532
