GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d51d1aba-7551-440d-b917-0ed23c8224dd	1	3301765	3337377	31	0.321
d51d1aba-7551-440d-b917-0ed23c8224dd	1	3337536	3768876	196	0.2029
d51d1aba-7551-440d-b917-0ed23c8224dd	1	3769754	7843170	2714	0.0263
d51d1aba-7551-440d-b917-0ed23c8224dd	1	7845814	40675368	17062	-0.0257
d51d1aba-7551-440d-b917-0ed23c8224dd	1	40680632	41100256	227	0.1434
d51d1aba-7551-440d-b917-0ed23c8224dd	1	41100409	45843355	2694	-0.0227
d51d1aba-7551-440d-b917-0ed23c8224dd	1	45848498	62086597	10055	0.024
d51d1aba-7551-440d-b917-0ed23c8224dd	1	62087861	62115433	15	-0.5932
d51d1aba-7551-440d-b917-0ed23c8224dd	1	62115597	65565816	2405	0.0321
d51d1aba-7551-440d-b917-0ed23c8224dd	1	65567526	65568063	3	-1.4377
d51d1aba-7551-440d-b917-0ed23c8224dd	1	65568313	95993696	18543	0.0376
d51d1aba-7551-440d-b917-0ed23c8224dd	1	95997151	95997161	2	-1.8265
d51d1aba-7551-440d-b917-0ed23c8224dd	1	96005352	107835404	6753	0.046
d51d1aba-7551-440d-b917-0ed23c8224dd	1	107838824	118019135	6236	0.0044
d51d1aba-7551-440d-b917-0ed23c8224dd	1	118025285	119984738	1156	0.0516
d51d1aba-7551-440d-b917-0ed23c8224dd	1	119984772	151554365	604	0.3829
d51d1aba-7551-440d-b917-0ed23c8224dd	1	151555157	151970551	227	0.5759
d51d1aba-7551-440d-b917-0ed23c8224dd	1	151972697	153957965	1080	0.4526
d51d1aba-7551-440d-b917-0ed23c8224dd	1	153959794	156874278	1341	0.3605
d51d1aba-7551-440d-b917-0ed23c8224dd	1	156877337	168891017	8482	0.4455
d51d1aba-7551-440d-b917-0ed23c8224dd	1	168895885	168895926	2	-1.4363
d51d1aba-7551-440d-b917-0ed23c8224dd	1	168896238	201364692	19878	0.4518
d51d1aba-7551-440d-b917-0ed23c8224dd	1	201365667	207043350	3534	0.3958
d51d1aba-7551-440d-b917-0ed23c8224dd	1	207049016	213530342	4454	0.4295
d51d1aba-7551-440d-b917-0ed23c8224dd	1	213530786	223274519	6585	0.4624
d51d1aba-7551-440d-b917-0ed23c8224dd	1	223275096	228697004	2860	0.4165
d51d1aba-7551-440d-b917-0ed23c8224dd	1	228697443	229673660	686	0.7442
d51d1aba-7551-440d-b917-0ed23c8224dd	1	229684738	229686151	7	-0.0427
d51d1aba-7551-440d-b917-0ed23c8224dd	1	229686304	237026228	5178	0.7765
d51d1aba-7551-440d-b917-0ed23c8224dd	1	237026269	244138519	5116	0.8203
d51d1aba-7551-440d-b917-0ed23c8224dd	1	244138728	247650984	1547	0.7695
d51d1aba-7551-440d-b917-0ed23c8224dd	2	480597	8149166	4656	0.3006
d51d1aba-7551-440d-b917-0ed23c8224dd	2	8149670	10782390	1788	0.241
d51d1aba-7551-440d-b917-0ed23c8224dd	2	10785280	26924319	10227	-0.3478
d51d1aba-7551-440d-b917-0ed23c8224dd	2	26924404	26938192	7	-0.0728
d51d1aba-7551-440d-b917-0ed23c8224dd	2	26941938	36009307	4747	0.266
d51d1aba-7551-440d-b917-0ed23c8224dd	2	36009330	45149527	5405	0.0179
d51d1aba-7551-440d-b917-0ed23c8224dd	2	45152946	46674735	1251	0.1861
d51d1aba-7551-440d-b917-0ed23c8224dd	2	46674901	65525129	10193	0.0363
d51d1aba-7551-440d-b917-0ed23c8224dd	2	65530244	68087539	1885	0.0977
d51d1aba-7551-440d-b917-0ed23c8224dd	2	68087936	71450571	2083	-0.0161
d51d1aba-7551-440d-b917-0ed23c8224dd	2	71451402	74019339	1213	0.0206
d51d1aba-7551-440d-b917-0ed23c8224dd	2	74021668	84692880	5822	0.0563
d51d1aba-7551-440d-b917-0ed23c8224dd	2	84692917	98640725	2697	-0.005
d51d1aba-7551-440d-b917-0ed23c8224dd	2	98643329	99032714	191	0.2273
d51d1aba-7551-440d-b917-0ed23c8224dd	2	99034965	205247720	57858	0.0333
d51d1aba-7551-440d-b917-0ed23c8224dd	2	205251064	205253760	5	-1.1686
d51d1aba-7551-440d-b917-0ed23c8224dd	2	205257470	237669893	20005	0.0328
d51d1aba-7551-440d-b917-0ed23c8224dd	2	237669906	241537572	2100	-0.0099
d51d1aba-7551-440d-b917-0ed23c8224dd	3	2170634	4838876	1572	-0.1978
d51d1aba-7551-440d-b917-0ed23c8224dd	3	4838987	5142215	120	0.0332
d51d1aba-7551-440d-b917-0ed23c8224dd	3	5146118	9466708	2611	-0.1941
d51d1aba-7551-440d-b917-0ed23c8224dd	3	9467706	17204900	5026	-0.2531
d51d1aba-7551-440d-b917-0ed23c8224dd	3	17205471	42515707	14947	-0.2067
d51d1aba-7551-440d-b917-0ed23c8224dd	3	42516469	49601303	3447	-0.2656
d51d1aba-7551-440d-b917-0ed23c8224dd	3	49604491	50309249	272	0.1197
d51d1aba-7551-440d-b917-0ed23c8224dd	3	50315027	53365085	1343	0.1871
d51d1aba-7551-440d-b917-0ed23c8224dd	3	53371619	53437311	48	-0.3056
d51d1aba-7551-440d-b917-0ed23c8224dd	3	53447687	65262750	7576	0.2439
