GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	3301765	17510199	7672	-0.1387
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	17511109	18009739	338	0.2287
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	18010409	18026804	32	-0.1635
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	18027107	18040192	14	0.2869
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	18042940	18860632	650	-0.129
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	18860749	21712494	1685	0.2217
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	21715388	21956126	121	-0.1539
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	21961373	22292849	144	0.1953
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	22302695	97874736	44428	-0.1399
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	97884105	98014572	64	0.2679
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	98016564	100500127	1537	-0.1424
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	100500920	153322177	13121	0.2206
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	153329051	153459085	59	0.6345
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	1	153459146	247650984	59935	0.2156
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	480597	2085750	305	-0.0547
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	2087572	2087847	2	-1.8932
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	2096266	39714445	23159	-0.0672
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	39720581	39741316	24	-0.753
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	39749150	45181130	3386	-0.07
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	45181809	45192403	7	-1.2375
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	45192943	111716295	32297	-0.0657
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	111716862	130486519	9659	-0.1479
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	130726392	132644173	421	0.0472
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	132644403	132644651	2	-1.2439
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	132647013	136276896	2206	0.057
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	136279549	147214655	6106	-0.1469
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	147218897	192780644	26241	0.0445
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	192781791	195456807	818	-0.152
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	195460490	198732475	1828	0.0464
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	198735804	199268467	327	-0.1393
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	199270109	203091095	1963	0.0553
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	203091882	227818421	15450	0.1226
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	2	227818462	241537572	8042	-0.0623
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	3	2170634	181653007	98781	0.0557
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	3	181654384	185798666	1735	0.3686
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	3	185800182	197812401	6703	0.057
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	4	1059384	187842528	103518	-0.142
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	914118	6462225	3954	0.2271
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	6468294	22656418	9345	-0.1453
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	22660274	22660322	2	-1.3358
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	22660440	27535302	2675	-0.1385
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	27535366	54871209	12692	0.2153
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	54872012	57826549	1856	-0.1436
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	57827418	57855445	25	0.182
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	57857557	57956571	78	-0.153
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	57957262	63175261	3187	0.2019
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	63184271	66472141	1501	-0.1409
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	66472179	67982218	1129	0.206
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	67983089	68029113	53	-0.1474
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	68030102	68113246	41	0.2309
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	68114430	69444826	776	-0.1539
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	69448492	152116332	46005	0.2217
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	152118183	159258674	4687	-0.1496
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	159260670	159460548	136	0.2291
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	159477305	163753993	2706	-0.141
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	163763742	165515020	1006	0.2338
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	165521669	168400016	2045	-0.1464
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	5	168400558	180934240	7252	0.2232
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	1011760	24287323	16532	-0.1436
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	24293096	24435872	97	-0.373
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	24436859	24436880	2	-1.6325
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	24439300	24757334	215	-0.3769
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	24757853	28774563	1734	-0.1361
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	28791051	29228360	66	-0.3545
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	29237690	50119102	11025	-0.1418
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	50119192	57309539	4455	0.0546
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	57310243	62455487	402	-0.1254
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	62456087	64753749	1140	0.0632
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	64757366	65390927	293	-0.1454
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	65394451	67197362	1193	0.06
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	67197547	68424875	650	-0.107
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	68440287	68778517	196	0.0521
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	68779601	78661494	5690	-0.1428
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	78664338	78665008	2	-1.5598
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	78665459	89965199	6371	-0.1433
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	89965845	89971158	2	-1.9431
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	89971717	151849112	36333	-0.1404
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	151849288	152153203	269	-0.0201
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	6	152155513	170596889	10505	-0.1452
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	664936	70053058	36222	0.0537
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	70053505	70827343	488	-0.1399
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	70829310	72476454	944	0.2314
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	72477253	73473429	106	-0.1465
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	73474169	121646220	24311	0.0528
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	121646463	124327652	1525	-0.1463
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	124327936	127171859	1486	0.0592
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	127173243	128855786	861	-0.1641
784df7f1-e71f-4daa-bfda-0b1b1a69e0b6	7	128862737	131680684	1447	0.2328
