GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1945210f-1564-43d1-9590-2ff9f0700e82	1	62920	668210	21	0.0464
1945210f-1564-43d1-9590-2ff9f0700e82	1	771719	14635165	7464	-0.2633
1945210f-1564-43d1-9590-2ff9f0700e82	1	14635373	14636800	3	-1.7634
1945210f-1564-43d1-9590-2ff9f0700e82	1	14637973	15820586	830	-0.2722
1945210f-1564-43d1-9590-2ff9f0700e82	1	15820686	15823420	8	0.1039
1945210f-1564-43d1-9590-2ff9f0700e82	1	15827002	15828471	9	0.5986
1945210f-1564-43d1-9590-2ff9f0700e82	1	15828515	16864367	357	-0.2255
1945210f-1564-43d1-9590-2ff9f0700e82	1	16868660	16934716	46	-0.8192
1945210f-1564-43d1-9590-2ff9f0700e82	1	16934753	31516983	8469	-0.2647
1945210f-1564-43d1-9590-2ff9f0700e82	1	31517921	32326494	346	0.3348
1945210f-1564-43d1-9590-2ff9f0700e82	1	32329696	36395199	2213	0.0807
1945210f-1564-43d1-9590-2ff9f0700e82	1	36396653	36790352	251	0.6255
1945210f-1564-43d1-9590-2ff9f0700e82	1	36790462	38669578	1162	0.3581
1945210f-1564-43d1-9590-2ff9f0700e82	1	38669594	39996626	691	0.5867
1945210f-1564-43d1-9590-2ff9f0700e82	1	39996990	46039475	3439	0.3715
1945210f-1564-43d1-9590-2ff9f0700e82	1	46039637	48941646	1830	0.5947
1945210f-1564-43d1-9590-2ff9f0700e82	1	48941725	51438943	1096	0.3747
1945210f-1564-43d1-9590-2ff9f0700e82	1	51448914	54678277	1820	0.0809
1945210f-1564-43d1-9590-2ff9f0700e82	1	54678427	58488176	3156	-0.2562
1945210f-1564-43d1-9590-2ff9f0700e82	1	58495914	60077773	1104	0.1158
1945210f-1564-43d1-9590-2ff9f0700e82	1	60078746	72303233	8412	-0.2395
1945210f-1564-43d1-9590-2ff9f0700e82	1	72303253	72346221	46	-1.1342
1945210f-1564-43d1-9590-2ff9f0700e82	1	72346757	87009669	9504	-0.2232
1945210f-1564-43d1-9590-2ff9f0700e82	1	87013746	89009572	1426	0.1171
1945210f-1564-43d1-9590-2ff9f0700e82	1	89012275	89012522	2	-2.4054
1945210f-1564-43d1-9590-2ff9f0700e82	1	89015841	108930191	12299	0.1163
1945210f-1564-43d1-9590-2ff9f0700e82	1	108930299	109677968	353	0.3761
1945210f-1564-43d1-9590-2ff9f0700e82	1	109678117	110833598	850	0.1052
1945210f-1564-43d1-9590-2ff9f0700e82	1	110834746	110841332	36	-0.8034
1945210f-1564-43d1-9590-2ff9f0700e82	1	110841350	121598439	6256	0.1093
1945210f-1564-43d1-9590-2ff9f0700e82	1	121601998	152583051	2442	-0.2278
1945210f-1564-43d1-9590-2ff9f0700e82	1	152583230	152614118	35	1.7134
1945210f-1564-43d1-9590-2ff9f0700e82	1	152618018	157918402	3009	-0.2402
1945210f-1564-43d1-9590-2ff9f0700e82	1	157920736	175053742	12118	0.3771
1945210f-1564-43d1-9590-2ff9f0700e82	1	175056522	183643092	5884	0.0987
1945210f-1564-43d1-9590-2ff9f0700e82	1	183644077	187746723	2663	-0.2319
1945210f-1564-43d1-9590-2ff9f0700e82	1	187748429	187752238	2	-2.5222
1945210f-1564-43d1-9590-2ff9f0700e82	1	187755479	196740630	5957	-0.2143
1945210f-1564-43d1-9590-2ff9f0700e82	1	196741937	196843400	64	0.1855
1945210f-1564-43d1-9590-2ff9f0700e82	1	196846661	199142235	1372	-0.2314
1945210f-1564-43d1-9590-2ff9f0700e82	1	199142298	199143396	6	-1.5541
1945210f-1564-43d1-9590-2ff9f0700e82	1	199143883	213967650	10088	-0.2464
1945210f-1564-43d1-9590-2ff9f0700e82	1	213972363	220842935	4917	0.1298
1945210f-1564-43d1-9590-2ff9f0700e82	1	220846848	224935707	2635	0.3876
1945210f-1564-43d1-9590-2ff9f0700e82	1	224938890	225203752	147	0.8187
1945210f-1564-43d1-9590-2ff9f0700e82	1	225204379	231130323	3777	0.6099
1945210f-1564-43d1-9590-2ff9f0700e82	1	231131948	241949035	8337	0.3933
1945210f-1564-43d1-9590-2ff9f0700e82	1	241950290	241964690	4	-1.2223
1945210f-1564-43d1-9590-2ff9f0700e82	1	241969270	248930189	4480	0.3932
1945210f-1564-43d1-9590-2ff9f0700e82	2	12784	4166274	2987	-0.2398
1945210f-1564-43d1-9590-2ff9f0700e82	2	4166610	4182472	42	-0.9382
1945210f-1564-43d1-9590-2ff9f0700e82	2	4187192	14277479	7767	-0.2308
1945210f-1564-43d1-9590-2ff9f0700e82	2	14279594	14284401	2	1.8113
1945210f-1564-43d1-9590-2ff9f0700e82	2	14287182	34476516	13260	-0.2421
1945210f-1564-43d1-9590-2ff9f0700e82	2	34476558	34511990	43	0.4845
1945210f-1564-43d1-9590-2ff9f0700e82	2	34512096	43159866	6420	-0.237
1945210f-1564-43d1-9590-2ff9f0700e82	2	43160924	48513954	3711	0.101
1945210f-1564-43d1-9590-2ff9f0700e82	2	48519467	48553275	23	-0.403
1945210f-1564-43d1-9590-2ff9f0700e82	2	48558332	52537117	2850	0.1204
1945210f-1564-43d1-9590-2ff9f0700e82	2	52537337	52554157	14	-0.7313
1945210f-1564-43d1-9590-2ff9f0700e82	2	52554188	80287156	18178	0.1096
1945210f-1564-43d1-9590-2ff9f0700e82	2	80287547	100536621	7391	-0.2407
1945210f-1564-43d1-9590-2ff9f0700e82	2	100543299	109701928	5966	0.1134
1945210f-1564-43d1-9590-2ff9f0700e82	2	109704919	111058057	348	0.3767
1945210f-1564-43d1-9590-2ff9f0700e82	2	111064868	117465774	3672	0.105
1945210f-1564-43d1-9590-2ff9f0700e82	2	117466188	117468375	5	-1.5235
1945210f-1564-43d1-9590-2ff9f0700e82	2	117470941	128880904	7238	0.1048
1945210f-1564-43d1-9590-2ff9f0700e82	2	128880928	128888874	16	-0.9858
1945210f-1564-43d1-9590-2ff9f0700e82	2	128888929	148133156	11459	0.1142
1945210f-1564-43d1-9590-2ff9f0700e82	2	148136227	148255659	59	-0.2309
1945210f-1564-43d1-9590-2ff9f0700e82	2	148257979	151183513	1909	0.1197
1945210f-1564-43d1-9590-2ff9f0700e82	2	151184198	154033296	1878	0.4066
1945210f-1564-43d1-9590-2ff9f0700e82	2	154039462	154039969	2	-1.8482
1945210f-1564-43d1-9590-2ff9f0700e82	2	154043710	158194800	2311	0.415
1945210f-1564-43d1-9590-2ff9f0700e82	2	158198412	176454798	11261	0.1258
1945210f-1564-43d1-9590-2ff9f0700e82	2	176455341	176455799	2	-1.6091
1945210f-1564-43d1-9590-2ff9f0700e82	2	176456501	179544007	2008	0.1246
1945210f-1564-43d1-9590-2ff9f0700e82	2	179544549	179546427	8	0.8652
1945210f-1564-43d1-9590-2ff9f0700e82	2	179548635	180344128	608	0.1198
1945210f-1564-43d1-9590-2ff9f0700e82	2	180346353	189733316	5434	-0.2073
1945210f-1564-43d1-9590-2ff9f0700e82	2	189736144	207490994	10421	0.1266
1945210f-1564-43d1-9590-2ff9f0700e82	2	207491028	207494612	12	-0.9068
1945210f-1564-43d1-9590-2ff9f0700e82	2	207494752	214217186	4251	0.1383
1945210f-1564-43d1-9590-2ff9f0700e82	2	214217444	216652160	1659	0.638
1945210f-1564-43d1-9590-2ff9f0700e82	2	216654463	222649340	3847	0.1246
1945210f-1564-43d1-9590-2ff9f0700e82	2	222652045	225591745	1992	-0.2327
1945210f-1564-43d1-9590-2ff9f0700e82	2	225591963	225596434	3	-1.5681
1945210f-1564-43d1-9590-2ff9f0700e82	2	225598993	226477322	559	-0.234
1945210f-1564-43d1-9590-2ff9f0700e82	2	226478072	226481352	5	-1.4893
