GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f673284b-3db1-45f5-afe5-92a439fa8260	1	62920	668210	21	0.5789
f673284b-3db1-45f5-afe5-92a439fa8260	1	771719	3302046	715	-0.1852
f673284b-3db1-45f5-afe5-92a439fa8260	1	3302359	72302815	41831	-0.0092
f673284b-3db1-45f5-afe5-92a439fa8260	1	72303233	72345465	46	1.8359
f673284b-3db1-45f5-afe5-92a439fa8260	1	72346221	105476688	20874	0.01
f673284b-3db1-45f5-afe5-92a439fa8260	1	105476748	105479753	14	-2.2216
f673284b-3db1-45f5-afe5-92a439fa8260	1	105481433	121593930	9747	0.0089
f673284b-3db1-45f5-afe5-92a439fa8260	1	121597150	143811517	125	-0.7331
f673284b-3db1-45f5-afe5-92a439fa8260	1	143890323	152789532	2516	-0.0199
f673284b-3db1-45f5-afe5-92a439fa8260	1	152789570	152796224	33	-1.6171
f673284b-3db1-45f5-afe5-92a439fa8260	1	152801429	174826800	14722	0.0083
f673284b-3db1-45f5-afe5-92a439fa8260	1	174827128	174833313	26	-0.6379
f673284b-3db1-45f5-afe5-92a439fa8260	1	174833703	177393812	1680	-0.0003
f673284b-3db1-45f5-afe5-92a439fa8260	1	177393877	177395369	2	-3.3232
f673284b-3db1-45f5-afe5-92a439fa8260	1	177398026	193186662	10509	0.0127
f673284b-3db1-45f5-afe5-92a439fa8260	1	193187149	193187202	3	1.9785
f673284b-3db1-45f5-afe5-92a439fa8260	1	193187218	196745743	2389	0.0316
f673284b-3db1-45f5-afe5-92a439fa8260	1	196758720	196761905	2	-2.2931
f673284b-3db1-45f5-afe5-92a439fa8260	1	196762480	196789029	35	-0.4172
f673284b-3db1-45f5-afe5-92a439fa8260	1	196790144	196790158	2	-1.8914
f673284b-3db1-45f5-afe5-92a439fa8260	1	196792690	248930189	35643	0.0031
f673284b-3db1-45f5-afe5-92a439fa8260	2	12784	1880297	1210	-0.0756
f673284b-3db1-45f5-afe5-92a439fa8260	2	1883025	34466002	22776	0.0177
f673284b-3db1-45f5-afe5-92a439fa8260	2	34474248	34511990	46	0.6505
f673284b-3db1-45f5-afe5-92a439fa8260	2	34512096	46261047	8655	-0.002
f673284b-3db1-45f5-afe5-92a439fa8260	2	46262656	46265620	6	-1.4364
f673284b-3db1-45f5-afe5-92a439fa8260	2	46267063	52527423	4272	0.0413
f673284b-3db1-45f5-afe5-92a439fa8260	2	52527590	52527743	3	-1.8401
f673284b-3db1-45f5-afe5-92a439fa8260	2	52531615	65490956	8254	0.0202
f673284b-3db1-45f5-afe5-92a439fa8260	2	65491681	65492807	3	-2.0334
f673284b-3db1-45f5-afe5-92a439fa8260	2	65496822	70660887	3681	-0.0189
f673284b-3db1-45f5-afe5-92a439fa8260	2	70661760	88836672	10604	0.0328
f673284b-3db1-45f5-afe5-92a439fa8260	2	88844255	89956227	184	-0.0512
f673284b-3db1-45f5-afe5-92a439fa8260	2	89960252	90228255	121	-0.8366
f673284b-3db1-45f5-afe5-92a439fa8260	2	90230139	242147305	89095	0.02
f673284b-3db1-45f5-afe5-92a439fa8260	3	20930	2578770	2198	0.1031
f673284b-3db1-45f5-afe5-92a439fa8260	3	2580003	31661415	21339	0.0132
f673284b-3db1-45f5-afe5-92a439fa8260	3	31661429	31664157	2	-3.068
f673284b-3db1-45f5-afe5-92a439fa8260	3	31664286	43953115	7795	0.0089
f673284b-3db1-45f5-afe5-92a439fa8260	3	43953310	43955012	2	-2.5073
f673284b-3db1-45f5-afe5-92a439fa8260	3	43955316	52987994	4215	-0.001
f673284b-3db1-45f5-afe5-92a439fa8260	3	52988392	53005263	46	-0.5283
f673284b-3db1-45f5-afe5-92a439fa8260	3	53005439	59212789	4057	-0.0201
f673284b-3db1-45f5-afe5-92a439fa8260	3	59215741	60839149	1730	0.0817
f673284b-3db1-45f5-afe5-92a439fa8260	3	60839988	68697013	6181	-0.0054
f673284b-3db1-45f5-afe5-92a439fa8260	3	68697108	68698262	14	-1.3876
f673284b-3db1-45f5-afe5-92a439fa8260	3	68699607	75519398	4908	0.0136
f673284b-3db1-45f5-afe5-92a439fa8260	3	75523398	75537654	6	-2.2551
f673284b-3db1-45f5-afe5-92a439fa8260	3	75546030	89358516	7692	0.023
f673284b-3db1-45f5-afe5-92a439fa8260	3	89358574	89370231	31	-0.698
f673284b-3db1-45f5-afe5-92a439fa8260	3	89370771	95737262	1379	0.0151
f673284b-3db1-45f5-afe5-92a439fa8260	3	95748036	95749266	2	-3.2373
f673284b-3db1-45f5-afe5-92a439fa8260	3	95749836	193156958	59905	0.0112
f673284b-3db1-45f5-afe5-92a439fa8260	3	193160113	193165114	20	-1.3061
f673284b-3db1-45f5-afe5-92a439fa8260	3	193168646	195683075	1476	-0.0161
f673284b-3db1-45f5-afe5-92a439fa8260	3	195685341	195720051	21	-1.0563
f673284b-3db1-45f5-afe5-92a439fa8260	3	195728637	195737995	14	-0.0605
f673284b-3db1-45f5-afe5-92a439fa8260	3	195746925	195747892	3	-1.9141
f673284b-3db1-45f5-afe5-92a439fa8260	3	195751823	198169247	1160	-0.0518
f673284b-3db1-45f5-afe5-92a439fa8260	4	68929	10208766	5661	-0.0102
f673284b-3db1-45f5-afe5-92a439fa8260	4	10212536	10229874	29	-2.1363
f673284b-3db1-45f5-afe5-92a439fa8260	4	10232590	34777418	16916	0.0173
f673284b-3db1-45f5-afe5-92a439fa8260	4	34777432	34823103	39	0.4816
f673284b-3db1-45f5-afe5-92a439fa8260	4	34828250	44963179	6570	0.0189
f673284b-3db1-45f5-afe5-92a439fa8260	4	44964987	45004318	46	1.0911
f673284b-3db1-45f5-afe5-92a439fa8260	4	45008952	59107300	7133	0.0084
f673284b-3db1-45f5-afe5-92a439fa8260	4	59108353	59123359	10	1.123
f673284b-3db1-45f5-afe5-92a439fa8260	4	59125158	68354665	5605	0.0357
f673284b-3db1-45f5-afe5-92a439fa8260	4	68361130	68389352	3	-1.8322
f673284b-3db1-45f5-afe5-92a439fa8260	4	68391041	69445657	501	0.2271
