GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f1388207-0296-47e9-a333-e14b2338069d	1	62920	1195347	111	-0.0756
f1388207-0296-47e9-a333-e14b2338069d	1	1220663	2961213	477	0.1393
f1388207-0296-47e9-a333-e14b2338069d	1	2961801	4157028	625	-0.0032
f1388207-0296-47e9-a333-e14b2338069d	1	4160241	4164586	3	-1.4585
f1388207-0296-47e9-a333-e14b2338069d	1	4166952	10610834	4137	0.0031
f1388207-0296-47e9-a333-e14b2338069d	1	10611363	10619664	3	-3.126
f1388207-0296-47e9-a333-e14b2338069d	1	10621749	16542868	3284	0.0061
f1388207-0296-47e9-a333-e14b2338069d	1	16544783	16641716	21	0.4833
f1388207-0296-47e9-a333-e14b2338069d	1	16641879	16689764	15	-0.021
f1388207-0296-47e9-a333-e14b2338069d	1	16718963	16719266	3	1.5726
f1388207-0296-47e9-a333-e14b2338069d	1	16721701	16883108	22	0.0346
f1388207-0296-47e9-a333-e14b2338069d	1	16884157	16935752	50	0.617
f1388207-0296-47e9-a333-e14b2338069d	1	16949746	25247980	5253	0.0126
f1388207-0296-47e9-a333-e14b2338069d	1	25248216	25360708	42	0.3903
f1388207-0296-47e9-a333-e14b2338069d	1	25360774	30757036	2786	0.0079
f1388207-0296-47e9-a333-e14b2338069d	1	30758279	30758407	2	-1.6859
f1388207-0296-47e9-a333-e14b2338069d	1	30759229	34626073	2152	-0.0058
f1388207-0296-47e9-a333-e14b2338069d	1	34637053	34649941	22	-0.5483
f1388207-0296-47e9-a333-e14b2338069d	1	34650960	72303233	23754	0.0166
f1388207-0296-47e9-a333-e14b2338069d	1	72303253	72345465	45	1.5979
f1388207-0296-47e9-a333-e14b2338069d	1	72346221	90090349	11584	0.0089
f1388207-0296-47e9-a333-e14b2338069d	1	90090592	90094125	4	-1.7064
f1388207-0296-47e9-a333-e14b2338069d	1	90094154	103560435	8406	0.0033
f1388207-0296-47e9-a333-e14b2338069d	1	103560608	103760781	35	0.415
f1388207-0296-47e9-a333-e14b2338069d	1	103760879	109684893	3567	-0.0018
f1388207-0296-47e9-a333-e14b2338069d	1	109690352	109707613	17	1.0348
f1388207-0296-47e9-a333-e14b2338069d	1	109707614	121580012	7122	0.0024
f1388207-0296-47e9-a333-e14b2338069d	1	121580531	151414430	1748	0.1004
f1388207-0296-47e9-a333-e14b2338069d	1	151417875	151595483	109	0.0287
f1388207-0296-47e9-a333-e14b2338069d	1	151596128	151597765	2	-1.2674
f1388207-0296-47e9-a333-e14b2338069d	1	151601842	152583051	592	0.0294
f1388207-0296-47e9-a333-e14b2338069d	1	152583230	152614118	35	-1.91
f1388207-0296-47e9-a333-e14b2338069d	1	152618018	152787202	167	-0.0352
f1388207-0296-47e9-a333-e14b2338069d	1	152789447	152795883	35	0.583
f1388207-0296-47e9-a333-e14b2338069d	1	152796094	196769638	29461	0.0137
f1388207-0296-47e9-a333-e14b2338069d	1	196769652	196830158	46	-0.5308
f1388207-0296-47e9-a333-e14b2338069d	1	196830375	220759758	16323	0.0136
f1388207-0296-47e9-a333-e14b2338069d	1	220763030	220779968	16	-0.5201
f1388207-0296-47e9-a333-e14b2338069d	1	220780435	222190782	1045	0.0219
f1388207-0296-47e9-a333-e14b2338069d	1	222192302	222203662	5	-0.8192
f1388207-0296-47e9-a333-e14b2338069d	1	222208792	225423204	1942	0.0101
f1388207-0296-47e9-a333-e14b2338069d	1	225426438	225433715	2	-2.6024
f1388207-0296-47e9-a333-e14b2338069d	1	225434562	227398700	1205	0.0182
f1388207-0296-47e9-a333-e14b2338069d	1	227399143	227399355	2	-1.9643
f1388207-0296-47e9-a333-e14b2338069d	1	227400736	231820949	2821	0.0142
f1388207-0296-47e9-a333-e14b2338069d	1	231821313	231821590	2	-1.5943
f1388207-0296-47e9-a333-e14b2338069d	1	231827591	236703536	3678	0.02
f1388207-0296-47e9-a333-e14b2338069d	1	236707057	236710004	7	-0.9098
f1388207-0296-47e9-a333-e14b2338069d	1	236711654	248525299	8572	0.021
f1388207-0296-47e9-a333-e14b2338069d	1	248525314	248684083	54	0.4156
f1388207-0296-47e9-a333-e14b2338069d	1	248684527	248930189	124	0.0784
f1388207-0296-47e9-a333-e14b2338069d	2	12784	1038070	709	0.023
f1388207-0296-47e9-a333-e14b2338069d	2	1040561	1041895	3	-1.873
f1388207-0296-47e9-a333-e14b2338069d	2	1042097	4158097	2270	0.013
f1388207-0296-47e9-a333-e14b2338069d	2	4166274	4176429	41	-0.5944
f1388207-0296-47e9-a333-e14b2338069d	2	4182472	24384202	14893	0.0066
f1388207-0296-47e9-a333-e14b2338069d	2	24386596	24387503	8	0.9731
f1388207-0296-47e9-a333-e14b2338069d	2	24387890	34466002	6142	0.0086
f1388207-0296-47e9-a333-e14b2338069d	2	34474248	34511990	46	-2.1709
f1388207-0296-47e9-a333-e14b2338069d	2	34512096	52514599	12993	0.0078
f1388207-0296-47e9-a333-e14b2338069d	2	52516787	52527743	8	-2.1279
f1388207-0296-47e9-a333-e14b2338069d	2	52531615	52554384	32	-0.4899
f1388207-0296-47e9-a333-e14b2338069d	2	52554404	111341356	32015	0.0123
f1388207-0296-47e9-a333-e14b2338069d	2	111351762	111360747	2	-2.6874
f1388207-0296-47e9-a333-e14b2338069d	2	111360870	138008280	16252	0.0058
f1388207-0296-47e9-a333-e14b2338069d	2	138019027	138020296	2	-1.927
f1388207-0296-47e9-a333-e14b2338069d	2	138029485	146104517	4962	0.0147
f1388207-0296-47e9-a333-e14b2338069d	2	146106836	146120238	25	-1.6681
f1388207-0296-47e9-a333-e14b2338069d	2	146120827	159102108	7790	0.0172
f1388207-0296-47e9-a333-e14b2338069d	2	159103831	159104461	2	1.8493
f1388207-0296-47e9-a333-e14b2338069d	2	159106775	163780342	2798	0.0137
f1388207-0296-47e9-a333-e14b2338069d	2	163786978	163788616	4	-6.385
f1388207-0296-47e9-a333-e14b2338069d	2	163790132	200846253	22416	0.0157
f1388207-0296-47e9-a333-e14b2338069d	2	200848335	200848731	2	-2.652
f1388207-0296-47e9-a333-e14b2338069d	2	200850702	207490231	3946	0.0205
f1388207-0296-47e9-a333-e14b2338069d	2	207490454	207494836	19	0.5558
f1388207-0296-47e9-a333-e14b2338069d	2	207495072	241995237	21966	0.0093
f1388207-0296-47e9-a333-e14b2338069d	2	241995682	242147305	105	0.2286
f1388207-0296-47e9-a333-e14b2338069d	3	20930	60661757	41385	0.0018
f1388207-0296-47e9-a333-e14b2338069d	3	60661807	60674446	9	-1.2065
f1388207-0296-47e9-a333-e14b2338069d	3	60675413	68697013	6380	-0.0018
f1388207-0296-47e9-a333-e14b2338069d	3	68697108	68698262	14	-1.8994
f1388207-0296-47e9-a333-e14b2338069d	3	68699607	78922476	6875	-0.0024
f1388207-0296-47e9-a333-e14b2338069d	3	78922890	78925029	3	-1.8303
f1388207-0296-47e9-a333-e14b2338069d	3	78929850	128210277	26837	0.0051
f1388207-0296-47e9-a333-e14b2338069d	3	128210311	128211151	2	-2.4883
f1388207-0296-47e9-a333-e14b2338069d	3	128212497	128680378	301	0.0071
f1388207-0296-47e9-a333-e14b2338069d	3	128686328	128693488	7	1.0711
