GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	62920	98588	12	-0.6837
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	98602	16919514	8709	0.2044
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	16919676	16921903	7	-1.2166
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	16926880	46044681	16611	0.1733
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	46046603	46048154	2	2.7822
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	46053881	72313397	17442	0.1892
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	72313408	72313424	2	2.2174
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	72313591	76644504	2785	0.1732
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	76645102	76681869	26	0.6114
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	76682137	77309413	425	0.169
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	77309436	77313809	15	0.5872
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	77314079	78212623	477	0.1317
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	78219613	78222972	4	-0.5243
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	78225606	78323769	69	0.1286
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	78323890	78329348	3	1.3329
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	78333055	80909891	1626	0.1824
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	80911623	81002757	71	0.6603
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	81003051	81145932	102	0.2471
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	81148822	81153896	5	-0.729
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	81154022	83375306	1523	0.2068
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	83384675	83384707	2	1.8301
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	83387968	86562986	2210	0.1673
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	86563172	86574262	11	-0.8521
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	86574884	109707614	14313	0.1739
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	109707950	109707962	2	2.5115
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	109707968	110834953	833	0.1444
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	110836273	110836709	8	1.124
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	110836717	110845604	26	0.719
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	110849445	110875595	37	0.3413
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	110875664	112147704	1037	0.1041
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	112153343	112153915	8	-0.6161
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	112153931	112163591	29	-0.0365
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	112163596	120095238	5039	0.1828
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	120118653	121445157	47	0.4565
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	121445521	121450637	2	1.8608
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	121451744	121601998	62	0.1633
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	121705338	152602985	2467	0.5289
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	152606973	152606992	2	3.1801
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	152607145	152789570	181	0.5207
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	152789781	152796224	32	1.2791
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	152801429	162278593	5799	0.496
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	162279130	165238597	2320	0.5609
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	165238638	169247699	3167	0.4906
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	169264736	169272528	7	-0.364
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	169273163	174828195	3526	0.5002
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	174828247	174832716	10	1.3533
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	174832734	175481042	445	0.4946
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	175481472	175507859	29	1.1349
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	175511807	196761905	14172	0.5149
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	196762480	196762956	2	-1.4296
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	196769493	196846661	57	1.7471
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	196847600	196972363	78	0.6825
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	196972531	199138574	1296	0.4913
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	199142235	199145110	10	1.5218
af0c4826-0291-4831-a9e2-2799bc3dc7c9	1	199145262	248930189	34435	0.5072
af0c4826-0291-4831-a9e2-2799bc3dc7c9	2	12784	4168830	2979	0.1713
af0c4826-0291-4831-a9e2-2799bc3dc7c9	2	4168862	4174894	28	-0.5109
af0c4826-0291-4831-a9e2-2799bc3dc7c9	2	4174949	35750907	21994	0.1632
